Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR27848288_1	(1, 33.1406684487679)	(2, 33.41722356488168)	(3, 33.22116608061224)	(4, 33.34369027987851)	(5, 33.40688005246933)	(6, 33.30689725027648)	(7, 33.46812803471503)	(8, 33.30012586993348)	(9, 33.534731039374314)	(10, 33.41349975028969)	(11, 33.50568623248993)	(12, 33.47011838425375)	(13, 33.514579666914535)	(14, 33.50631813714462)	(15, 33.51016043385936)	(16, 33.50714404761434)	(17, 33.50048993685775)	(18, 33.503212196429615)	(19, 33.51175497689151)	(20, 33.49238840414541)	(21, 33.5052069341951)	(22, 33.51050877822904)	(23, 33.39119970568856)	(24, 33.498287220239355)	(25, 33.483704911727784)	(26, 33.51850736083179)	(27, 33.50385530261053)	(28, 33.51808932449225)	(29, 33.49873239429707)	(30, 33.49396701098561)	(31, 33.50021630782279)	(32, 33.46612111384628)	(33, 33.50013171897784)	(34, 33.47682515373157)	(35, 33.46563760054416)	(36, 33.46552483466417)	(37, 33.46293329805815)	(38, 33.47850445882814)	(39, 33.464218413363284)	(40, 33.30377444953232)	(41, 33.450932363943245)	(42, 33.44188187719218)	(43, 33.4175236387569)	(44, 33.181217973703376)	(45, 32.50748988030159)	(46, 32.05666447938583)	(47, 33.279910521746594)	(48, 31.601746768309162)	(49, 31.426229476487144)	(50, 32.876583056415534)	(51, 31.43222841343921)
SRR27848288_2	(1, 33.21800037917744)	(2, 33.29253920324872)	(3, 33.189599602311176)	(4, 33.22666920567928)	(5, 33.34467035568339)	(6, 33.328075352320475)	(7, 33.35584514836927)	(8, 33.25018247950229)	(9, 33.37699166672849)	(10, 33.249308125318635)	(11, 33.26989208455409)	(12, 33.19937270298342)	(13, 33.28538096607217)	(14, 33.269006240145075)	(15, 33.23378182839337)	(16, 33.29088183928599)	(17, 33.2601050685838)	(18, 33.317964069487914)	(19, 33.34057469661258)	(20, 33.30172064392493)	(21, 33.329083027762145)	(22, 33.31621651591713)	(23, 33.343435416286965)	(24, 33.33202412127419)	(25, 33.2932745199316)	(26, 33.30815164799423)	(27, 33.286952932832385)	(28, 33.26300689901423)	(29, 33.25557191485212)	(30, 33.21024851885077)	(31, 33.245136769336064)	(32, 33.22614694895398)	(33, 33.17825632481331)	(34, 33.194185934422514)	(35, 33.190238897663576)	(36, 33.2256577194091)	(37, 33.21411113998423)	(38, 33.144603591122696)	(39, 33.078963744499305)	(40, 32.995030188834924)	(41, 33.0371596486266)	(42, 32.978122697534225)	(43, 33.033259092427514)	(44, 33.014182142648146)	(45, 32.97276623162499)	(46, 33.01850027326816)	(47, 32.95445410357953)	(48, 32.88165596203976)	(49, 32.92759480684541)	(50, 32.92711706752589)	(51, 32.88969132491162)
SRR27848289_1	(1, 33.20296508193476)	(2, 33.37569814905966)	(3, 33.18671902264802)	(4, 33.338557827749554)	(5, 33.4142985878726)	(6, 33.30619752803986)	(7, 33.43740519038396)	(8, 33.27949844024066)	(9, 33.541144627133754)	(10, 33.43192142195873)	(11, 33.514437179141126)	(12, 33.47110623181131)	(13, 33.4969615233439)	(14, 33.50175658033093)	(15, 33.491406596062994)	(16, 33.50294016337374)	(17, 33.50803333578522)	(18, 33.50539307004773)	(19, 33.512041497667084)	(20, 33.50199416536268)	(21, 33.5140211785086)	(22, 33.501663710895436)	(23, 33.40814457820394)	(24, 33.497355294934984)	(25, 33.49607534284084)	(26, 33.53099217673838)	(27, 33.5301313360464)	(28, 33.532446526355834)	(29, 33.53417397562517)	(30, 33.52742081876105)	(31, 33.52899182224025)	(32, 33.507281501646276)	(33, 33.529305945166854)	(34, 33.50724229298719)	(35, 33.51101461964522)	(36, 33.5095224223304)	(37, 33.512445832913436)	(38, 33.5150036632553)	(39, 33.516575833273116)	(40, 33.50654159212431)	(41, 33.50922527902146)	(42, 33.47957672794343)	(43, 33.505975626471745)	(44, 33.43418722880002)	(45, 33.26741063747123)	(46, 33.22296668268497)	(47, 33.38896059140916)	(48, 33.467555029028986)	(49, 33.413571704698526)	(50, 33.47960303987002)	(51, 33.31298127413884)
SRR27848289_2	(1, 33.2575423040369)	(2, 33.32708511487003)	(3, 33.205059213176185)	(4, 33.239479101622685)	(5, 33.36184647509294)	(6, 33.3317154954889)	(7, 33.37567293886398)	(8, 33.2983520373759)	(9, 33.45408021184341)	(10, 33.34529750461188)	(11, 33.40001399846341)	(12, 33.35167510084889)	(13, 33.40458067311222)	(14, 33.38345336259617)	(15, 33.37002475330139)	(16, 33.393951238037715)	(17, 33.37256774267973)	(18, 33.40479214064049)	(19, 33.411503755768294)	(20, 33.38342594893866)	(21, 33.4033825731444)	(22, 33.40591383232887)	(23, 33.41049411659489)	(24, 33.39299176002486)	(25, 33.36001902754101)	(26, 33.388453924802974)	(27, 33.4074736240758)	(28, 33.37709864347761)	(29, 33.38655674416479)	(30, 33.36885076179832)	(31, 33.38134659385305)	(32, 33.36548076134791)	(33, 33.35381660651972)	(34, 33.350767274573705)	(35, 33.345497890023275)	(36, 33.352014563586565)	(37, 33.35209596205898)	(38, 33.347927206694116)	(39, 33.34562789427142)	(40, 33.33520629749392)	(41, 33.355295777486646)	(42, 33.330961846734326)	(43, 33.34746921067136)	(44, 33.332947878730536)	(45, 33.305027943460466)	(46, 33.32912253937311)	(47, 33.2803903238214)	(48, 33.2440922433931)	(49, 33.24425737341517)	(50, 33.21502015681519)	(51, 33.11463516666758)
SRR27848290_1	(1, 33.19704154826316)	(2, 33.37716205674552)	(3, 33.17892642398267)	(4, 33.33102886916538)	(5, 33.40262919655408)	(6, 33.297370128335785)	(7, 33.42639538976557)	(8, 33.27008740558221)	(9, 33.52952177183845)	(10, 33.405087325495614)	(11, 33.49947685583473)	(12, 33.45169792183893)	(13, 33.47993850673316)	(14, 33.48416416666325)	(15, 33.47554857000422)	(16, 33.48394780048457)	(17, 33.489912795627085)	(18, 33.48632941694444)	(19, 33.49170706627186)	(20, 33.48434055573213)	(21, 33.4944492709671)	(22, 33.48368947157806)	(23, 33.39632896289979)	(24, 33.4848253774693)	(25, 33.475433536532655)	(26, 33.51499201185864)	(27, 33.519016528681654)	(28, 33.51995771163081)	(29, 33.51728791580662)	(30, 33.50821959823534)	(31, 33.51367951833672)	(32, 33.496624581713014)	(33, 33.52031307107202)	(34, 33.49591002396906)	(35, 33.495294350003306)	(36, 33.501036624989425)	(37, 33.50317917303774)	(38, 33.50330214898145)	(39, 33.493759665823134)	(40, 33.49308104776563)	(41, 33.463619241591864)	(42, 33.45027602076321)	(43, 33.47875891724513)	(44, 33.37430164158985)	(45, 33.08204461207179)	(46, 33.087762662517875)	(47, 33.37703352107131)	(48, 33.17065261837494)	(49, 32.97917126392398)	(50, 33.40453102150914)	(51, 33.12590784111296)
SRR27848290_2	(1, 33.23000777170899)	(2, 33.296470775739934)	(3, 33.19110282946599)	(4, 33.224639653348156)	(5, 33.34603292710677)	(6, 33.31767069001418)	(7, 33.36262177299012)	(8, 33.28360370611635)	(9, 33.43510748746115)	(10, 33.322824494001644)	(11, 33.37478275684003)	(12, 33.32214726587677)	(13, 33.37880661179036)	(14, 33.359128938489924)	(15, 33.34375634984101)	(16, 33.37003990959878)	(17, 33.346652042810454)	(18, 33.38209969311611)	(19, 33.39294824963137)	(20, 33.3634184691335)	(21, 33.38322851696969)	(22, 33.3864901593432)	(23, 33.394893493434154)	(24, 33.377821083371735)	(25, 33.34831201948871)	(26, 33.37988857505828)	(27, 33.39726571130199)	(28, 33.36668481080303)	(29, 33.37562313658021)	(30, 33.35110412938393)	(31, 33.359917162663024)	(32, 33.34045334042508)	(33, 33.30085780022909)	(34, 33.26860308991289)	(35, 33.2439590549676)	(36, 33.21990726369524)	(37, 33.22837751311401)	(38, 33.255997923308286)	(39, 33.26756567067625)	(40, 33.269045022300475)	(41, 33.30100195609852)	(42, 33.29058341826263)	(43, 33.31937653446907)	(44, 33.317881562649625)	(45, 33.2951741671623)	(46, 33.322173806971186)	(47, 33.27908715314397)	(48, 33.25303888912349)	(49, 33.25759336740036)	(50, 33.231798203492225)	(51, 33.12905855362552)
SRR27848291_1	(1, 33.006756972530226)	(2, 33.45293316967159)	(3, 33.2291942383672)	(4, 33.323376121829725)	(5, 33.3806909697542)	(6, 33.29479383436984)	(7, 33.529027881363724)	(8, 33.360587255693254)	(9, 33.523150478798165)	(10, 33.38567420707491)	(11, 33.49826465037736)	(12, 33.48229058327118)	(13, 33.55843334262566)	(14, 33.52678738909412)	(15, 33.561705604441634)	(16, 33.5294714611189)	(17, 33.49606905318958)	(18, 33.51468801858855)	(19, 33.53242595449483)	(20, 33.51775974125487)	(21, 33.515637470754704)	(22, 33.564225391992736)	(23, 33.410341923628735)	(24, 33.51775787305901)	(25, 33.519892111688925)	(26, 33.54672786954155)	(27, 33.55401908770742)	(28, 33.59562159108987)	(29, 33.53081755461919)	(30, 33.50118072897586)	(31, 33.56659881807421)	(32, 33.572661230411306)	(33, 33.57015568785366)	(34, 33.470356489718355)	(35, 33.49718827765477)	(36, 33.58427586247159)	(37, 33.569950303070996)	(38, 33.49404533002118)	(39, 33.493062075186124)	(40, 33.49449638255981)	(41, 33.380304837021804)	(42, 33.07354532491283)	(43, 33.472606264586155)	(44, 32.82672092218818)	(45, 30.841374174819347)	(46, 30.773654410036883)	(47, 33.32326589827382)	(48, 29.335892100012696)	(49, 28.38334707722217)	(50, 30.953256279984178)	(51, 28.924784683129168)
SRR27848291_2	(1, 33.08522913860116)	(2, 33.235863464072985)	(3, 33.162664455968226)	(4, 33.190214214927174)	(5, 33.30404239636986)	(6, 33.28553855854094)	(7, 33.27973932829602)	(8, 33.09347156036681)	(9, 33.18894279088028)	(10, 33.01612235515279)	(11, 32.96293429350816)	(12, 32.845595363371395)	(13, 32.98893666086261)	(14, 32.983331197557334)	(15, 32.91989269550013)	(16, 33.0372023183143)	(17, 32.99919212205157)	(18, 33.10659540277865)	(19, 33.158867464639286)	(20, 33.10808108553856)	(21, 33.14862426348567)	(22, 33.16499923374779)	(23, 33.22612771162061)	(24, 33.21087675307559)	(25, 33.12530123928524)	(26, 33.089739255319614)	(27, 33.03522267289204)	(28, 32.960647972058794)	(29, 32.91890512046214)	(30, 32.85736540597502)	(31, 32.90621481625272)	(32, 32.877585415228424)	(33, 32.74185888407407)	(34, 32.53380030445754)	(35, 32.2284287451124)	(36, 32.15243351484997)	(37, 32.30309522106741)	(38, 32.30825617051958)	(39, 32.350405588240875)	(40, 32.25624355435939)	(41, 32.39470833521856)	(42, 32.40395689721858)	(43, 32.57076682142529)	(44, 32.595110114091305)	(45, 32.56286949046417)	(46, 32.68008453586279)	(47, 32.639933270379025)	(48, 32.537813130789765)	(49, 32.65823154828192)	(50, 32.67398680294766)	(51, 32.73613192965659)
SRR27848292_1	(1, 33.16539633236956)	(2, 33.36690820583591)	(3, 33.17996694507872)	(4, 33.31734123496322)	(5, 33.3905510962155)	(6, 33.287837104234356)	(7, 33.433742864756056)	(8, 33.2770308351623)	(9, 33.52274279998704)	(10, 33.38768918658645)	(11, 33.49253963266881)	(12, 33.447394993241865)	(13, 33.488716698644)	(14, 33.48785566850993)	(15, 33.490440037247865)	(16, 33.48767805086185)	(17, 33.48783003077664)	(18, 33.48501300493551)	(19, 33.49772832638582)	(20, 33.48629126964873)	(21, 33.49533847773508)	(22, 33.491523994929835)	(23, 33.378651992129996)	(24, 33.48856720438202)	(25, 33.47956622943797)	(26, 33.51785096423444)	(27, 33.52229808118966)	(28, 33.532824891867)	(29, 33.515715575413005)	(30, 33.504087478502655)	(31, 33.52178546856118)	(32, 33.51219226908001)	(33, 33.52673355108599)	(34, 33.49668570155917)	(35, 33.4933695566334)	(36, 33.50361825827041)	(37, 33.503205568884965)	(38, 33.49644146841573)	(39, 33.50264203588317)	(40, 33.488303725183954)	(41, 33.42369166598962)	(42, 33.43008533317122)	(43, 33.466793808991646)	(44, 33.29537388763486)	(45, 32.58409872501635)	(46, 32.5812329803801)	(47, 33.36001442530855)	(48, 33.38363728842833)	(49, 33.28002135956971)	(50, 33.43378746446937)	(51, 33.26138102302084)
SRR27848292_2	(1, 33.22457944174794)	(2, 33.28121354967698)	(3, 33.17536784820871)	(4, 33.20920141798681)	(5, 33.32790959155185)	(6, 33.30207648595166)	(7, 33.33763467266935)	(8, 33.24137407455595)	(9, 33.380252610503604)	(10, 33.25721457177742)	(11, 33.29498214875169)	(12, 33.227116796138404)	(13, 33.2943489464525)	(14, 33.27305897502473)	(15, 33.254474033024245)	(16, 33.292444297230674)	(17, 33.267167054617886)	(18, 33.31608186121137)	(19, 33.33489527021461)	(20, 33.30025989985802)	(21, 33.31799908073457)	(22, 33.327081087960295)	(23, 33.34084272720713)	(24, 33.321375023365135)	(25, 33.2772193186641)	(26, 33.2912641802942)	(27, 33.296525313036014)	(28, 33.25167369656628)	(29, 33.249494773311305)	(30, 33.21584499980399)	(31, 33.22674551062695)	(32, 33.20459401193454)	(33, 33.191754904974204)	(34, 33.223337183491175)	(35, 33.258101381682074)	(36, 33.28718302245155)	(37, 33.31345438415182)	(38, 33.318478030522115)	(39, 33.311948362622374)	(40, 33.290486952169225)	(41, 33.30312422412123)	(42, 33.27528434447796)	(43, 33.294054148029005)	(44, 33.27587777633215)	(45, 33.23043663403407)	(46, 33.24200685074322)	(47, 33.176501021816364)	(48, 33.1078705142489)	(49, 33.109444216553484)	(50, 33.075787554236946)	(51, 33.00202502583659)
