Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR27848283_1 - illumina_universal_adapter	(1, 0.016282583788617206)	(2, 0.017737623191004276)	(3, 0.01835854659898264)	(4, 0.019613717951591267)	(5, 0.020551765331884762)	(6, 0.022950181929226085)	(7, 0.02442121077559543)	(8, 0.029926909320158956)	(9, 0.03069440263130818)	(10, 0.03194690907658643)	(11, 0.03274105146103944)	(12, 0.03333266088838364)	(13, 0.034284032805329025)	(14, 0.03522741000028328)	(15, 0.036978254116342445)	(16, 0.038971604799466125)	(17, 0.04577777812125472)	(18, 0.05288508597137618)	(19, 0.05960864716592302)	(20, 0.0672649259261026)	(21, 0.0933596985051762)	(22, 0.17110836986899075)	(23, 0.25600165778555206)	(24, 0.29316112560036034)	(25, 0.3303179285078382)	(26, 0.39223172051453925)	(27, 0.4776846389704802)	(28, 0.6192445163602258)	(29, 0.8233844125892674)	(30, 1.0825200013953455)	(31, 1.3783300448821028)	(32, 1.7262283670484528)	(33, 2.0182195983307767)	(34, 2.2606915215999934)	(35, 2.522859774948043)	(36, 2.790144650370421)	(37, 3.0853044564685654)	(38, 3.41714138215472)	(39, 3.7590143488470824)	(40, 4.122129291869898)
SRR27848283_1 - polya	(1, 0.002899419175452622)	(2, 0.00808266393304026)	(3, 0.012605011672693843)	(4, 0.01711403487569553)	(5, 0.021311263921042847)	(6, 0.024964851870992795)	(7, 0.02927134211688566)	(8, 0.03634134126438181)	(9, 0.04998033698126279)	(10, 0.06246542782408957)	(11, 0.06748611323452408)	(12, 0.0731463764042496)	(13, 0.08018972647844196)	(14, 0.08638030620691295)	(15, 0.09419914431424566)	(16, 0.10002463173845469)	(17, 0.10700135912938756)	(18, 0.11286682016355229)	(19, 0.11845779574268796)	(20, 0.12516536749325252)	(21, 0.1319235724830943)	(22, 0.13769043194603497)	(23, 0.1430042571628112)	(24, 0.1489629899535392)	(25, 0.15445003414679007)	(26, 0.15961195964573469)	(27, 0.16479253949599193)	(28, 0.17004240693683906)	(29, 0.17580660149244937)	(30, 0.18158945039937233)	(31, 0.18711113838791815)	(32, 0.19291264164615377)	(33, 0.19899396017407922)	(34, 0.20491804916951228)	(35, 0.21065026483715804)	(36, 0.21715263872328341)	(37, 0.22545382505741476)	(38, 0.23439725405816753)	(39, 0.24383635582237081)	(40, 0.25152194856318455)
SRR27848283_2 - illumina_universal_adapter	(1, 0.016210631290696966)	(2, 0.017700314488378964)	(3, 0.018590393536725633)	(4, 0.020181343212962045)	(5, 0.021737649093903525)	(6, 0.027773664197212524)	(7, 0.029399257668743864)	(8, 0.03553387434327689)	(9, 0.036669124866018456)	(10, 0.03827606398623714)	(11, 0.039147488683271156)	(12, 0.04006688171225199)	(13, 0.041156828810377105)	(14, 0.042582554232130004)	(15, 0.04482640620430933)	(16, 0.04845867489561625)	(17, 0.05556065293107694)	(18, 0.06299307947550467)	(19, 0.0701670100088856)	(20, 0.07802848663350438)	(21, 0.10455230929276904)	(22, 0.18269538694147971)	(23, 0.2681749544707245)	(24, 0.3061498839286288)	(25, 0.34376771580426224)	(26, 0.4103371009171359)	(27, 0.4962910219511881)	(28, 0.6384798174709033)	(29, 0.842417180742836)	(30, 1.1018272550039432)	(31, 1.3974347655335917)	(32, 1.7423883650998726)	(33, 2.0338252956574774)	(34, 2.275657641167403)	(35, 2.53984322936455)	(36, 2.811184093743765)	(37, 3.109198015592746)	(38, 3.4497651776932226)	(39, 3.8039313619006245)	(40, 4.183438149912603)
SRR27848283_2 - polya	(1, 0.004045329327515699)	(2, 0.009044695479307167)	(3, 0.0143185470861277)	(4, 0.017284588944839804)	(5, 0.020866224396869512)	(6, 0.02523134260403072)	(7, 0.02842123667849468)	(8, 0.03433466604460623)	(9, 0.04899965108368323)	(10, 0.06331819816981094)	(11, 0.06801642979326955)	(12, 0.07360474046507483)	(13, 0.07973669223227749)	(14, 0.08459215338822847)	(15, 0.09051890729099192)	(16, 0.09636571397384398)	(17, 0.10367022496641351)	(18, 0.10883215046535812)	(19, 0.1141113318868394)	(20, 0.1205071094797496)	(21, 0.12523998489850313)	(22, 0.1303059737335541)	(23, 0.13505217368895953)	(24, 0.14133336026666343)	(25, 0.14725211944743574)	(26, 0.15264589188412334)	(27, 0.15746937415210976)	(28, 0.16220491447819368)	(29, 0.1668631724916966)	(30, 0.17186253864348808)	(31, 0.17700580979112004)	(32, 0.18209045297748364)	(33, 0.18673538645433466)	(34, 0.1916628001082059)	(35, 0.19630240377039618)	(36, 0.20123248233159777)	(37, 0.20619720468809433)	(38, 0.21152701934885282)	(39, 0.2167795516970303)	(40, 0.22137385193460413)
SRR27848283_2 - polyg	(1, 9.747548798250712)	(2, 9.774069956002647)	(3, 9.777800826265178)	(4, 9.78112396570616)	(5, 9.783596999708752)	(6, 9.787682302646223)	(7, 9.790096708687548)	(8, 9.79271631259331)	(9, 9.827325464092945)	(10, 9.831402772308426)	(11, 9.835376149138021)	(12, 9.839890502155683)	(13, 9.846427519837103)	(14, 9.848343588207646)	(15, 9.85026765130018)	(16, 9.852436885867109)	(17, 9.853899919991488)	(18, 9.855789339288727)	(19, 9.857031186104683)	(20, 9.858323666159917)	(21, 9.859549523531891)	(22, 9.860751396737893)	(23, 9.861844008743347)	(24, 9.862822029733596)	(25, 9.863887992665749)	(26, 9.865481607249315)	(27, 9.866683480455317)	(28, 9.868524931420609)	(29, 9.870635538026269)	(30, 9.872703506114643)	(31, 9.874443690601382)	(32, 9.876644904056274)	(33, 9.877908070130873)	(34, 9.87879548427189)	(35, 9.879688228227566)	(36, 9.880423742650752)	(37, 9.881289837533124)	(38, 9.882070655380927)	(39, 9.882840813599406)	(40, 9.883690919037797)
SRR27848284_1 - illumina_universal_adapter	(1, 0.002891391237735712)	(2, 0.003331437546870014)	(3, 0.003553852257465069)	(4, 0.003934109665901775)	(5, 0.004223487945278137)	(6, 0.00491464763734234)	(7, 0.005486229528011351)	(8, 0.00878896840254652)	(9, 0.009073563569867073)	(10, 0.009544700107364124)	(11, 0.009800596602349833)	(12, 0.010023011312944887)	(13, 0.010408051833437402)	(14, 0.010742869677343937)	(15, 0.011438812481463946)	(16, 0.012084532608997976)	(17, 0.014131704568883642)	(18, 0.016319978334415633)	(19, 0.01839345741060824)	(20, 0.02085197700729336)	(21, 0.029729432982872322)	(22, 0.058143510150397544)	(23, 0.09193380526865054)	(24, 0.10826095827114988)	(25, 0.12490618822536044)	(26, 0.1551091493017577)	(27, 0.19500987007130496)	(28, 0.26291810348363376)	(29, 0.37485249181364394)	(30, 0.5032312193915207)	(31, 0.6548797871209016)	(32, 0.8314770673333751)	(33, 0.9847925496142049)	(34, 1.11644770895031)	(35, 1.2574466776874351)	(36, 1.4107765093044324)	(37, 1.5839084248324733)	(38, 1.778724578865518)	(39, 1.9860366131443603)	(40, 2.208324571269936)
SRR27848284_1 - polya	(1, 0.0024728689328525444)	(2, 0.008597643920314214)	(3, 0.013689266703721436)	(4, 0.01920897801612344)	(5, 0.0243866968165352)	(6, 0.029124369307812658)	(7, 0.03418490186285713)	(8, 0.04210095231521876)	(9, 0.05775846962990503)	(10, 0.07213889602569067)	(11, 0.07775187802318093)	(12, 0.08435974732827917)	(13, 0.09268236230538444)	(14, 0.10016554111669547)	(15, 0.10971980744817121)	(16, 0.11686577685954781)	(17, 0.12493249534166738)	(18, 0.13223391589485772)	(19, 0.13883221897584436)	(20, 0.14686784722960117)	(21, 0.15448734473450274)	(22, 0.16133676119841925)	(23, 0.16743522906957398)	(24, 0.17457641536889476)	(25, 0.18116993533782558)	(26, 0.187077078726748)	(27, 0.19331664840354906)	(28, 0.1999149514845357)	(29, 0.20667827193144767)	(30, 0.21399165026477754)	(31, 0.22097021075420087)	(32, 0.22883603852997653)	(33, 0.2369147147922356)	(34, 0.2449479514899645)	(35, 0.2526009307792567)	(36, 0.2608470159634691)	(37, 0.27207537151447747)	(38, 0.28386813428807117)	(39, 0.29698821065715153)	(40, 0.3074871416196493)
SRR27848284_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.13515161424890038)	(4, 0.16042318679575998)	(5, 0.1718285174928333)	(6, 0.1778480640150672)	(7, 0.18384369497702205)	(8, 0.186579635072944)	(9, 0.1896408267886609)	(10, 0.1917740947655511)	(11, 0.19332621462766067)	(12, 0.194586564654366)	(13, 0.1956651564229506)	(14, 0.19677962153195377)	(15, 0.19788691197287325)	(16, 0.19901572641804385)	(17, 0.20015649864335397)	(18, 0.20112507883465502)	(19, 0.20213670703445832)	(20, 0.20319138324276392)	(21, 0.20417431277023237)	(22, 0.2051835494140078)	(23, 0.20608755759255543)	(24, 0.20706092089591227)	(25, 0.207888399281567)	(26, 0.20874935945161238)	(27, 0.20962227740179726)	(28, 0.21054780958459604)	(29, 0.2115139982198692)	(30, 0.21245148818280749)	(31, 0.2134678994946666)	(32, 0.2146732437327301)	(33, 0.2162899356075931)	(34, 0.21739483449248467)	(35, 0.21890151479006406)	(36, 0.21982226386080703)	(37, 0.2208649822889731)	(38, 0.2218192131441067)	(39, 0.22290976269283086)	(40, 0.22369658462601122)
SRR27848284_2 - illumina_universal_adapter	(1, 0.002920089910070558)	(2, 0.003381660223455994)	(3, 0.0036734300588602596)	(4, 0.004199572384999099)	(5, 0.004826160064309898)	(6, 0.007177059639739348)	(7, 0.007829954435357089)	(8, 0.011520125386412675)	(9, 0.011993653479937631)	(10, 0.012584367818829873)	(11, 0.01286417987409462)	(12, 0.013191823049917442)	(13, 0.013646218695219167)	(14, 0.01418192724546962)	(15, 0.01509550164812888)	(16, 0.016370201011001614)	(17, 0.018572824112701027)	(18, 0.020918940576074668)	(19, 0.023162220130248445)	(20, 0.025754666864496182)	(21, 0.03481148954216793)	(22, 0.06351494498906951)	(23, 0.0979198700064938)	(24, 0.11458901552098338)	(25, 0.1316503762240492)	(26, 0.16491931212821917)	(27, 0.20527203698704022)	(28, 0.27386186386732164)	(29, 0.3862267322823545)	(30, 0.5153253182246303)	(31, 0.6672345655610528)	(32, 0.8429469700432017)	(33, 0.9979269753194527)	(34, 1.1299767414001618)	(35, 1.2736327288842881)	(36, 1.431401288489075)	(37, 1.60716391564781)	(38, 1.8071314813649595)	(39, 2.021694713520406)	(40, 2.252460737764901)
SRR27848284_2 - polya	(1, 0.00369256250708349)	(2, 0.008461325226723696)	(3, 0.012495880245797432)	(4, 0.015272476794193761)	(5, 0.019070267766505018)	(6, 0.022891974299095313)	(7, 0.026177972281435157)	(8, 0.03226926548450617)	(9, 0.04423182873608105)	(10, 0.05603176617775848)	(11, 0.060343741696069056)	(12, 0.06557168317306679)	(13, 0.07132337542017547)	(14, 0.07626433017382475)	(15, 0.0816835961330548)	(16, 0.08778206400420951)	(17, 0.09492803341558612)	(18, 0.10082082746834112)	(19, 0.10629031610415714)	(20, 0.11260163246179532)	(21, 0.11793958551607663)	(22, 0.12343059815614378)	(23, 0.12878050899056462)	(24, 0.13506312667586795)	(25, 0.1411185465385204)	(26, 0.14673392009203856)	(27, 0.15201686735767808)	(28, 0.15701761101202497)	(29, 0.16229577516560867)	(30, 0.1680163771843546)	(31, 0.17367001563431922)	(32, 0.1789194811155681)	(33, 0.184118723920231)	(34, 0.1895858210000191)	(35, 0.19464396199903566)	(36, 0.2001254084149912)	(37, 0.20589862466635103)	(38, 0.21176272004677119)	(39, 0.21773921856050282)	(40, 0.2228691062403565)
