Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR27848284_2 - polyg	(1, 4.9699021478110295)	(2, 4.989450726783115)	(3, 4.992466478934301)	(4, 4.995128280793359)	(5, 4.997438523916314)	(6, 5.000975635281583)	(7, 5.004330988388732)	(8, 5.007707865500133)	(9, 5.029262959979629)	(10, 5.033651465290833)	(11, 5.037846254563776)	(12, 5.041711009104869)	(13, 5.046465422488342)	(14, 5.048787623391436)	(15, 5.050786964230764)	(16, 5.053195261150863)	(17, 5.055051108628517)	(18, 5.056990660567147)	(19, 5.05869823157107)	(20, 5.060192954088509)	(21, 5.061694851274034)	(22, 5.062969550636906)	(23, 5.064497754938737)	(24, 5.065590696043489)	(25, 5.066738642936882)	(26, 5.067991818295504)	(27, 5.06904649450381)	(28, 5.070433596999994)	(29, 5.073444566039125)	(30, 5.074979945009039)	(31, 5.076390963065502)	(32, 5.0778091557900495)	(33, 5.078930795567136)	(34, 5.079798930405265)	(35, 5.080796209268901)	(36, 5.081800662800621)	(37, 5.082824248780564)	(38, 5.083823919200228)	(39, 5.084723144266719)	(40, 5.085763471138858)
SRR27848285_1 - illumina_universal_adapter	(1, 0.01804629796495174)	(2, 0.018898422975827365)	(3, 0.01925967985746072)	(4, 0.020075954948784943)	(5, 0.02053097315847581)	(6, 0.021496163300244318)	(7, 0.02219385788843698)	(8, 0.03530941307201132)	(9, 0.035880254098714405)	(10, 0.03694196325465977)	(11, 0.03744386212837939)	(12, 0.03780787669613209)	(13, 0.03838147540895451)	(14, 0.038916466516106196)	(15, 0.03980168376041388)	(16, 0.040510409093083906)	(17, 0.04297302279765326)	(18, 0.045598339983263604)	(19, 0.049004082340646765)	(20, 0.053055123249955156)	(21, 0.06919586010644392)	(22, 0.11826888460007415)	(23, 0.1744677700260753)	(24, 0.20046723475919953)	(25, 0.2272471246640966)	(26, 0.26975409850758164)	(27, 0.3332636098359494)	(28, 0.4368395427921875)	(29, 0.5918049565823004)	(30, 0.7996820939441627)	(31, 1.044779720858738)	(32, 1.3334763653200563)	(33, 1.5746580779451709)	(34, 1.774797148056169)	(35, 1.981325776905675)	(36, 2.204072357823011)	(37, 2.4585654213461727)	(38, 2.7428028873525205)	(39, 3.04291911003402)	(40, 3.363886197463839)
SRR27848285_1 - polya	(1, 0.002617044127252323)	(2, 0.008499188619801538)	(3, 0.01373879224654486)	(4, 0.018559227583148718)	(5, 0.023354843744678527)	(6, 0.02806772932262818)	(7, 0.03307568731534706)	(8, 0.04125498434530532)	(9, 0.056866245466881085)	(10, 0.07219070723204564)	(11, 0.07802872874668543)	(12, 0.08441001442683493)	(13, 0.09272168039052145)	(14, 0.10038253243004405)	(15, 0.10928158553714969)	(16, 0.11610685868251269)	(17, 0.12428339802635162)	(18, 0.13152508177573477)	(19, 0.13817662069557946)	(20, 0.1458843533991308)	(21, 0.15361138990551754)	(22, 0.1600119793885024)	(23, 0.16614783100403077)	(24, 0.17331505722819177)	(25, 0.17996659614803645)	(26, 0.1862734243029638)	(27, 0.19216935722610973)	(28, 0.1985423698479012)	(29, 0.20510566281192705)	(30, 0.21226737366384937)	(31, 0.21895476250324544)	(32, 0.22614405021636116)	(33, 0.23335264173231224)	(34, 0.24093352087437403)	(35, 0.24803180494555155)	(36, 0.2557257492185062)	(37, 0.2653280122860432)	(38, 0.27574103507266573)	(39, 0.28705857890643127)	(40, 0.2961975507059194)
SRR27848285_2 - illumina_universal_adapter	(1, 0.01806284408166777)	(2, 0.018912211406424056)	(3, 0.01939480647730831)	(4, 0.020376542735792848)	(5, 0.021311398330248633)	(6, 0.02530728551717025)	(7, 0.02614562209744918)	(8, 0.04025670197010475)	(9, 0.04108952317814501)	(10, 0.04236908953751811)	(11, 0.04295647668093723)	(12, 0.043499740846446935)	(13, 0.044142281712252825)	(14, 0.044911676139548294)	(15, 0.04606163125131248)	(16, 0.047627996967096804)	(17, 0.05020643348867839)	(18, 0.053093730855625895)	(19, 0.056731118847033496)	(20, 0.06093107480678617)	(21, 0.07731448804177674)	(22, 0.12661088511107338)	(23, 0.18299177782095088)	(24, 0.2093745609246632)	(25, 0.23637782340522667)	(26, 0.2809503041520963)	(27, 0.34456460755299895)	(28, 0.4484300975517676)	(29, 0.6033569037362096)	(30, 0.8110134262085249)	(31, 1.0558021922777343)	(32, 1.3425270911637257)	(33, 1.5828897710113965)	(34, 1.782510396131959)	(35, 1.9896898389056288)	(36, 2.2149183373303694)	(37, 2.470986039627674)	(38, 2.7600770332040576)	(39, 3.067923050078063)	(40, 3.3982442088246785)
SRR27848285_2 - polya	(1, 0.0038469721364773344)	(2, 0.008830110954122169)	(3, 0.012616413995974055)	(4, 0.01571329550799129)	(5, 0.01949684086372384)	(6, 0.023396209036468607)	(7, 0.02674128229922632)	(8, 0.03263721522237222)	(9, 0.044172616259565554)	(10, 0.05579902093869705)	(11, 0.0599327924315856)	(12, 0.06522203440847701)	(13, 0.07114830187893564)	(14, 0.07661679345358408)	(15, 0.08243275347926916)	(16, 0.08874233932031586)	(17, 0.0961053612589499)	(18, 0.10169794870896856)	(19, 0.1070671635833208)	(20, 0.11337399173824815)	(21, 0.11861911073723015)	(22, 0.12426133653739692)	(23, 0.12971603968144865)	(24, 0.13615247908398492)	(25, 0.14237933434145145)	(26, 0.14817874825042052)	(27, 0.15358932841656284)	(28, 0.1586965631095779)	(29, 0.16403268575049806)	(30, 0.16982934197334779)	(31, 0.17534195652590565)	(32, 0.18048779882459146)	(33, 0.18544887615328157)	(34, 0.19079327185255976)	(35, 0.19573780306453387)	(36, 0.20140484803977465)	(37, 0.20672993993621747)	(38, 0.21220946225534326)	(39, 0.21766968077163368)	(40, 0.22285688836210957)
SRR27848285_2 - polyg	(1, 4.339263231757182)	(2, 4.358260931433306)	(3, 4.360395380489674)	(4, 4.362761475180067)	(5, 4.364286475604061)	(6, 4.367344749510408)	(7, 4.368844930759328)	(8, 4.370789099473461)	(9, 4.3868774402936825)	(10, 4.389472422931981)	(11, 4.392048101767442)	(12, 4.394656872836337)	(13, 4.398385264469683)	(14, 4.399764107529352)	(15, 4.401101585297231)	(16, 4.402474912984662)	(17, 4.403580745118516)	(18, 4.404802400069383)	(19, 4.405877897655926)	(20, 4.406934091439632)	(21, 4.407948919931549)	(22, 4.40882034874526)	(23, 4.4096448968949415)	(24, 4.410414291322238)	(25, 4.411219535669084)	(26, 4.412226091102643)	(27, 4.4131002776024735)	(28, 4.4141702598167765)	(29, 4.4151823306225735)	(30, 4.416384681770605)	(31, 4.417498786962819)	(32, 4.418301273623546)	(33, 4.419310586743224)	(34, 4.420187530929174)	(35, 4.421050686684526)	(36, 4.4218724771480895)	(37, 4.422749421334039)	(38, 4.423527088819692)	(39, 4.424426094494597)	(40, 4.425366465461291)
SRR27848286_1 - illumina_universal_adapter	(1, 0.007602733104333589)	(2, 0.009411119826269727)	(3, 0.010065017447177431)	(4, 0.011028656046409836)	(5, 0.011848374595107531)	(6, 0.013606702169031596)	(7, 0.014557825981260984)	(8, 0.016191005685154865)	(9, 0.017110842529876706)	(10, 0.017980620226586475)	(11, 0.01857507260922984)	(12, 0.019138238024365664)	(13, 0.020242667977382025)	(14, 0.021128089157845566)	(15, 0.02356534392668337)	(16, 0.025248582778589327)	(17, 0.03058301073862586)	(18, 0.03714075912820742)	(19, 0.041589765907780414)	(20, 0.04638605802668716)	(21, 0.0629024481739205)	(22, 0.11295846748924276)	(23, 0.16987884747572052)	(24, 0.19711728138778975)	(25, 0.2238113220652277)	(26, 0.2680448367273957)	(27, 0.3338288146087612)	(28, 0.44206920739786604)	(29, 0.6007754787766421)	(30, 0.8027547549151044)	(31, 1.033486754193001)	(32, 1.3040220335339976)	(33, 1.5347133597541345)	(34, 1.7273253178208376)	(35, 1.9361814694174586)	(36, 2.1501405254145602)	(37, 2.386379030973785)	(38, 2.6530378550405964)	(39, 2.930953730016623)	(40, 3.228233109183069)
SRR27848286_1 - polya	(1, 0.002709451386153452)	(2, 0.007624633981588871)	(3, 0.011914077226873378)	(4, 0.01643191533496297)	(5, 0.02100606998456614)	(6, 0.024848109594492743)	(7, 0.029196998078041585)	(8, 0.036352327547017275)	(9, 0.04939273560416229)	(10, 0.06250197498982392)	(11, 0.06698852613040596)	(12, 0.07333978053443772)	(13, 0.0804951100034134)	(14, 0.08670870175041197)	(15, 0.09404236693418067)	(16, 0.10004320730212792)	(17, 0.10697014190829852)	(18, 0.11331201022207803)	(19, 0.11905942615321416)	(20, 0.1259081433406159)	(21, 0.13200284461108577)	(22, 0.13792546756026416)	(23, 0.1431441337405228)	(24, 0.14913558801821777)	(25, 0.15501753790963635)	(26, 0.1602205606061412)	(27, 0.16544861287665208)	(28, 0.17079555562369161)	(29, 0.17653358546457548)	(30, 0.18240302056899105)	(31, 0.18800338775284173)	(32, 0.1943389986731197)	(33, 0.20044308603384187)	(34, 0.20691635961115307)	(35, 0.21320504008016972)	(36, 0.21983474849501863)	(37, 0.22847620892060275)	(38, 0.23777469566384532)	(39, 0.2474861703781875)	(40, 0.25562703932365083)
SRR27848286_2 - illumina_universal_adapter	(1, 0.007649663555594908)	(2, 0.009407991129518973)	(3, 0.01014010616919554)	(4, 0.01128520917997171)	(5, 0.013199971591433502)	(6, 0.019707660833002995)	(7, 0.020793318605514827)	(8, 0.023552829139680355)	(9, 0.024923198316510853)	(10, 0.02612774656555136)	(11, 0.02683483203122189)	(12, 0.027795341933703543)	(13, 0.02902179105999933)	(14, 0.03042657590108813)	(15, 0.03322050209951195)	(16, 0.03632416927626048)	(17, 0.042087228691150384)	(18, 0.04964303134422266)	(19, 0.05463956005517769)	(20, 0.05972994966865537)	(21, 0.07679073305052)	(22, 0.12745997692899017)	(23, 0.18478708749306602)	(24, 0.2126293598780309)	(25, 0.23965817110779955)	(26, 0.28697032337271006)	(27, 0.3531422596511691)	(28, 0.4618613430431394)	(29, 0.6207991379814712)	(30, 0.8228910472029608)	(31, 1.054164311018738)	(32, 1.3237203082767481)	(33, 1.5538484690817493)	(34, 1.746313378401167)	(35, 1.9566900766186548)	(36, 2.173943650294301)	(37, 2.4128259046079132)	(38, 2.6855669151581916)	(39, 2.972415219357622)	(40, 3.2810455103358063)
SRR27848286_2 - polya	(1, 0.004258156277776961)	(2, 0.011166318703443036)	(3, 0.020058074869087505)	(4, 0.02318051422634056)	(5, 0.026975623385005847)	(6, 0.03280751412841235)	(7, 0.036152090954968984)	(8, 0.04270671064779979)	(9, 0.06179801822090414)	(10, 0.08303874046177687)	(11, 0.08980611153365899)	(12, 0.09553788398104135)	(13, 0.10197361319734348)	(14, 0.10762403952920623)	(15, 0.11369371122567008)	(16, 0.12010753956471694)	(17, 0.1278229057520777)	(18, 0.13334818421391026)	(19, 0.13843544513063716)	(20, 0.1446302646971312)	(21, 0.14939214115177965)	(22, 0.1544981742490111)	(23, 0.15938832727044047)	(24, 0.16575522515822602)	(25, 0.17174355073917025)	(26, 0.17762237193383806)	(27, 0.18226535791195786)	(28, 0.18698969000559723)	(29, 0.191632675983717)	(30, 0.19651657161164487)	(31, 0.20160070383162104)	(32, 0.20637822377002327)	(33, 0.21104936801889984)	(34, 0.21624613332190315)	(35, 0.2209110201772782)	(36, 0.2261109141770323)	(37, 0.23166435090962165)	(38, 0.23709576846893157)	(39, 0.24255847299574904)	(40, 0.24737353729516032)
SRR27848286_2 - polyg	(1, 13.383012866139648)	(2, 13.411693629253815)	(3, 13.416258397813166)	(4, 13.420366376646907)	(5, 13.423313608986117)	(6, 13.429073539704257)	(7, 13.43108216301824)	(8, 13.433519417787078)	(9, 13.480775253510476)	(10, 13.484792500138445)	(11, 13.489557505289843)	(12, 13.494810587134362)	(13, 13.503824362473285)	(14, 13.505729738794495)	(15, 13.50798865784854)	(16, 13.510138072516307)	(17, 13.51168364871118)	(18, 13.513870607739959)	(19, 13.515234719523287)	(20, 13.516589445216363)	(21, 13.517850310006917)	(22, 13.518964126050186)	(23, 13.520009110764938)	(24, 13.520979006757672)	(25, 13.522011476685421)	(26, 13.523510122429032)	(27, 13.52461455238205)	(28, 13.526041238100394)	(29, 13.527496082089494)	(30, 13.52951409149373)	(31, 13.530984578966585)	(32, 13.531844970573042)	(33, 13.53307767709284)	(34, 13.533888009551285)	(35, 13.53469208461623)	(36, 13.535380397901395)	(37, 13.536131285121577)	(38, 13.536882172341757)	(39, 13.537617416078184)	(40, 13.538355788511362)
SRR27848287_1 - illumina_universal_adapter	(1, 0.0015925698158633106)	(2, 0.002024104862742401)	(3, 0.0022569967928041325)	(4, 0.0028289519739851496)	(5, 0.0030995175986156904)	(6, 0.003709146474365517)	(7, 0.004164655690515668)	(8, 0.0053188406968510136)	(9, 0.005579131677508242)	(10, 0.006383978788750991)	(11, 0.006623720481461597)	(12, 0.00686688705549664)	(13, 0.0072128000692648)	(14, 0.0075963867776017695)	(15, 0.008182041484080535)	(16, 0.008675224394799496)	(17, 0.010055451568547698)	(18, 0.011935711415663736)	(19, 0.014641367661969145)	(20, 0.018782049183213752)	(21, 0.03520093025256582)	(22, 0.08636180747700911)	(23, 0.14284495027962785)	(24, 0.16707598565002124)	(25, 0.19266327402489175)	(26, 0.2342139342529642)	(27, 0.2940055124149893)	(28, 0.3924708504925596)	(29, 0.5482892512291556)	(30, 0.7485523369129736)	(31, 0.9885063722656946)	(32, 1.2659662830023277)	(33, 1.498652720184593)	(34, 1.6924325055212512)	(35, 1.8984014434915815)	(36, 2.1202447064006784)	(37, 2.373778396204793)	(38, 2.6605711085505175)	(39, 2.9708927555951257)	(40, 3.3035754528069847)
SRR27848287_1 - polya	(1, 0.002804977804714089)	(2, 0.00823683958527153)	(3, 0.01312757011656789)	(4, 0.01796007766534882)	(5, 0.022933005348431672)	(6, 0.02719355771603158)	(7, 0.03198154180759483)	(8, 0.04017043305432424)	(9, 0.05534265732158115)	(10, 0.07066900124843774)	(11, 0.07598441706396432)	(12, 0.08242661883523074)	(13, 0.09067715794580002)	(14, 0.09846191319624584)	(15, 0.10753099894335562)	(16, 0.11439103623620338)	(17, 0.12250458009379517)	(18, 0.12976875338292654)	(19, 0.13666988925166754)	(20, 0.14525606673203167)	(21, 0.15296547459333987)	(22, 0.15931520456884649)	(23, 0.165233399497474)	(24, 0.17223728180594813)	(25, 0.1788096290675432)	(26, 0.18450178182875784)	(27, 0.19052957295976738)	(28, 0.19684847900335406)	(29, 0.20364001866971307)	(30, 0.21021236593130813)	(31, 0.21712377644402245)	(32, 0.22435370091990942)	(33, 0.23158020051447198)	(34, 0.23880327522771008)	(35, 0.2457318101470466)	(36, 0.25335217109391944)	(37, 0.26265414877109095)	(38, 0.2726548022384476)	(39, 0.2833233075640696)	(40, 0.29169714240231864)
SRR27848287_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.05277399632825323)	(4, 0.06620638088269604)	(5, 0.07384044135486661)	(6, 0.07799482240140897)	(7, 0.0830567969989272)	(8, 0.08516652389478052)	(9, 0.08759133987248208)	(10, 0.0892215833829142)	(11, 0.09057098662474247)	(12, 0.09164639936061575)	(13, 0.0926156407754315)	(14, 0.09349583527581186)	(15, 0.0945027503851964)	(16, 0.09540006929219895)	(17, 0.09645493274012562)	(18, 0.0975200708320256)	(19, 0.09837286628181047)	(20, 0.0993695067472217)	(21, 0.10022572707833101)	(22, 0.10119496849314674)	(23, 0.10195871702849625)	(24, 0.10289370963006761)	(25, 0.1037122562666081)	(26, 0.10456162683506853)	(27, 0.10519522988008942)	(28, 0.10616447129490517)	(29, 0.10716453664164083)	(30, 0.10785978755050159)	(31, 0.10890437635445495)	(32, 0.1100414369541681)	(33, 0.11158948331281372)	(34, 0.11252790079570953)	(35, 0.11363071258217831)	(36, 0.11462735304758954)	(37, 0.1155246719545921)	(38, 0.11639459181099916)	(39, 0.1173090351246239)	(40, 0.11805565925335121)
