Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27848283_1	(22.0, 10.0)	(23.0, 1401.0)	(24.0, 13894.0)	(25.0, 36089.0)	(26.0, 78512.0)	(27.0, 137812.0)	(28.0, 240697.0)	(29.0, 358209.0)	(30.0, 551961.0)	(31.0, 868347.0)	(32.0, 2230432.0)	(33.0, 15873855.0)	(34.0, 13198282.0)			
SRR27848283_2	(22.0, 41.0)	(23.0, 5243.0)	(24.0, 42982.0)	(25.0, 76228.0)	(26.0, 116197.0)	(27.0, 159493.0)	(28.0, 241317.0)	(29.0, 341723.0)	(30.0, 538932.0)	(31.0, 956990.0)	(32.0, 2759012.0)	(33.0, 16983213.0)	(34.0, 11368130.0)			
SRR27848284_1	(22.0, 29.0)	(23.0, 2057.0)	(24.0, 16959.0)	(25.0, 42407.0)	(26.0, 92475.0)	(27.0, 159254.0)	(28.0, 276738.0)	(29.0, 411113.0)	(30.0, 634939.0)	(31.0, 1008036.0)	(32.0, 2650530.0)	(33.0, 19096071.0)	(34.0, 15038699.0)			
SRR27848284_2	(22.0, 100.0)	(23.0, 6468.0)	(24.0, 48148.0)	(25.0, 83709.0)	(26.0, 126309.0)	(27.0, 175118.0)	(28.0, 267166.0)	(29.0, 381171.0)	(30.0, 597736.0)	(31.0, 1033664.0)	(32.0, 2980392.0)	(33.0, 19930068.0)	(34.0, 13799258.0)			
SRR27848285_1	(22.0, 13.0)	(23.0, 1411.0)	(24.0, 13558.0)	(25.0, 35607.0)	(26.0, 78367.0)	(27.0, 137195.0)	(28.0, 241363.0)	(29.0, 358933.0)	(30.0, 557680.0)	(31.0, 889455.0)	(32.0, 2340606.0)	(33.0, 16695069.0)	(34.0, 13136118.0)			
SRR27848285_2	(22.0, 52.0)	(23.0, 4819.0)	(24.0, 40157.0)	(25.0, 71641.0)	(26.0, 111355.0)	(27.0, 154915.0)	(28.0, 235667.0)	(29.0, 337593.0)	(30.0, 532663.0)	(31.0, 935891.0)	(32.0, 2705161.0)	(33.0, 17309785.0)	(34.0, 12045676.0)			
SRR27848286_1	(22.0, 10.0)	(23.0, 1209.0)	(24.0, 11112.0)	(25.0, 28384.0)	(26.0, 62880.0)	(27.0, 110219.0)	(28.0, 192475.0)	(29.0, 289107.0)	(30.0, 445507.0)	(31.0, 707049.0)	(32.0, 1849098.0)	(33.0, 13254200.0)	(34.0, 10497271.0)			
SRR27848286_2	(22.0, 27.0)	(23.0, 4081.0)	(24.0, 33065.0)	(25.0, 58502.0)	(26.0, 90430.0)	(27.0, 125310.0)	(28.0, 190480.0)	(29.0, 272421.0)	(30.0, 430005.0)	(31.0, 749240.0)	(32.0, 2152787.0)	(33.0, 13827421.0)	(34.0, 9514752.0)			
SRR27848287_1	(22.0, 9.0)	(23.0, 1293.0)	(24.0, 11422.0)	(25.0, 29314.0)	(26.0, 64443.0)	(27.0, 111776.0)	(28.0, 193225.0)	(29.0, 287164.0)	(30.0, 443192.0)	(31.0, 704621.0)	(32.0, 1880988.0)	(33.0, 13455890.0)	(34.0, 10388617.0)			
SRR27848287_2	(21.0, 1.0)	(22.0, 40.0)	(23.0, 3999.0)	(24.0, 32298.0)	(25.0, 57444.0)	(26.0, 87935.0)	(27.0, 121890.0)	(28.0, 185230.0)	(29.0, 263766.0)	(30.0, 413853.0)	(31.0, 717181.0)	(32.0, 2030146.0)	(33.0, 13697028.0)	(34.0, 9961143.0)		
SRR27848288_1	(22.0, 8.0)	(23.0, 1458.0)	(24.0, 13629.0)	(25.0, 34270.0)	(26.0, 75377.0)	(27.0, 130743.0)	(28.0, 226094.0)	(29.0, 335933.0)	(30.0, 519252.0)	(31.0, 846104.0)	(32.0, 2392737.0)	(33.0, 15230966.0)	(34.0, 11311146.0)			
SRR27848288_2	(22.0, 23.0)	(23.0, 4150.0)	(24.0, 34507.0)	(25.0, 62067.0)	(26.0, 96331.0)	(27.0, 134489.0)	(28.0, 206548.0)	(29.0, 295775.0)	(30.0, 469038.0)	(31.0, 819674.0)	(32.0, 2329621.0)	(33.0, 15496725.0)	(34.0, 11168769.0)			
SRR27848289_1	(22.0, 11.0)	(23.0, 1263.0)	(24.0, 12349.0)	(25.0, 31820.0)	(26.0, 69692.0)	(27.0, 120422.0)	(28.0, 209963.0)	(29.0, 310830.0)	(30.0, 477111.0)	(31.0, 751971.0)	(32.0, 1940628.0)	(33.0, 14246977.0)	(34.0, 11892485.0)			
SRR27848289_2	(22.0, 32.0)	(23.0, 4480.0)	(24.0, 36518.0)	(25.0, 64485.0)	(26.0, 98738.0)	(27.0, 136281.0)	(28.0, 206588.0)	(29.0, 292750.0)	(30.0, 455353.0)	(31.0, 787005.0)	(32.0, 2221439.0)	(33.0, 14863061.0)	(34.0, 10898792.0)			
SRR27848290_1	(22.0, 13.0)	(23.0, 1168.0)	(24.0, 12024.0)	(25.0, 31058.0)	(26.0, 68350.0)	(27.0, 118692.0)	(28.0, 206742.0)	(29.0, 305898.0)	(30.0, 472945.0)	(31.0, 755146.0)	(32.0, 2014018.0)	(33.0, 14295701.0)	(34.0, 10913670.0)			
SRR27848290_2	(21.0, 2.0)	(22.0, 36.0)	(23.0, 3931.0)	(24.0, 34157.0)	(25.0, 60693.0)	(26.0, 94224.0)	(27.0, 130903.0)	(28.0, 201141.0)	(29.0, 289073.0)	(30.0, 450675.0)	(31.0, 784481.0)	(32.0, 2250690.0)	(33.0, 14746576.0)	(34.0, 10148843.0)		
SRR27848291_1	(22.0, 20.0)	(23.0, 1428.0)	(24.0, 11997.0)	(25.0, 29803.0)	(26.0, 63798.0)	(27.0, 109618.0)	(28.0, 189915.0)	(29.0, 281145.0)	(30.0, 432231.0)	(31.0, 688475.0)	(32.0, 1804158.0)	(33.0, 12513091.0)	(34.0, 9572815.0)			
SRR27848291_2	(22.0, 46.0)	(23.0, 3852.0)	(24.0, 31350.0)	(25.0, 54622.0)	(26.0, 82962.0)	(27.0, 114209.0)	(28.0, 175119.0)	(29.0, 249710.0)	(30.0, 395770.0)	(31.0, 695579.0)	(32.0, 1986522.0)	(33.0, 12873037.0)	(34.0, 9035716.0)			
SRR27848292_1	(22.0, 8.0)	(23.0, 1165.0)	(24.0, 10974.0)	(25.0, 27930.0)	(26.0, 60954.0)	(27.0, 105643.0)	(28.0, 183915.0)	(29.0, 274538.0)	(30.0, 424310.0)	(31.0, 681945.0)	(32.0, 1824321.0)	(33.0, 12699707.0)	(34.0, 9660990.0)			
SRR27848292_2	(22.0, 39.0)	(23.0, 3939.0)	(24.0, 32330.0)	(25.0, 56818.0)	(26.0, 86784.0)	(27.0, 119735.0)	(28.0, 180785.0)	(29.0, 257368.0)	(30.0, 402344.0)	(31.0, 701747.0)	(32.0, 2041740.0)	(33.0, 13163620.0)	(34.0, 8909151.0)			
SRR27848293_1	(22.0, 8.0)	(23.0, 1136.0)	(24.0, 10147.0)	(25.0, 26304.0)	(26.0, 57630.0)	(27.0, 101853.0)	(28.0, 178603.0)	(29.0, 268409.0)	(30.0, 415920.0)	(31.0, 667662.0)	(32.0, 1769403.0)	(33.0, 12727955.0)	(34.0, 10157236.0)			
SRR27848293_2	(22.0, 39.0)	(23.0, 3444.0)	(24.0, 28395.0)	(25.0, 51155.0)	(26.0, 79593.0)	(27.0, 111308.0)	(28.0, 171844.0)	(29.0, 246613.0)	(30.0, 392685.0)	(31.0, 691790.0)	(32.0, 1958412.0)	(33.0, 13124692.0)	(34.0, 9522296.0)			
SRR27848294_1	(22.0, 53.0)	(23.0, 2198.0)	(24.0, 14351.0)	(25.0, 32759.0)	(26.0, 68007.0)	(27.0, 116111.0)	(28.0, 202875.0)	(29.0, 300077.0)	(30.0, 461840.0)	(31.0, 735299.0)	(32.0, 1920681.0)	(33.0, 13720081.0)	(34.0, 11155160.0)			
