Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR27848301_1	SRR27848301_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31411108.0	1.5 Gbp	0.0	15-51	46.0	52.53365817082194	50.62874283199434	51	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
SRR27848301_2	SRR27848301_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31411108.0	1.5 Gbp	0.0	15-51	47.0	58.88436230595413	50.6325884779359	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848302_1	SRR27848302_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30983897.0	1.5 Gbp	0.0	15-51	48.0	53.42228422824598	50.41966873953912	51	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
SRR27848302_2	SRR27848302_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30983897.0	1.5 Gbp	0.0	15-51	48.0	59.41446698917805	50.540141254665286	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848303_1	SRR27848303_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34845132.0	1.7 Gbp	0.0	15-51	44.0	51.005777924311616	50.415963785127865	51	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
SRR27848303_2	SRR27848303_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34845132.0	1.7 Gbp	0.0	15-51	45.0	57.485483391393075	50.530518782365355	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848304_1	SRR27848304_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31236350.0	1.5 Gbp	0.0	15-51	45.0	48.14764667338824	50.30715614980623	51	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
SRR27848304_2	SRR27848304_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31236350.0	1.5 Gbp	0.0	15-51	46.0	54.12295681916848	50.461656147405186	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848305_1	SRR27848305_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32913615.0	1.6 Gbp	0.0	15-51	45.0	51.67882352937797	50.42777406857314	51	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
SRR27848305_2	SRR27848305_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32913615.0	1.6 Gbp	0.0	15-51	45.0	58.295477048503294	50.54589986545082	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848306_1	SRR27848306_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36630844.0	1.8 Gbp	0.0	15-51	44.0	51.73324456765781	50.725562042741906	51	pass	pass	fail	pass	warn	pass	pass	warn	warn	warn	pass
SRR27848306_2	SRR27848306_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36630844.0	1.8 Gbp	0.0	15-51	45.0	58.513095249007726	50.770494176983746	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848307_1	SRR27848307_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34480206.0	1.7 Gbp	0.0	15-51	45.0	49.453824303649554	50.725959061845515	51	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
SRR27848307_2	SRR27848307_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34480206.0	1.7 Gbp	0.0	15-51	46.0	56.14304772144302	50.752145303308225	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848308_1	SRR27848308_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31852825.0	1.6 Gbp	0.0	15-51	48.0	48.04753038266692	50.45603352292928	51	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
SRR27848308_2	SRR27848308_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31852825.0	1.6 Gbp	0.0	15-51	48.0	54.16937957151371	50.58439146292362	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848309_1	SRR27848309_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31985420.0	1.6 Gbp	0.0	15-51	45.0	50.69164280427757	50.62485013484269	51	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
SRR27848309_2	SRR27848309_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31985420.0	1.6 Gbp	0.0	15-51	46.0	57.247968078333244	50.695731961625015	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848310_1	SRR27848310_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33388253.0	1.6 Gbp	0.0	15-51	46.0	48.166260159370836	50.579371433420015	51	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
SRR27848310_2	SRR27848310_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33388253.0	1.6 Gbp	0.0	15-51	46.0	54.619003084357885	50.666319229101326	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR27848311_1	SRR27848311_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29464295.0	1.4 Gbp	0.0	15-51	46.0	47.08669212686269	50.72521691084073	51	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
SRR27848311_2	SRR27848311_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29464295.0	1.4 Gbp	0.0	15-51	47.0	53.83239279743596	50.77535915928075	51	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
