Sample	Unique Reads	Duplicate Reads
SRR27848283_1	17001039	16588462
SRR27848283_2	19342475	14247026
SRR27848284_1	19591776	19837531
SRR27848284_2	22381318	17047989
SRR27848285_1	18273694	16211681
SRR27848285_2	20673907	13811468
SRR27848286_1	13995836	13452685
SRR27848286_2	15805624	11642897
SRR27848287_1	14952069	12619885
SRR27848287_2	16705009	10866945
SRR27848288_1	14788373	16329344
SRR27848288_2	16793469	14324248
SRR27848289_1	13637752	16427770
SRR27848289_2	15581666	14483856
SRR27848290_1	15727310	13468115
SRR27848290_2	17777991	11417434
SRR27848291_1	14886615	10811879
SRR27848291_2	16641647	9056847
SRR27848292_1	13716785	12239615
SRR27848292_2	15450461	10505939
SRR27848293_1	14414473	11967793
SRR27848293_2	16204632	10177634
SRR27848294_1	15392347	13337145
SRR27848294_2	17313049	11416443
SRR27848295_1	12875154	11533105
SRR27848295_2	14505935	9902324
SRR27848296_1	12512311	9028004
SRR27848296_2	14089626	7450689
SRR27848297_1	13133194	10175835
SRR27848297_2	14709700	8599329
SRR27848298_1	17574262	14358787
SRR27848298_2	19851833	12081216
SRR27848299_1	17361915	15498782
SRR27848299_2	19562354	13298343
SRR27848300_1	17915295	13442837
SRR27848300_2	20257696	11100436
SRR27848301_1	16501405	14909703
SRR27848301_2	18496231	12914877
SRR27848302_1	16552306	14431591
SRR27848302_2	18408918	12574979
SRR27848303_1	17773031	17072101
SRR27848303_2	20030893	14814239
SRR27848304_1	15039568	16196782
SRR27848304_2	16906037	14330313
SRR27848305_1	17009370	15904245
SRR27848305_2	19187149	13726466
SRR27848306_1	18950325	17680519
SRR27848306_2	21433841	15197003
SRR27848307_1	17051781	17428425
SRR27848307_2	19358239	15121967
SRR27848308_1	15304496	16548329
SRR27848308_2	17254478	14598347
SRR27848309_1	16213935	15771485
SRR27848309_2	18311004	13674416
SRR27848310_1	16081873	17306380
SRR27848310_2	18236331	15151922
SRR27848311_1	13873762	15590533
SRR27848311_2	15861336	13602959
