.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR27848283_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848283_2	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848284_1	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	1
SRR27848284_2	1	1	0.25	1	0.5	1	1	0.5	0.5	1	1
SRR27848285_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848285_2	1	1	0.25	1	0.5	1	1	0.5	0.5	1	1
SRR27848286_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848286_2	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848287_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848287_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848288_1	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	1
SRR27848288_2	1	1	0.25	1	0.5	1	1	0.5	0.5	1	1
SRR27848289_1	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	1
SRR27848289_2	1	1	0.25	1	0.5	1	1	0.5	0.5	1	1
SRR27848290_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848290_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848291_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848291_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848292_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848292_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848293_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848293_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848294_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848294_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848295_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848295_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848296_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848296_2	1	1	0.25	1	0.5	1	1	0.5	0.5	1	1
SRR27848297_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848297_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848298_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848298_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848299_1	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
SRR27848299_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848300_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848300_2	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27848301_1	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
SRR27848301_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848302_1	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
SRR27848302_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848303_1	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
SRR27848303_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848304_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
SRR27848304_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848305_1	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
SRR27848305_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848306_1	1	1	0.25	1	0.5	1	1	0.5	0.5	0.5	1
SRR27848306_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848307_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
SRR27848307_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848308_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
SRR27848308_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848309_1	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
SRR27848309_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848310_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
SRR27848310_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
SRR27848311_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
SRR27848311_2	1	1	1	1	0.5	1	1	0.5	0.5	1	1
