Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR27848288_1	(1, 33.236948263267514)	(2, 33.40131790516637)	(3, 33.21193948772013)	(4, 33.35883779648745)	(5, 33.43088723379032)	(6, 33.31799598280298)	(7, 33.433265364551005)	(8, 33.26970773594991)	(9, 33.545729720467605)	(10, 33.423777971886565)	(11, 33.512926992683944)	(12, 33.46334822699236)	(13, 33.484603385267626)	(14, 33.493028424932334)	(15, 33.47998196654337)	(16, 33.4934252912866)	(17, 33.50320028332126)	(18, 33.49640024651408)	(19, 33.50092654567997)	(20, 33.49088515836938)	(21, 33.50189837436618)	(22, 33.48402229872536)	(23, 33.40165951759218)	(24, 33.48527951426288)	(25, 33.47509343678976)	(26, 33.50984402639171)	(27, 33.50828770993698)	(28, 33.50257445019674)	(29, 33.50235687205573)	(30, 33.492685959594795)	(31, 33.49468370719259)	(32, 33.48075623522356)	(33, 33.502635237658005)	(34, 33.48511930856351)	(35, 33.48031140925976)	(36, 33.4786930419525)	(37, 33.47736256335049)	(38, 33.47854738333183)	(39, 33.47632387592849)	(40, 33.46728510748765)	(41, 33.46621531865323)	(42, 33.4463149298062)	(43, 33.459041800808876)	(44, 33.44069966764327)	(45, 33.36240495509535)	(46, 33.351521684156154)	(47, 33.3406282651045)	(48, 33.4211977722322)	(49, 33.36107077214855)	(50, 33.419503759830434)	(51, 33.261815820382786)
SRR27848288_2	(1, 33.335238057470605)	(2, 33.38116591265355)	(3, 33.25107147159928)	(4, 33.29109625876474)	(5, 33.42015868323502)	(6, 33.394228117698994)	(7, 33.44265834154864)	(8, 33.38133141322675)	(9, 33.53235238947639)	(10, 33.432649895234924)	(11, 33.49189562974687)	(12, 33.45571675454212)	(13, 33.49935176799763)	(14, 33.47848693398684)	(15, 33.469498935285)	(16, 33.48452509575084)	(17, 33.466979030281685)	(18, 33.49151739370237)	(19, 33.49813388999806)	(20, 33.47040353889025)	(21, 33.48697040886839)	(22, 33.48855229818434)	(23, 33.488447142172916)	(24, 33.474570193619705)	(25, 33.449779451761586)	(26, 33.489300878342)	(27, 33.51631931354179)	(28, 33.494082952653145)	(29, 33.50460943497745)	(30, 33.493715939612116)	(31, 33.499746503577164)	(32, 33.488963170346)	(33, 33.47086166139228)	(34, 33.471702503013546)	(35, 33.46109261496846)	(36, 33.46436593049816)	(37, 33.464029709152605)	(38, 33.455215092952784)	(39, 33.44944915797808)	(40, 33.44237025528025)	(41, 33.453403886895565)	(42, 33.43183515837057)	(43, 33.43916028632642)	(44, 33.42749191050501)	(45, 33.40069384997645)	(46, 33.41550610915214)	(47, 33.36617554903736)	(48, 33.335357318777845)	(49, 33.32969580166188)	(50, 33.297680294702936)	(51, 33.233213887170066)
SRR27848289_1	(1, 33.23922870855194)	(2, 33.413630603187265)	(3, 33.21716542955748)	(4, 33.367140939711604)	(5, 33.44167821200643)	(6, 33.32907208462903)	(7, 33.44980080505504)	(8, 33.29113753621174)	(9, 33.55956247824335)	(10, 33.44883165507654)	(11, 33.531428591194924)	(12, 33.484688607768064)	(13, 33.505337243105245)	(14, 33.513419856804745)	(15, 33.499930252333556)	(16, 33.5146262279326)	(17, 33.522877239627874)	(18, 33.5179218853986)	(19, 33.523710999141585)	(20, 33.515902784275816)	(21, 33.52709974479275)	(22, 33.509608657834846)	(23, 33.42653061278836)	(24, 33.5141679332313)	(25, 33.5088574319089)	(26, 33.54604404152545)	(27, 33.55043760519099)	(28, 33.5477532106318)	(29, 33.5520193206183)	(30, 33.5444715547181)	(31, 33.545219327046276)	(32, 33.52772294306823)	(33, 33.549892776345644)	(34, 33.53397468498058)	(35, 33.532041953546596)	(36, 33.53408982736022)	(37, 33.5350538841236)	(38, 33.536773322490426)	(39, 33.53541876421746)	(40, 33.529085462574876)	(41, 33.52803750116529)	(42, 33.50733322084358)	(43, 33.52494719911444)	(44, 33.503141697780585)	(45, 33.43030462328206)	(46, 33.417664197734986)	(47, 33.40939867203731)	(48, 33.48817599926764)	(49, 33.42927202675006)	(50, 33.49998613656251)	(51, 33.34315091954994)
SRR27848289_2	(1, 33.315019709286936)	(2, 33.3796386438925)	(3, 33.254832961157305)	(4, 33.29081617142719)	(5, 33.41408733897918)	(6, 33.38469127527538)	(7, 33.435051086091235)	(8, 33.36905342937335)	(9, 33.52630338498696)	(10, 33.42553806316751)	(11, 33.486747976635826)	(12, 33.44891946329753)	(13, 33.49164667754646)	(14, 33.471905792954466)	(15, 33.463370102138924)	(16, 33.47812009700136)	(17, 33.46042753813912)	(18, 33.48487312191493)	(19, 33.48924732595556)	(20, 33.464668337957505)	(21, 33.48119781965313)	(22, 33.483168572735856)	(23, 33.483587384158575)	(24, 33.469572690470414)	(25, 33.44493940326137)	(26, 33.48408148849726)	(27, 33.51119729204119)	(28, 33.48845169860254)	(29, 33.500093211739845)	(30, 33.48825862596471)	(31, 33.49415084913705)	(32, 33.48331310078478)	(33, 33.46679661661305)	(34, 33.466477660372796)	(35, 33.45734183294399)	(36, 33.459714050414036)	(37, 33.46090367118207)	(38, 33.451134753617445)	(39, 33.44594983739114)	(40, 33.43932431773552)	(41, 33.4511142391277)	(42, 33.428918222139664)	(43, 33.43833916617279)	(44, 33.42423988811112)	(45, 33.398029549112564)	(46, 33.416945424459776)	(47, 33.36959537139926)	(48, 33.33609966082721)	(49, 33.33024478677852)	(50, 33.299335145105246)	(51, 33.24011672976588)
SRR27848290_1	(1, 33.23959120307377)	(2, 33.39774331080983)	(3, 33.1973821240828)	(4, 33.3535886530167)	(5, 33.42558102853444)	(6, 33.3156851116228)	(7, 33.429924243267564)	(8, 33.27407948334371)	(9, 33.54575684375206)	(10, 33.42022005160055)	(11, 33.51390452442463)	(12, 33.46148631163958)	(13, 33.48212749086544)	(14, 33.49172858418742)	(15, 33.478031438144846)	(16, 33.49156249870483)	(17, 33.502135614253916)	(18, 33.495637639031855)	(19, 33.50272805727835)	(20, 33.49388255932075)	(21, 33.50472362583009)	(22, 33.48590970085502)	(23, 33.40641054106695)	(24, 33.49216231222042)	(25, 33.48495558176122)	(26, 33.52614331014856)	(27, 33.53076296394744)	(28, 33.529209350881345)	(29, 33.531592088894115)	(30, 33.52211919760676)	(31, 33.52318524445582)	(32, 33.50440743819328)	(33, 33.53153364637663)	(34, 33.51242095938567)	(35, 33.512309361329734)	(36, 33.51545064910137)	(37, 33.51516075625564)	(38, 33.51776147568526)	(39, 33.515834568432155)	(40, 33.510502346924554)	(41, 33.50786713676038)	(42, 33.48622464837852)	(43, 33.502699621696586)	(44, 33.48551253213178)	(45, 33.40717794403207)	(46, 33.40487065217669)	(47, 33.39767177053774)	(48, 33.47006419423943)	(49, 33.40484264547748)	(50, 33.47976982618254)	(51, 33.321430048146674)
SRR27848290_2	(1, 33.29715700319485)	(2, 33.3539050724557)	(3, 33.24080358480823)	(4, 33.27385225596134)	(5, 33.39666821085838)	(6, 33.36873280659555)	(7, 33.42163739695518)	(8, 33.35695185118902)	(9, 33.513772996967845)	(10, 33.40953419927951)	(11, 33.47286699885342)	(12, 33.43454421369101)	(13, 33.480557176338415)	(14, 33.461664353233424)	(15, 33.45223684875285)	(16, 33.46753942479238)	(17, 33.44723616093791)	(18, 33.47207266635617)	(19, 33.47848648168721)	(20, 33.452070079621606)	(21, 33.46848281029883)	(22, 33.46980223252192)	(23, 33.47179738694977)	(24, 33.45606561283601)	(25, 33.43324783447291)	(26, 33.47430834548929)	(27, 33.49860400570362)	(28, 33.47805188770058)	(29, 33.49143778100994)	(30, 33.477411207301095)	(31, 33.48341191998914)	(32, 33.47267403451729)	(33, 33.45387524373005)	(34, 33.453899537587915)	(35, 33.44414814286931)	(36, 33.446698664256516)	(37, 33.44757047752456)	(38, 33.43955640107824)	(39, 33.43462939689386)	(40, 33.42995785042259)	(41, 33.444293400807986)	(42, 33.423385029507834)	(43, 33.43114911569864)	(44, 33.4160983068901)	(45, 33.386430782699556)	(46, 33.403520615466284)	(47, 33.35609010429432)	(48, 33.329187203464)	(49, 33.32772859335356)	(50, 33.2976645799608)	(51, 33.2329298178445)
SRR27848291_1	(1, 33.23254086406775)	(2, 33.38882301818931)	(3, 33.177855013605075)	(4, 33.33778072753991)	(5, 33.411619373493245)	(6, 33.297460777273564)	(7, 33.4139862826203)	(8, 33.25900295947304)	(9, 33.53031239885107)	(10, 33.3986488858063)	(11, 33.49621561481385)	(12, 33.444385885025014)	(13, 33.464282692985826)	(14, 33.47407564038578)	(15, 33.463323959762)	(16, 33.47594117771582)	(17, 33.48750969642551)	(18, 33.48028875151826)	(19, 33.48845024874615)	(20, 33.4797748764437)	(21, 33.49356608918298)	(22, 33.47220716281653)	(23, 33.394013866352545)	(24, 33.479143141462515)	(25, 33.47235832694797)	(26, 33.512267106698395)	(27, 33.517667993457316)	(28, 33.51642214861497)	(29, 33.5200027339889)	(30, 33.51117369546531)	(31, 33.51075743841278)	(32, 33.491792821490236)	(33, 33.519018371956335)	(34, 33.50106676990601)	(35, 33.50023504079759)	(36, 33.50147172396751)	(37, 33.50382863177626)	(38, 33.50577314437629)	(39, 33.504724751048705)	(40, 33.50032593666195)	(41, 33.495658486302744)	(42, 33.476383353166106)	(43, 33.49481963322408)	(44, 33.476584981221286)	(45, 33.39911931650288)	(46, 33.39425482274655)	(47, 33.391177222512916)	(48, 33.46180347588481)	(49, 33.39798240896457)	(50, 33.47309314589683)	(51, 33.311847385843826)
SRR27848291_2	(1, 33.32385757702377)	(2, 33.377480485821465)	(3, 33.253458821361285)	(4, 33.28753412554059)	(5, 33.410450666875654)	(6, 33.379311955011836)	(7, 33.433063042526925)	(8, 33.36635197377714)	(9, 33.52381622051471)	(10, 33.41928192368004)	(11, 33.482671941787714)	(12, 33.441721526561054)	(13, 33.48694666699146)	(14, 33.465935941615875)	(15, 33.45756852522175)	(16, 33.472297641706774)	(17, 33.45570006831742)	(18, 33.478361482578585)	(19, 33.48428027843556)	(20, 33.45747176893284)	(21, 33.47494839960254)	(22, 33.477459411389106)	(23, 33.478225511299044)	(24, 33.462442973494646)	(25, 33.43715143284354)	(26, 33.476608841422745)	(27, 33.50502698508371)	(28, 33.48239432302286)	(29, 33.49332858113028)	(30, 33.48034508317593)	(31, 33.48647970711226)	(32, 33.47570054433284)	(33, 33.45815136131771)	(34, 33.45763644524286)	(35, 33.447674942774206)	(36, 33.44965148632699)	(37, 33.451972318615695)	(38, 33.442882324861955)	(39, 33.435975869200746)	(40, 33.42878395940541)	(41, 33.43792526631396)	(42, 33.414024348596435)	(43, 33.42309746376205)	(44, 33.408323208190694)	(45, 33.37841648260096)	(46, 33.39113626245341)	(47, 33.3369342476595)	(48, 33.30053036047719)	(49, 33.28553092120159)	(50, 33.24154693662325)	(51, 33.19000124884642)
SRR27848292_1	(1, 33.24373665069116)	(2, 33.39338652509593)	(3, 33.19661062396943)	(4, 33.347942472762014)	(5, 33.42049143949084)	(6, 33.30757031021251)	(7, 33.42137584564886)	(8, 33.26766585504924)	(9, 33.541068407021)	(10, 33.413399392827976)	(11, 33.508215931331)	(12, 33.45696475628361)	(13, 33.47681203864943)	(14, 33.48655830546609)	(15, 33.47496139680387)	(16, 33.48737819237017)	(17, 33.49877151789317)	(18, 33.49042156148573)	(19, 33.49692446528664)	(20, 33.48988317088123)	(21, 33.50156316474479)	(22, 33.48225588544493)	(23, 33.404412723456986)	(24, 33.487459193019355)	(25, 33.480836994437134)	(26, 33.52202488311883)	(27, 33.52667438381969)	(28, 33.524917121500145)	(29, 33.529299888097015)	(30, 33.521314565323614)	(31, 33.521757984136336)	(32, 33.50329402779928)	(33, 33.528284022569906)	(34, 33.509369516421714)	(35, 33.50899177183246)	(36, 33.50887987355082)	(37, 33.510019684759285)	(38, 33.51272135579927)	(39, 33.51312586660094)	(40, 33.50717744843601)	(41, 33.504880758011126)	(42, 33.485541906496735)	(43, 33.50169309525199)	(44, 33.48101915332039)	(45, 33.40219863854493)	(46, 33.39333758943516)	(47, 33.39114597017496)	(48, 33.467958495308665)	(49, 33.40662365702717)	(50, 33.477859856636556)	(51, 33.31883223048612)
SRR27848292_2	(1, 33.308583547795536)	(2, 33.35153095190396)	(3, 33.232314419565114)	(4, 33.26571065324929)	(5, 33.39295996363132)	(6, 33.36309665438967)	(7, 33.41803855696476)	(8, 33.35535128137954)	(9, 33.50990746020249)	(10, 33.40127760398206)	(11, 33.468578231187685)	(12, 33.42987278667304)	(13, 33.47340871615478)	(14, 33.45289924642863)	(15, 33.4452051902421)	(16, 33.460470065260026)	(17, 33.43915606268356)	(18, 33.46518082410862)	(19, 33.47157536876276)	(20, 33.44399420120684)	(21, 33.46017945637541)	(22, 33.46265700435254)	(23, 33.46552130381758)	(24, 33.44986244615228)	(25, 33.42395236633493)	(26, 33.46648896961917)	(27, 33.49208587064942)	(28, 33.471061779010945)	(29, 33.48362116402916)	(30, 33.46907043075174)	(31, 33.47393845167219)	(32, 33.463998099325686)	(33, 33.4442369427291)	(34, 33.44566354886484)	(35, 33.435492602667075)	(36, 33.43807562143175)	(37, 33.43944859065383)	(38, 33.429812057955765)	(39, 33.42554321775123)	(40, 33.417940467941506)	(41, 33.43093682429488)	(42, 33.41054718898628)	(43, 33.419600500707396)	(44, 33.40213051287895)	(45, 33.37228873853899)	(46, 33.39204171739289)	(47, 33.34200208541076)	(48, 33.31204564645592)	(49, 33.311256063755714)	(50, 33.28145620738357)	(51, 33.21499546378207)
