Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR27848286_2 - illumina_universal_adapter	(1, 9.836595567389587e-05)	(2, 0.00013844097465214974)	(3, 0.00018580236071735886)	(4, 0.0005865525504998976)	(5, 0.0011585323668258846)	(6, 0.004222449726890567)	(7, 0.004353604334455761)	(8, 0.004860006846999151)	(9, 0.0053445502582816756)	(10, 0.005792661834129424)	(11, 0.005956605093585917)	(12, 0.006109618802411977)	(13, 0.006266275694781514)	(14, 0.006455721239042351)	(15, 0.009654436390215706)	(16, 0.01302438116793251)	(17, 0.019669547951235697)	(18, 0.028336681601168968)	(19, 0.03407105249860275)	(20, 0.03996936665549302)	(21, 0.05974456692948957)	(22, 0.11847268565034888)	(23, 0.18498628760361988)	(24, 0.2169770822988969)	(25, 0.24806801065893497)	(26, 0.29893778247651304)	(27, 0.37267946058004364)	(28, 0.49798675855795654)	(29, 0.6795885286496857)	(30, 0.9107630972175149)	(31, 1.1789961287895985)	(32, 1.179990717896968)	(33, 1.1820782620673806)	(34, 1.1833133012886194)	(35, 1.1846248473642715)	(36, 1.187131357642184)	(37, 1.1888655130088794)	(38, 1.1941809177988132)	(39, 1.2035147540372029)	(40, 1.2142657886740054)
SRR27848286_2 - polya	(1, 0.002954621853760354)	(2, 0.007920281023520357)	(3, 0.011680046440389266)	(4, 0.013938820237345393)	(5, 0.017006380780953553)	(6, 0.019727838887931337)	(7, 0.022391006058213484)	(8, 0.027312947025451752)	(9, 0.03554289865016771)	(10, 0.043353884167383734)	(11, 0.04641780152744842)	(12, 0.05037065567212164)	(13, 0.05525616480392514)	(14, 0.060148960302815586)	(15, 0.06465193516255394)	(16, 0.06928970781340095)	(17, 0.07496943095768256)	(18, 0.0797675036844426)	(19, 0.0840336716138549)	(20, 0.08860222377737584)	(21, 0.09281374395363597)	(22, 0.0969451140919396)	(23, 0.10098904782519977)	(24, 0.1059000592418076)	(25, 0.11029373859524162)	(26, 0.11462912701197998)	(27, 0.11821037643521849)	(28, 0.12186084634578308)	(29, 0.12567525951580416)	(30, 0.1293111566921948)	(31, 0.13295434023567243)	(32, 0.13597818257675887)	(33, 0.13862313382932362)	(34, 0.14132273283504054)	(35, 0.14329005194851846)	(36, 0.14531930518223551)	(37, 0.14670007174521352)	(38, 0.14730848339697428)	(39, 0.14730848339697428)	(40, 0.14730848339697428)
SRR27848287_1 - polya	(1, 0.0021471093416157595)	(2, 0.007605554542851769)	(3, 0.01257799864311394)	(4, 0.017492412761170282)	(5, 0.02256640933029266)	(6, 0.026933165491281465)	(7, 0.03179680337490771)	(8, 0.040182135803650335)	(9, 0.05581396226034615)	(10, 0.07156547555534148)	(11, 0.07699853263936245)	(12, 0.08338908442977962)	(13, 0.0917381481196436)	(14, 0.09971364379905755)	(15, 0.10900206782587843)	(16, 0.11600556130334469)	(17, 0.12426395314601207)	(18, 0.13164101463392838)	(19, 0.13861911999417958)	(20, 0.14720393048675476)	(21, 0.15499445559788763)	(22, 0.1611601412072572)	(23, 0.1667237657512413)	(24, 0.1730780488027798)	(25, 0.17897897261833529)	(26, 0.18429959661183246)	(27, 0.1897834299302835)	(28, 0.1953760694653705)	(29, 0.2014293219842163)	(30, 0.20673543848216197)	(31, 0.21232445114336113)	(32, 0.21739482083859563)	(33, 0.22187401009010824)	(34, 0.22589258635786205)	(35, 0.22920754909137017)	(36, 0.23191682388560492)	(37, 0.2336939920906585)	(38, 0.23467687491426978)	(39, 0.23467687491426978)	(40, 0.23467687491426978)
SRR27848287_2 - illumina_universal_adapter	(1, 2.5388117215051208e-05)	(2, 4.35224866543735e-05)	(3, 0.00011968683829952712)	(4, 0.0005367773354039399)	(5, 0.000743509147012214)	(6, 0.002176124332718675)	(7, 0.0022958111710182022)	(8, 0.002745543533113395)	(9, 0.0031227384174512987)	(10, 0.0034310226979197777)	(11, 0.0035362020406678467)	(12, 0.003634127635640187)	(13, 0.0037284263567246632)	(14, 0.003956919411660124)	(15, 0.004667786693681558)	(16, 0.005447564579572416)	(17, 0.007076030955223558)	(18, 0.009205005927399994)	(19, 0.012200803758776038)	(20, 0.016658231766961455)	(21, 0.034252196996991946)	(22, 0.0885029766116685)	(23, 0.14825572391423547)	(24, 0.17391222979698864)	(25, 0.20087803715326089)	(26, 0.2442264338610169)	(27, 0.30576360311641315)	(28, 0.4096118831476362)	(29, 0.5722481620272543)	(30, 0.7814571285009397)	(31, 1.0341668203856715)	(32, 1.034855926424366)	(33, 1.0365025271694563)	(34, 1.0377537986607697)	(35, 1.038678651502175)	(36, 1.0405029690677707)	(37, 1.0417868824240748)	(38, 1.0456676374840899)	(39, 1.0530011764853517)	(40, 1.060831597209251)
SRR27848287_2 - polya	(1, 0.0027129016681226147)	(2, 0.006154804987705985)	(3, 0.008185854364910082)	(4, 0.010561456761461302)	(5, 0.013666060809473279)	(6, 0.016001767593257988)	(7, 0.018569594305866025)	(8, 0.02377778520883939)	(9, 0.032319073214760186)	(10, 0.040417882606361526)	(11, 0.04375097970930896)	(12, 0.04760634665210888)	(13, 0.05233216332799627)	(14, 0.0569926962739021)	(15, 0.06202679723025797)	(16, 0.0671153012949318)	(17, 0.07329549439985283)	(18, 0.07843840157284464)	(19, 0.08298650142822667)	(20, 0.08761801938302959)	(21, 0.09227129858115968)	(22, 0.09718208582532815)	(23, 0.10198043997897284)	(24, 0.10673527164596314)	(25, 0.11092793786033446)	(26, 0.11522578341745383)	(27, 0.11903037412582365)	(28, 0.1232919509440644)	(29, 0.1271980941212944)	(30, 0.13136537221845068)	(31, 0.13527876914345643)	(32, 0.138608239372516)	(33, 0.14152061910447117)	(34, 0.1441283414298457)	(35, 0.14625368952813428)	(36, 0.14814691769759952)	(37, 0.1494670997927822)	(38, 0.1501924745703551)	(39, 0.1501924745703551)	(40, 0.1501924745703551)
SRR27848288_1 - polya	(1, 0.0016196560949506675)	(2, 0.007047432175053202)	(3, 0.011678234621132393)	(4, 0.016321891480663573)	(5, 0.020756664121599922)	(6, 0.025043611007838397)	(7, 0.02931770348062488)	(8, 0.03726494459731734)	(9, 0.053021241886093376)	(10, 0.06871005350424647)	(11, 0.07403820788009609)	(12, 0.08056824991370672)	(13, 0.0883548108622493)	(14, 0.09609959496707293)	(15, 0.10581753153677695)	(16, 0.113035284690069)	(17, 0.12066437907382473)	(18, 0.12789498664056878)	(19, 0.13449572794816536)	(20, 0.1428350286751435)	(21, 0.1503548605445573)	(22, 0.1571516316572967)	(23, 0.1626179709777552)	(24, 0.16891984717259304)	(25, 0.17469147881253627)	(26, 0.1797818265395241)	(27, 0.1848721742665119)	(28, 0.19003964847421165)	(29, 0.19585627056123686)	(30, 0.2015282804969272)	(31, 0.20763734048998517)	(32, 0.2136660603989682)	(33, 0.218801398573038)	(34, 0.22325545283415232)	(35, 0.22687075661752434)	(36, 0.2295026977718192)	(37, 0.2316493848183014)	(38, 0.23245278565905075)	(39, 0.23245278565905075)	(40, 0.23245278565905075)
SRR27848288_2 - illumina_universal_adapter	(1, 5.4631257170955056e-05)	(2, 7.391287734893919e-05)	(3, 0.0008034008407493391)	(4, 0.0012243828813019927)	(5, 0.0016646465420326305)	(6, 0.004235529232430515)	(7, 0.004415491020758367)	(8, 0.0049618035924679175)	(9, 0.005260668705226672)	(10, 0.005726641192861289)	(11, 0.005925884601367125)	(12, 0.006035147115709035)	(13, 0.0061990408872219)	(14, 0.006452915552898691)	(15, 0.007722288881282647)	(16, 0.008712078717085833)	(17, 0.010855552160205069)	(18, 0.013252900269001097)	(19, 0.016855349638921133)	(20, 0.02117443255878958)	(21, 0.03694037065765461)	(22, 0.08436672908876959)	(23, 0.13565583876220738)	(24, 0.15797431411822405)	(25, 0.17994250670767395)	(26, 0.21675433323080867)	(27, 0.2667804967825885)	(28, 0.3553249102432547)	(29, 0.48647206348717675)	(30, 0.6562499427576901)	(31, 0.8532020520657091)	(32, 0.854587115115161)	(33, 0.8579003401824112)	(34, 0.8598799198540176)	(35, 0.8619976844702328)	(36, 0.8665770692625041)	(37, 0.8695367979598246)	(38, 0.8786730723208261)	(39, 0.8950688766788386)	(40, 0.9134089110714645)
SRR27848288_2 - polya	(1, 0.002799048529170697)	(2, 0.005823049293751209)	(3, 0.0077415705014606305)	(4, 0.010103568973263687)	(5, 0.013166132978200167)	(6, 0.015512063433188238)	(7, 0.017796935424279358)	(8, 0.02271696217302831)	(9, 0.030268930076072096)	(10, 0.0375573825033501)	(11, 0.040407848686328754)	(12, 0.044106706157138714)	(13, 0.04890140237473077)	(14, 0.053059805126449346)	(15, 0.05745280092366673)	(16, 0.06200326328567099)	(17, 0.06749531143303347)	(18, 0.07211968667238666)	(19, 0.07639056554181015)	(20, 0.08090889187018444)	(21, 0.08506408101854002)	(22, 0.08936388231823048)	(23, 0.09354799389685303)	(24, 0.0981016698622203)	(25, 0.10201262515498807)	(26, 0.10581753153677695)	(27, 0.10935570883943703)	(28, 0.11308348874051397)	(29, 0.11684019107185788)	(30, 0.12063224304019475)	(31, 0.12391011847045205)	(32, 0.12691162401149159)	(33, 0.12950821552879346)	(34, 0.1321048070460953)	(35, 0.13412294995805765)	(36, 0.13583580055053524)	(37, 0.1368480856098794)	(38, 0.137371902958048)	(39, 0.137371902958048)	(40, 0.137371902958048)
SRR27848289_1 - polya	(1, 0.0015898609709819773)	(2, 0.006911571334101567)	(3, 0.011375155901168122)	(4, 0.015599263501894296)	(5, 0.019999652758398805)	(6, 0.023891153461430007)	(7, 0.028324803407704015)	(8, 0.03602465308934267)	(9, 0.052116174799825526)	(10, 0.06611892519278395)	(11, 0.0713973966592032)	(12, 0.07747079861111342)	(13, 0.0849378234643656)	(14, 0.09250130431794931)	(15, 0.10194401414350963)	(16, 0.10838660975186129)	(17, 0.11624278467541657)	(18, 0.12302796538839406)	(19, 0.12940071354822977)	(20, 0.13769925564571936)	(21, 0.14562860408676756)	(22, 0.15205789541921141)	(23, 0.15737295364437712)	(24, 0.1636392675969504)	(25, 0.1691073249950558)	(26, 0.174256079771374)	(27, 0.17919196613316743)	(28, 0.1845935021517338)	(29, 0.18959923596204317)	(30, 0.19492094632516277)	(31, 0.2002725913090749)	(32, 0.20583045256955793)	(33, 0.2105634487237574)	(34, 0.21483412129016086)	(35, 0.2182400159225574)	(36, 0.2208942189661633)	(37, 0.2234752484922763)	(38, 0.2245196341510385)	(39, 0.2245196341510385)	(40, 0.2245196341510385)
SRR27848289_2 - illumina_universal_adapter	(1, 2.993462079254769e-05)	(2, 3.991282772339692e-05)	(3, 8.315172442374358e-05)	(4, 0.0006386052435743507)	(5, 0.0008348433132143856)	(6, 0.002514508146574006)	(7, 0.002567725250205202)	(8, 0.0028936800099462765)	(9, 0.003266199735364648)	(10, 0.003642045529759969)	(11, 0.0037617840129301598)	(12, 0.0038848485650773003)	(13, 0.0039846306343857925)	(14, 0.004170890497094978)	(15, 0.004756278637038133)	(16, 0.005281797535396192)	(17, 0.006382726366766557)	(18, 0.007530220163814219)	(19, 0.01036735700115235)	(20, 0.014295444462929997)	(21, 0.02875719237470748)	(22, 0.07607052357181758)	(23, 0.12725539905809718)	(24, 0.14876841320100812)	(25, 0.17076038127659982)	(26, 0.2112253364501704)	(27, 0.2604677876539113)	(28, 0.3462870193971686)	(29, 0.48764827698650964)	(30, 0.6520359101032738)	(31, 0.8449079979386355)	(32, 0.8457162327000343)	(33, 0.8476486787756421)	(34, 0.8488660200212057)	(35, 0.8500201659562072)	(36, 0.8523051753433717)	(37, 0.8538983623833306)	(38, 0.858970617573179)	(39, 0.8679576559488972)	(40, 0.8778061461896454)
