Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR27848289_2 - polya	(1, 0.0025577470432743524)	(2, 0.005394883880612484)	(3, 0.007260808576681289)	(4, 0.009436057687606421)	(5, 0.012136825696889614)	(6, 0.014524943222339529)	(7, 0.016650301298610413)	(8, 0.021193711521123763)	(9, 0.0285310196842749)	(10, 0.03576189364016364)	(11, 0.038835181374865205)	(12, 0.042583661111887564)	(13, 0.047127071334400916)	(14, 0.0511649190724179)	(15, 0.055382374535190175)	(16, 0.059653047101593644)	(17, 0.06487497539540474)	(18, 0.06957803692881168)	(19, 0.07406157790973994)	(20, 0.07866153130486143)	(21, 0.08274594400855571)	(22, 0.08670064002214896)	(23, 0.0907152052773273)	(24, 0.09503576887838501)	(25, 0.09918005082366439)	(26, 0.10304161690590305)	(27, 0.10663044533203182)	(28, 0.11048203320733962)	(29, 0.11436688177241693)	(30, 0.11813531792330098)	(31, 0.12155451683160531)	(32, 0.12477415160129267)	(33, 0.1273917678861521)	(34, 0.13002601451589632)	(35, 0.1319118956258268)	(36, 0.1335948865281634)	(37, 0.13483883632554258)	(38, 0.1354674633621861)	(39, 0.1354674633621861)	(40, 0.1354674633621861)
SRR27848290_1 - polya	(1, 0.0018975575796550315)	(2, 0.007477198910445729)	(3, 0.012015581208357131)	(4, 0.01652656195277171)	(5, 0.020941637259947406)	(6, 0.02494568926467075)	(7, 0.029408717290465885)	(8, 0.03701949877420863)	(9, 0.052802793588379)	(10, 0.06751742781617326)	(11, 0.07272029778638263)	(12, 0.0789712771778455)	(13, 0.08714036531408603)	(14, 0.09424764325232464)	(15, 0.10299216401199845)	(16, 0.10985967835713986)	(17, 0.11784038081308973)	(18, 0.12481750137221842)	(19, 0.1316507637754888)	(20, 0.1393368995313478)	(21, 0.1462866185369797)	(22, 0.15254102312262965)	(23, 0.15775416867540035)	(24, 0.16380306160982414)	(25, 0.1692045928428855)	(26, 0.17419510077349448)	(27, 0.17918903389829058)	(28, 0.1848234783360749)	(29, 0.1904065448610527)	(30, 0.19577382415224304)	(31, 0.2012335836864851)	(32, 0.20636109938457822)	(33, 0.2107247967789474)	(34, 0.21451991193825745)	(35, 0.21799305884397985)	(36, 0.22042494671682292)	(37, 0.2225040395883944)	(38, 0.2234185664363509)	(39, 0.2234185664363509)	(40, 0.2234185664363509)
SRR27848290_2 - illumina_universal_adapter	(1, 3.4251941871029454e-05)	(2, 3.76771360581324e-05)	(3, 9.93306314259854e-05)	(4, 0.0005377554873751624)	(5, 0.0008391725758402215)	(6, 0.002750430932243665)	(7, 0.002860037146230959)	(8, 0.003435469769664254)	(9, 0.003788264770935857)	(10, 0.004086256665213814)	(11, 0.00417531171407849)	(12, 0.004202713267575314)	(13, 0.00429176831643999)	(14, 0.004469878414169343)	(15, 0.0050179094841058145)	(16, 0.005610468078474624)	(17, 0.006747632548592802)	(18, 0.00796700167920145)	(19, 0.010529046931154452)	(20, 0.013423336019256441)	(21, 0.025370413343871513)	(22, 0.06265022687629997)	(23, 0.10284488066195303)	(24, 0.12120049631063771)	(25, 0.13942252938602537)	(26, 0.1707356546445205)	(27, 0.21378692038221742)	(28, 0.28827804356333225)	(29, 0.4061458259299188)	(30, 0.5553472847201231)	(31, 0.734947341920866)	(32, 0.7355364753210477)	(33, 0.7368243483353984)	(34, 0.7377560011542904)	(35, 0.7386568272254985)	(36, 0.7403317471829919)	(37, 0.741403832963555)	(38, 0.7451920977344909)	(39, 0.7520253601377613)	(40, 0.7594203543877166)
SRR27848290_2 - polya	(1, 0.0027744072915533856)	(2, 0.006148223565849787)	(3, 0.008038930757130611)	(4, 0.010179677124069952)	(5, 0.012899281308629692)	(6, 0.015170185054678943)	(7, 0.017639750063580168)	(8, 0.022832344451228233)	(9, 0.030768519382745756)	(10, 0.03869441873170197)	(11, 0.04167091248029443)	(12, 0.04565098812570805)	(13, 0.05026814988992282)	(14, 0.054669524420350106)	(15, 0.05928326099037777)	(16, 0.06399632819183143)	(17, 0.06951431602725427)	(18, 0.07436781619037915)	(19, 0.07855682868120605)	(20, 0.08307808500818194)	(21, 0.08766442002471278)	(22, 0.09218910154587577)	(23, 0.09655279894024492)	(24, 0.10144055104524081)	(25, 0.10579739805123577)	(26, 0.10981857602689463)	(27, 0.11356573846758525)	(28, 0.11765884552117327)	(29, 0.12149163781654146)	(30, 0.1256121464236263)	(31, 0.12935930886431693)	(32, 0.1328119046049167)	(33, 0.13592198092680616)	(34, 0.13862103394624328)	(35, 0.14055626866195645)	(36, 0.14250520415441803)	(37, 0.14368347095478146)	(38, 0.14438221056895045)	(39, 0.14438221056895045)	(40, 0.14438221056895045)
SRR27848291_1 - polya	(1, 0.0020117910411403873)	(2, 0.00788762174156976)	(3, 0.012697242102980821)	(4, 0.01765083977294545)	(5, 0.02252661187071896)	(6, 0.026900409027859763)	(7, 0.03158550847376504)	(8, 0.03945367382228702)	(9, 0.055213352190988316)	(10, 0.07038155621103712)	(11, 0.0757087166275191)	(12, 0.08193865368141806)	(13, 0.08976401496523492)	(14, 0.09716911815921976)	(15, 0.1060723636178836)	(16, 0.11306888255786507)	(17, 0.12114717695130306)	(18, 0.12802695753299784)	(19, 0.1344864800248606)	(20, 0.14225347212953413)	(21, 0.14996598633367386)	(22, 0.15648776928328953)	(23, 0.16183827737142883)	(24, 0.16814214871890937)	(25, 0.17387400211078516)	(26, 0.17950857353742208)	(27, 0.18463338746620717)	(28, 0.19044695770888365)	(29, 0.196007594841939)	(30, 0.20131919014398275)	(31, 0.20667358951073164)	(32, 0.21169723019566827)	(33, 0.2160710273528091)	(34, 0.2200362402559465)	(35, 0.2236084340195188)	(36, 0.2260521569863199)	(37, 0.22802503524136472)	(38, 0.22891613804295302)	(39, 0.22891613804295302)	(40, 0.22891613804295302)
SRR27848291_2 - illumina_universal_adapter	(1, 4.2804064705114624e-05)	(2, 6.2260457752894e-05)	(3, 0.00014786858716312325)	(4, 0.0008911028015882954)	(5, 0.0014086428566592267)	(6, 0.004171450669443898)	(7, 0.0042920803063401305)	(8, 0.005194856943757094)	(9, 0.005724070834656692)	(10, 0.006299980068870962)	(11, 0.006494543999348756)	(12, 0.006654086422340546)	(13, 0.006766933502017667)	(14, 0.007019866611638799)	(15, 0.00822616298060112)	(16, 0.009039440209998298)	(17, 0.011035666136700461)	(18, 0.014697359308292541)	(19, 0.01856529024619108)	(20, 0.023550018145032155)	(21, 0.043481147183177346)	(22, 0.10261301693398843)	(23, 0.16741058834031286)	(24, 0.197645823136562)	(25, 0.22757364692265625)	(26, 0.2783548327773604)	(27, 0.34724213800232806)	(28, 0.46342015216922827)	(29, 0.6384537553056611)	(30, 0.864015611187177)	(31, 1.1294319425877641)	(32, 1.13060710872785)	(33, 1.1332843084112245)	(34, 1.1349108628700189)	(35, 1.1366736120801475)	(36, 1.1399734163410509)	(37, 1.1424638346511666)	(38, 1.1496393524071877)	(39, 1.1623716160176545)	(40, 1.1773919514505402)
SRR27848291_2 - polya	(1, 0.003027414758234471)	(2, 0.006759150944798555)	(3, 0.009444133185392108)	(4, 0.011989029396041651)	(5, 0.015144856348391467)	(6, 0.017604144429630778)	(7, 0.020363060963805895)	(8, 0.02555791790756299)	(9, 0.03407981806249036)	(10, 0.04187794039604033)	(11, 0.04499096328368503)	(12, 0.048769394813563786)	(13, 0.05348173320973595)	(14, 0.05801118151125899)	(15, 0.06270406351438337)	(16, 0.06769268269183401)	(17, 0.07351403549172959)	(18, 0.0786193930274669)	(19, 0.08323834073700973)	(20, 0.08814913434226924)	(21, 0.09269803903684005)	(22, 0.09718468327365798)	(23, 0.10162463216716124)	(24, 0.10664438157348831)	(25, 0.11100261361619089)	(26, 0.1151468253353679)	(27, 0.11908479928823845)	(28, 0.1233574232015308)	(29, 0.12692572568649355)	(30, 0.13099600311208898)	(31, 0.13442811084571726)	(32, 0.1377746104499353)	(33, 0.14079424265095067)	(34, 0.14348311617015377)	(35, 0.14558440661931396)	(36, 0.1473004604861281)	(37, 0.14853788708396687)	(38, 0.1491332527112289)	(39, 0.1491332527112289)	(40, 0.1491332527112289)
SRR27848292_1 - polya	(1, 0.0020572960811206485)	(2, 0.007608913408639103)	(3, 0.012494028447704612)	(4, 0.017329059499776547)	(5, 0.022156385323080244)	(6, 0.026425082060686382)	(7, 0.030959609190796874)	(8, 0.03926584580296189)	(9, 0.054880491901804565)	(10, 0.06996347721563853)	(11, 0.07523000107873203)	(12, 0.08202216023793746)	(13, 0.0901665870459694)	(14, 0.09776779522584025)	(15, 0.10699480667581021)	(16, 0.11391410210969163)	(17, 0.1220469710745712)	(18, 0.12922053905780462)	(19, 0.13567752076559153)	(20, 0.14414941979627374)	(21, 0.15171980706107163)	(22, 0.15796874759211602)	(23, 0.16374381655391348)	(24, 0.1698771786534342)	(25, 0.17545961689602566)	(26, 0.18052580481114483)	(27, 0.18590790710576197)	(28, 0.19133238815860443)	(29, 0.19717295156493198)	(30, 0.20291719961165647)	(31, 0.20857283752754618)	(32, 0.214263148972893)	(33, 0.21872832904408931)	(34, 0.2227466058467276)	(35, 0.2261677274198271)	(36, 0.2290957143517591)	(37, 0.23113374736095915)	(38, 0.23199288036861815)	(39, 0.23199288036861815)	(40, 0.23199288036861815)
SRR27848292_2 - illumina_universal_adapter	(1, 2.3115686304726386e-05)	(2, 5.778921576181597e-05)	(3, 0.0001078732027553898)	(4, 0.000535513399392828)	(5, 0.0007859333343606972)	(6, 0.0020264751660476798)	(7, 0.0021651692838760383)	(8, 0.0025851042517452344)	(9, 0.0028547872586337088)	(10, 0.0031437333374427887)	(11, 0.0032901326840393892)	(12, 0.003336364056648842)	(13, 0.003413416344331263)	(14, 0.0035983418347690743)	(15, 0.00448829575750104)	(16, 0.005077745758271563)	(17, 0.006487802622859873)	(18, 0.00835632059915859)	(19, 0.011149466027646361)	(20, 0.01458985067266647)	(21, 0.027673329121141607)	(22, 0.06816815891263811)	(23, 0.11259650799032224)	(24, 0.1329999537686274)	(25, 0.15272533941532723)	(26, 0.18962182737205469)	(27, 0.23587631566781217)	(28, 0.3166117027014532)	(29, 0.44744648718620456)	(30, 0.602024934120294)	(31, 0.7828628006965527)	(32, 0.7836294709589928)	(33, 0.7853477369743108)	(34, 0.7864495846881694)	(35, 0.7874705274999615)	(36, 0.789554791881771)	(37, 0.7912653526683208)	(38, 0.7956573330662188)	(39, 0.8037247075865682)	(40, 0.8128438458337828)
SRR27848292_2 - polya	(1, 0.0027045352976529874)	(2, 0.0058290055631751705)	(3, 0.007789986284692792)	(4, 0.01020172288915258)	(5, 0.013260698710144705)	(6, 0.015579972569385585)	(7, 0.018122698062905486)	(8, 0.022926908199904457)	(9, 0.031117566380545837)	(10, 0.03903854155429875)	(11, 0.04185865528347537)	(12, 0.0455956912360728)	(13, 0.05041916444499237)	(14, 0.05481114484289039)	(15, 0.05937264027368973)	(16, 0.06406127197916506)	(17, 0.06968608897998181)	(18, 0.07440168898614599)	(19, 0.07887072167172643)	(20, 0.08355550076281765)	(21, 0.08810929096484875)	(22, 0.09249741874836263)	(23, 0.09688554653187653)	(24, 0.10175525111340555)	(25, 0.10601239000785934)	(26, 0.10998058282350404)	(27, 0.11381008152132037)	(28, 0.11792852629794578)	(29, 0.1216809727080797)	(30, 0.12564531290934028)	(31, 0.129232096900957)	(32, 0.13247985082677105)	(33, 0.13505724984974804)	(34, 0.13770784854602333)	(35, 0.13966497665315683)	(36, 0.1415065263287667)	(37, 0.1427162472453807)	(38, 0.14326717110231002)	(39, 0.14326717110231002)	(40, 0.14326717110231002)
SRR27848293_1 - polya	(1, 0.002134009262130857)	(2, 0.007740047803323642)	(3, 0.012527354549453789)	(4, 0.016924247522938324)	(5, 0.021366625596148565)	(6, 0.025316248422330365)	(7, 0.029762416920517745)	(8, 0.037559321098498515)	(9, 0.05244811040871167)	(10, 0.06712084549522775)	(11, 0.0724160691882949)	(12, 0.07843905447697329)	(13, 0.08610708420573122)	(14, 0.0936500299102435)	(15, 0.10279253495510962)	(16, 0.10935376059054215)	(17, 0.11672992759606017)	(18, 0.12348446490532694)	(19, 0.1295870491185253)	(20, 0.13730056394700896)	(21, 0.14460850330293842)	(22, 0.1504040630929883)	(23, 0.15576372401066685)	(24, 0.1619269550234995)	(25, 0.1674268616653323)	(26, 0.1724074800852967)	(27, 0.1773994697801925)	(28, 0.1825733998739911)	(29, 0.18781555761737828)	(30, 0.19262560691337127)	(31, 0.19833019650396974)	(32, 0.20398551056986539)	(33, 0.20856813436722987)	(34, 0.21279445821674303)	(35, 0.21595567264767931)	(36, 0.21835122123323297)	(37, 0.22027296669664387)	(38, 0.22111444104156935)	(39, 0.22111444104156935)	(40, 0.22111444104156935)
SRR27848293_2 - illumina_universal_adapter	(1, 1.5161699908567368e-05)	(2, 4.5485099725702105e-05)	(3, 8.338934949712053e-05)	(4, 0.000598887146388411)	(5, 0.0008490551948797726)	(6, 0.002713944283633559)	(7, 0.0028693517076963746)	(8, 0.0033279931299305373)	(9, 0.003676712227827587)	(10, 0.004226323849513154)	(11, 0.004427216373301672)	(12, 0.004582623797364487)	(13, 0.004741821646404445)	(14, 0.0049578758701015295)	(15, 0.006640824559952507)	(16, 0.007539155279535124)	(17, 0.010090111289151583)	(18, 0.013440846968944972)	(19, 0.01806895586603516)	(20, 0.023606766757639393)	(21, 0.045894465623233426)	(22, 0.11307595791809544)	(23, 0.18602268660319018)	(24, 0.2181541191344216)	(25, 0.24982691024341883)	(26, 0.30147145055697644)	(27, 0.37200746895660897)	(28, 0.49306985230154227)	(29, 0.6676757788735812)	(30, 0.8983648334074109)	(31, 1.1683605949542015)	(32, 1.1694901415973897)	(33, 1.1719463369825776)	(34, 1.1736217048224744)	(35, 1.175213683312874)	(36, 1.177999645671073)	(37, 1.1799213911344841)	(38, 1.1860315561976367)	(39, 1.1970010460814853)	(40, 1.2091948432329505)
SRR27848293_2 - polya	(1, 0.0026760400338621407)	(2, 0.006280734187124033)	(3, 0.008452647699026308)	(4, 0.01032890806271152)	(5, 0.013058014046253646)	(6, 0.015347430732447319)	(7, 0.017519344244349595)	(8, 0.02240520203988543)	(9, 0.030581148715580382)	(10, 0.037995219970869826)	(11, 0.04108820675221757)	(12, 0.044654996655708046)	(13, 0.04908600345398686)	(14, 0.05351321982728853)	(15, 0.05796696917543019)	(16, 0.06259886849749752)	(17, 0.06827313468827886)	(18, 0.07285575848564335)	(19, 0.07748765780771068)	(20, 0.08186938908128664)	(21, 0.08612982675559408)	(22, 0.09077688777756998)	(23, 0.09487812760283745)	(24, 0.09954414074969906)	(25, 0.10366812312482938)	(26, 0.10772008742539402)	(27, 0.11128308690390734)	(28, 0.11488778105716924)	(29, 0.11841287628591116)	(30, 0.12216539701328158)	(31, 0.12573218691677204)	(32, 0.12887444922282262)	(33, 0.1316793637059076)	(34, 0.13432887076492975)	(35, 0.13625819707829495)	(36, 0.13795630746805448)	(37, 0.13923747111032844)	(38, 0.13982498698178542)	(39, 0.13982498698178542)	(40, 0.13982498698178542)
SRR27848294_1 - polya	(1, 0.0019004860928275376)	(2, 0.0076541555277065115)	(3, 0.012335755884580208)	(4, 0.016999952522655116)	(5, 0.021733764035925175)	(6, 0.02608121299186216)	(7, 0.030644468060904106)	(8, 0.03881377366505471)	(9, 0.05379489480705054)	(10, 0.06842446082931088)	(11, 0.07381961365693483)	(12, 0.08062098696350078)	(13, 0.08848746786055249)	(14, 0.09581443347484181)	(15, 0.10481911758133419)	(16, 0.11137335808095737)	(17, 0.1189439757584297)	(18, 0.12632663327287513)	(19, 0.13295048864769346)	(20, 0.140503702606367)	(21, 0.14730507591293296)	(22, 0.15320841732948148)	(23, 0.15879501106389213)	(24, 0.16419712537903558)	(25, 0.16954354779402295)	(26, 0.17481339384629566)	(27, 0.18034429568055016)	(28, 0.186157137759345)	(29, 0.19154532909944944)	(30, 0.19705882721490517)	(31, 0.20240176888613276)	(32, 0.20774471055736035)	(33, 0.21236017678279867)	(34, 0.21644656995675385)	(35, 0.21980200694115998)	(36, 0.22230118096066578)	(37, 0.2247585860550545)	(38, 0.22572623282026708)	(39, 0.22572623282026708)	(40, 0.22572623282026708)
SRR27848294_2 - illumina_universal_adapter	(1, 2.088446255854437e-05)	(2, 4.5249668876846136e-05)	(3, 0.00012878751911102362)	(4, 0.0009676467652125558)	(5, 0.001287875191110236)	(6, 0.0030004011209108744)	(7, 0.003146592358820685)	(8, 0.004117719867792999)	(9, 0.004723369281990785)	(10, 0.005349903158747116)	(11, 0.005562228528092317)	(12, 0.005722342741041157)	(13, 0.0058302457975936365)	(14, 0.006032128935659566)	(15, 0.006620374631058565)	(16, 0.007337407845568589)	(17, 0.00875058981203009)	(18, 0.010358693429038007)	(19, 0.013522689506657479)	(20, 0.017661293837009023)	(21, 0.034508093634234814)	(22, 0.08696638283753852)	(23, 0.1431838753013802)	(24, 0.16786234855806012)	(25, 0.19186555752534712)	(26, 0.2302651226829907)	(27, 0.2870116881983155)	(28, 0.3811205572308762)	(29, 0.5186621468976896)	(30, 0.7078544932155431)	(31, 0.9328254046399428)	(32, 0.9339148774367468)	(33, 0.9362713409621026)	(34, 0.9377541378037593)	(35, 0.9393309147269294)	(36, 0.9422164513037683)	(37, 0.9445624725978448)	(38, 0.9512489813603388)	(39, 0.9626031675046673)	(40, 0.9761188955238053)
SRR27848294_2 - polya	(1, 0.00265928823245465)	(2, 0.005652727865846009)	(3, 0.007591502140030878)	(4, 0.010003657565542752)	(5, 0.013129365461804893)	(6, 0.015774730719220514)	(7, 0.018284346970005597)	(8, 0.023491539634602657)	(9, 0.031135252931029898)	(10, 0.03925930886630366)	(11, 0.042308440399851134)	(12, 0.04618250820446112)	(13, 0.051097318393238556)	(14, 0.05569190015611832)	(15, 0.06041875018186886)	(16, 0.0650237741760279)	(17, 0.07057904121660069)	(18, 0.07546252471154032)	(19, 0.0800884331682579)	(20, 0.08470041864993645)	(21, 0.08901654091203562)	(22, 0.09356935374979829)	(23, 0.09816393551267805)	(24, 0.10288382405090908)	(25, 0.10715817738789116)	(26, 0.11096611106106576)	(27, 0.11479840994055865)	(28, 0.11904839807122242)	(29, 0.12266141009385059)	(30, 0.1266886306238899)	(31, 0.1304791605782657)	(32, 0.1335839840119693)	(33, 0.1362467529881837)	(34, 0.13904527097102864)	(35, 0.14117200540824043)	(36, 0.14289497356932032)	(37, 0.14404709975380003)	(38, 0.14458661503656242)	(39, 0.14458661503656242)	(40, 0.14458661503656242)
SRR27848295_1 - polya	(1, 0.0018641231232428336)	(2, 0.00716151037237027)	(3, 0.011786993902350839)	(4, 0.016240404528647456)	(5, 0.02062416659869104)	(6, 0.024725237469825277)	(7, 0.02933023613031966)	(8, 0.036852280205646785)	(9, 0.05174887729600051)	(10, 0.06623577699663052)	(11, 0.07113985475162321)	(12, 0.07768681903940793)	(13, 0.08547516641805546)	(14, 0.09244002204335836)	(15, 0.10081423668931078)	(16, 0.10813143206977606)	(17, 0.11616969485615504)	(18, 0.12281088954357622)	(19, 0.12942340541371672)	(20, 0.13718307397508359)	(21, 0.14415612354818097)	(22, 0.15035484505470054)	(23, 0.15550474124352745)	(24, 0.16156416563754097)	(25, 0.16669767393077892)	(26, 0.17160994563356607)	(27, 0.1766369326054759)	(28, 0.18143858601303764)	(29, 0.18662535496693966)	(30, 0.19132868100096775)	(31, 0.19622456480816597)	(32, 0.20117780624992548)	(33, 0.2055533743721746)	(34, 0.2095929906348503)	(35, 0.21294841225668737)	(36, 0.21545576028179642)	(37, 0.2175247320999011)	(38, 0.21862681807825785)	(39, 0.21862681807825785)	(40, 0.21862681807825785)
SRR27848295_2 - illumina_universal_adapter	(1, 9.832737353368792e-05)	(2, 0.00013520013860882088)	(3, 0.00019255777317013885)	(4, 0.0006678067452496305)	(5, 0.0009586918919534572)	(6, 0.0029621121277023485)	(7, 0.0030686334490305106)	(8, 0.003515203603829343)	(9, 0.003920804019655806)	(10, 0.004371471148351875)	(11, 0.0045640289215220144)	(12, 0.004686938138439125)	(13, 0.004813944329253471)	(14, 0.005035180919704269)	(15, 0.007280322615390143)	(16, 0.00880029993126507)	(17, 0.012856304089529695)	(18, 0.01829708542506043)	(19, 0.022664459599515067)	(20, 0.02758082827619946)	(21, 0.04523059182549644)	(22, 0.09809384602154542)	(23, 0.15495984371519492)	(24, 0.18005380883577154)	(25, 0.20530755593834038)	(26, 0.24649853150116113)	(27, 0.30260249204992457)	(28, 0.39887728166109676)	(29, 0.5406448694271886)	(30, 0.7280117766695281)	(31, 0.9446802412249067)	(32, 0.945843781811722)	(33, 0.9482364145677085)	(34, 0.9498137495181447)	(35, 0.9513337268340196)	(36, 0.9544105542308445)	(37, 0.9566679868482222)	(38, 0.9632026602143151)	(39, 0.9746045385703257)	(40, 0.9886694499595403)
SRR27848295_2 - polya	(1, 0.002740875537251551)	(2, 0.006850140356180258)	(3, 0.009500882467692595)	(4, 0.011807478771837025)	(5, 0.014929372881531617)	(6, 0.017227775237881573)	(7, 0.019522080620334288)	(8, 0.024590037331216456)	(9, 0.03265288196097886)	(10, 0.040334708018298235)	(11, 0.04322717158974755)	(12, 0.04729546666970389)	(13, 0.0521135079728546)	(14, 0.056017924096921454)	(15, 0.0606843773658744)	(16, 0.06531805484364944)	(17, 0.07109069106485637)	(18, 0.07559736235181706)	(19, 0.07971482111854024)	(20, 0.08449189268271859)	(21, 0.08894530330901519)	(22, 0.09328809564008642)	(23, 0.09732361492886486)	(24, 0.10149433435625212)	(25, 0.10561998707076978)	(26, 0.10951620924704215)	(27, 0.11294537639902953)	(28, 0.1169399259488356)	(29, 0.12055755390009587)	(30, 0.1245152306848268)	(31, 0.12782968256769153)	(32, 0.13103351615533088)	(33, 0.1337375189275073)	(34, 0.1363063215610749)	(35, 0.13842036009204917)	(36, 0.1402394165024224)	(37, 0.14141115103703217)	(38, 0.14210763659956246)	(39, 0.14210763659956246)	(40, 0.14210763659956246)
SRR27848296_1 - polya	(1, 0.0015273685644801387)	(2, 0.006880122226624819)	(3, 0.01139723351306608)	(4, 0.016011836410006076)	(5, 0.02078428286680116)	(6, 0.02514355059338733)	(7, 0.029572455184615452)	(8, 0.037511057753797934)	(9, 0.05314221263709468)	(10, 0.06814663573861385)	(11, 0.07395435024975261)	(12, 0.08057449484838082)	(13, 0.0887916448761311)	(14, 0.09624278939281992)	(15, 0.10515166560934694)	(16, 0.11171610071626158)	(17, 0.11980326193001356)	(18, 0.1272311941584884)	(19, 0.13383276892654541)	(20, 0.1414742542065889)	(21, 0.1493617897417006)	(22, 0.15545733662669278)	(23, 0.1613532578330447)	(24, 0.16743951980275126)	(25, 0.172996541601179)	(26, 0.17837715000918045)	(27, 0.18345135621275732)	(28, 0.18870661826440327)	(29, 0.19441684116504332)	(30, 0.19970924287783165)	(31, 0.20527090713390217)	(32, 0.21061437588076126)	(33, 0.21496435869206185)	(34, 0.21858547565344333)	(35, 0.22185376583397226)	(36, 0.22428641363879775)	(37, 0.2261016145771313)	(38, 0.22706260330919023)	(39, 0.22706260330919023)	(40, 0.22706260330919023)
SRR27848296_2 - illumina_universal_adapter	(1, 2.3212288213983872e-05)	(2, 2.3212288213983872e-05)	(3, 2.7854745856780646e-05)	(4, 0.00032032957735297744)	(5, 0.000905279240345371)	(6, 0.0033704242486704583)	(7, 0.0034679158591691905)	(8, 0.003936804081091665)	(9, 0.004322128065443797)	(10, 0.0047213794227243195)	(11, 0.0048327984061514425)	(12, 0.004921005101364581)	(13, 0.005018496711863313)	(14, 0.005148485525861623)	(15, 0.006346239597703191)	(16, 0.007288658499190936)	(17, 0.00977237333808721)	(18, 0.0135281215711098)	(19, 0.016587501157712875)	(20, 0.020589299645803694)	(21, 0.035858342832962284)	(22, 0.08309534934841946)	(23, 0.13400918231697168)	(24, 0.15662259349503477)	(25, 0.178182166788183)	(26, 0.21369232529793553)	(27, 0.26317628131250637)	(28, 0.348824982364464)	(29, 0.476729332881158)	(30, 0.6509839805035349)	(31, 0.8577265467102037)	(32, 0.8584554125601227)	(33, 0.8601266973115296)	(34, 0.8612455296034436)	(35, 0.8623040099460012)	(36, 0.8643931158852598)	(37, 0.8657022889405285)	(38, 0.8696158807334061)	(39, 0.8771227347418086)	(40, 0.885154186463847)
SRR27848296_2 - polya	(1, 0.0028736812808912034)	(2, 0.0071076026511218615)	(3, 0.009670239269945681)	(4, 0.01211681444769958)	(5, 0.015199406322516639)	(6, 0.017525277601557823)	(7, 0.020041489643953674)	(8, 0.02530139415324242)	(9, 0.033857443588916875)	(10, 0.04168462717467224)	(11, 0.044911135236415996)	(12, 0.048666883469438586)	(13, 0.05369466509658749)	(14, 0.058425329434597405)	(15, 0.06273817258475561)	(16, 0.06785416090711766)	(17, 0.0734065402479026)	(18, 0.07822076882348285)	(19, 0.08279358960163767)	(20, 0.08733855563393572)	(21, 0.09175817530987825)	(22, 0.09621957710460595)	(23, 0.10064848169583407)	(24, 0.10552306222077068)	(25, 0.11006802825306872)	(26, 0.11423231275865743)	(27, 0.11795556378818044)	(28, 0.12178094888584498)	(29, 0.12583381440800656)	(30, 0.12999345645595248)	(31, 0.13390240579118737)	(32, 0.13737032165035656)	(33, 0.14042970123695964)	(34, 0.1429087736182131)	(35, 0.14498395218454327)	(36, 0.14673880117352045)	(37, 0.1479736949065044)	(38, 0.14860042668828194)	(39, 0.14860042668828194)	(40, 0.14860042668828194)
SRR27848297_1 - polya	(1, 0.0020206761937616533)	(2, 0.007928258186988398)	(3, 0.013123669801946704)	(4, 0.018027348972795048)	(5, 0.022510590209484916)	(6, 0.026890867054135976)	(7, 0.03142559048684525)	(8, 0.0392165628177819)	(9, 0.05406059600337706)	(10, 0.06926929474410967)	(11, 0.07440893398004696)	(12, 0.08068118152841115)	(13, 0.08837776983331223)	(14, 0.09563675947204836)	(15, 0.10489068420653645)	(16, 0.11124444523193137)	(17, 0.11911693103989875)	(18, 0.12617428207755887)	(19, 0.13194886839773548)	(20, 0.13972267999666568)	(21, 0.14671567828930154)	(22, 0.15296218473965603)	(23, 0.15814043562260788)	(24, 0.16390215139377964)	(25, 0.16942790709986247)	(26, 0.17431013535570272)	(27, 0.1793725512976109)	(28, 0.1845679629125692)	(29, 0.19035541978175066)	(30, 0.19629303305598872)	(31, 0.2021791641342074)	(32, 0.20760624563125302)	(33, 0.21233402729903506)	(34, 0.21632389749053896)	(35, 0.21968311078080516)	(36, 0.2220770328957075)	(37, 0.223908941037398)	(38, 0.22468117397768908)	(39, 0.22468117397768908)	(40, 0.22468117397768908)
SRR27848297_2 - illumina_universal_adapter	(1, 3.432146401293679e-05)	(2, 8.580366003234198e-05)	(3, 0.00017589750306630105)	(4, 0.0007593623912862265)	(5, 0.0019048412527179917)	(6, 0.005332697471010054)	(7, 0.005491434242069887)	(8, 0.006083479496293046)	(9, 0.006679814933517823)	(10, 0.007173185978703789)	(11, 0.007310471834755536)	(12, 0.007404855860791112)	(13, 0.007516400618833157)	(14, 0.007696588304901075)	(15, 0.008511723075208324)	(16, 0.00900509412039429)	(17, 0.010407983961923082)	(18, 0.012179829541590944)	(19, 0.014856903734600012)	(20, 0.019129926004210644)	(21, 0.034149856692872106)	(22, 0.0813204187956521)	(23, 0.13299567305013005)	(24, 0.15553629454062629)	(25, 0.17863034963833113)	(26, 0.21625096437951147)	(27, 0.2707362885000486)	(28, 0.3619841907614427)	(29, 0.49811598758575487)	(30, 0.6802771578344169)	(31, 0.8972360024091952)	(32, 0.8979867844344782)	(33, 0.8995527012300684)	(34, 0.9006295371634743)	(35, 0.9017921767569125)	(36, 0.9034396070295335)	(37, 0.9047824343090396)	(38, 0.908587826631474)	(39, 0.915949780662249)	(40, 0.92393810141126)
