Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR29492864_1	(14.0, 11.0)	(15.0, 90.0)	(16.0, 559.0)	(17.0, 1509.0)	(18.0, 3227.0)	(19.0, 6805.0)	(20.0, 14489.0)	(21.0, 33134.0)	(22.0, 75690.0)	(23.0, 162213.0)	(24.0, 293402.0)	(25.0, 477516.0)	(26.0, 694164.0)	(27.0, 1011536.0)	(28.0, 1409076.0)	(29.0, 1995285.0)	(30.0, 2780533.0)	(31.0, 4394740.0)	(32.0, 11268986.0)	(33.0, 11897275.0)	(34.0, 7426879.0)	(35.0, 14057814.0)	(36.0, 44919063.0)	(37.0, 2148557.0)						
SRR29492864_2	(11.0, 3.0)	(12.0, 69.0)	(13.0, 408.0)	(14.0, 1383.0)	(15.0, 2913.0)	(16.0, 5684.0)	(17.0, 12218.0)	(18.0, 29960.0)	(19.0, 76429.0)	(20.0, 177042.0)	(21.0, 376516.0)	(22.0, 666989.0)	(23.0, 1005987.0)	(24.0, 1255410.0)	(25.0, 1459777.0)	(26.0, 1588768.0)	(27.0, 1810328.0)	(28.0, 2054162.0)	(29.0, 2451724.0)	(30.0, 2950703.0)	(31.0, 3801690.0)	(32.0, 5071280.0)	(33.0, 7551676.0)	(34.0, 12416987.0)	(35.0, 24981314.0)	(36.0, 34232918.0)	(37.0, 1090215.0)			
SRR29492865_1	(14.0, 2.0)	(15.0, 52.0)	(16.0, 237.0)	(17.0, 951.0)	(18.0, 2479.0)	(19.0, 6728.0)	(20.0, 17577.0)	(21.0, 49893.0)	(22.0, 127589.0)	(23.0, 282613.0)	(24.0, 523284.0)	(25.0, 912253.0)	(26.0, 1485671.0)	(27.0, 2453760.0)	(28.0, 3879297.0)	(29.0, 6130595.0)	(30.0, 8737491.0)	(31.0, 10395624.0)	(32.0, 9800927.0)	(33.0, 11417425.0)	(34.0, 14775441.0)	(35.0, 15766055.0)	(36.0, 6148589.0)	(37.0, 18458.0)						
SRR29492865_2	(12.0, 10.0)	(13.0, 179.0)	(14.0, 576.0)	(15.0, 1699.0)	(16.0, 3399.0)	(17.0, 6218.0)	(18.0, 12002.0)	(19.0, 26004.0)	(20.0, 58231.0)	(21.0, 120352.0)	(22.0, 207385.0)	(23.0, 308433.0)	(24.0, 396367.0)	(25.0, 488340.0)	(26.0, 570697.0)	(27.0, 696418.0)	(28.0, 845177.0)	(29.0, 1076593.0)	(30.0, 1394239.0)	(31.0, 1949256.0)	(32.0, 2900091.0)	(33.0, 4972538.0)	(34.0, 9634389.0)	(35.0, 23998735.0)	(36.0, 41653886.0)	(37.0, 1611777.0)				
SRR29492866_1	(13.0, 1.0)	(14.0, 9.0)	(15.0, 105.0)	(16.0, 520.0)	(17.0, 1746.0)	(18.0, 4296.0)	(19.0, 9730.0)	(20.0, 21684.0)	(21.0, 49311.0)	(22.0, 109043.0)	(23.0, 227708.0)	(24.0, 423736.0)	(25.0, 756476.0)	(26.0, 1262981.0)	(27.0, 2161098.0)	(28.0, 3559113.0)	(29.0, 5814347.0)	(30.0, 8298209.0)	(31.0, 9952341.0)	(32.0, 11015985.0)	(33.0, 15028612.0)	(34.0, 19889389.0)	(35.0, 19657337.0)	(36.0, 6487837.0)	(37.0, 24596.0)					
SRR29492866_2	(12.0, 23.0)	(13.0, 263.0)	(14.0, 987.0)	(15.0, 2368.0)	(16.0, 4652.0)	(17.0, 8363.0)	(18.0, 14726.0)	(19.0, 27525.0)	(20.0, 49075.0)	(21.0, 85044.0)	(22.0, 134652.0)	(23.0, 200893.0)	(24.0, 269991.0)	(25.0, 351110.0)	(26.0, 435123.0)	(27.0, 561000.0)	(28.0, 715520.0)	(29.0, 951172.0)	(30.0, 1274380.0)	(31.0, 1829443.0)	(32.0, 2765150.0)	(33.0, 4792813.0)	(34.0, 9511962.0)	(35.0, 25650412.0)	(36.0, 52828235.0)	(37.0, 2291328.0)				
SRR29492867_1	(14.0, 23.0)	(15.0, 201.0)	(16.0, 818.0)	(17.0, 2170.0)	(18.0, 4384.0)	(19.0, 8610.0)	(20.0, 16007.0)	(21.0, 32434.0)	(22.0, 66097.0)	(23.0, 133156.0)	(24.0, 241047.0)	(25.0, 393812.0)	(26.0, 573159.0)	(27.0, 816052.0)	(28.0, 1117210.0)	(29.0, 1538919.0)	(30.0, 2049476.0)	(31.0, 2773285.0)	(32.0, 3796253.0)	(33.0, 6134941.0)	(34.0, 12819413.0)	(35.0, 22238058.0)	(36.0, 58625694.0)	(37.0, 4093524.0)						
SRR29492867_2	(11.0, 1.0)	(12.0, 79.0)	(13.0, 587.0)	(14.0, 1730.0)	(15.0, 3905.0)	(16.0, 7877.0)	(17.0, 17912.0)	(18.0, 42264.0)	(19.0, 93954.0)	(20.0, 178651.0)	(21.0, 311115.0)	(22.0, 491994.0)	(23.0, 721830.0)	(24.0, 917688.0)	(25.0, 1098096.0)	(26.0, 1242744.0)	(27.0, 1473081.0)	(28.0, 1733744.0)	(29.0, 2141682.0)	(30.0, 2662151.0)	(31.0, 3547491.0)	(32.0, 4910941.0)	(33.0, 7646099.0)	(34.0, 13477194.0)	(35.0, 30001921.0)	(36.0, 43369605.0)	(37.0, 1380407.0)			
SRR29492868_1	(13.0, 1.0)	(14.0, 6.0)	(15.0, 95.0)	(16.0, 357.0)	(17.0, 1103.0)	(18.0, 2378.0)	(19.0, 4596.0)	(20.0, 9156.0)	(21.0, 18398.0)	(22.0, 35168.0)	(23.0, 65579.0)	(24.0, 109740.0)	(25.0, 175062.0)	(26.0, 257563.0)	(27.0, 378970.0)	(28.0, 542178.0)	(29.0, 779438.0)	(30.0, 1079001.0)	(31.0, 1509282.0)	(32.0, 2063359.0)	(33.0, 3110930.0)	(34.0, 5467502.0)	(35.0, 12982639.0)	(36.0, 38005107.0)	(37.0, 1707636.0)					
SRR29492868_2	(12.0, 27.0)	(13.0, 181.0)	(14.0, 670.0)	(15.0, 1682.0)	(16.0, 3222.0)	(17.0, 5515.0)	(18.0, 9852.0)	(19.0, 20683.0)	(20.0, 44375.0)	(21.0, 91193.0)	(22.0, 163694.0)	(23.0, 266525.0)	(24.0, 377348.0)	(25.0, 501109.0)	(26.0, 626410.0)	(27.0, 792987.0)	(28.0, 981988.0)	(29.0, 1253115.0)	(30.0, 1599852.0)	(31.0, 2157695.0)	(32.0, 2983063.0)	(33.0, 4614313.0)	(34.0, 7889168.0)	(35.0, 16673394.0)	(36.0, 26502780.0)	(37.0, 744403.0)				
SRR29492869_1	(13.0, 1.0)	(14.0, 12.0)	(15.0, 121.0)	(16.0, 550.0)	(17.0, 1537.0)	(18.0, 3138.0)	(19.0, 6079.0)	(20.0, 11538.0)	(21.0, 23419.0)	(22.0, 45044.0)	(23.0, 83432.0)	(24.0, 139944.0)	(25.0, 223414.0)	(26.0, 325645.0)	(27.0, 477155.0)	(28.0, 674954.0)	(29.0, 966379.0)	(30.0, 1337988.0)	(31.0, 1871902.0)	(32.0, 2576366.0)	(33.0, 3948150.0)	(34.0, 7239699.0)	(35.0, 16661117.0)	(36.0, 41699838.0)	(37.0, 1872990.0)					
SRR29492869_2	(11.0, 2.0)	(12.0, 24.0)	(13.0, 257.0)	(14.0, 992.0)	(15.0, 2463.0)	(16.0, 4531.0)	(17.0, 7560.0)	(18.0, 14048.0)	(19.0, 30372.0)	(20.0, 64050.0)	(21.0, 125165.0)	(22.0, 212617.0)	(23.0, 329514.0)	(24.0, 454049.0)	(25.0, 597748.0)	(26.0, 740444.0)	(27.0, 934705.0)	(28.0, 1150215.0)	(29.0, 1459368.0)	(30.0, 1852586.0)	(31.0, 2477469.0)	(32.0, 3393389.0)	(33.0, 5177850.0)	(34.0, 8792448.0)	(35.0, 18992727.0)	(36.0, 32354231.0)	(37.0, 1021588.0)			
SRR29492870_1	(13.0, 1.0)	(14.0, 31.0)	(15.0, 201.0)	(16.0, 850.0)	(17.0, 2135.0)	(18.0, 4174.0)	(19.0, 8127.0)	(20.0, 15594.0)	(21.0, 31531.0)	(22.0, 61149.0)	(23.0, 117715.0)	(24.0, 202800.0)	(25.0, 324793.0)	(26.0, 468799.0)	(27.0, 664635.0)	(28.0, 909549.0)	(29.0, 1257184.0)	(30.0, 1673259.0)	(31.0, 2261973.0)	(32.0, 3028532.0)	(33.0, 4586852.0)	(34.0, 8821605.0)	(35.0, 21160767.0)	(36.0, 52302331.0)	(37.0, 2880638.0)					
SRR29492870_2	(11.0, 1.0)	(12.0, 81.0)	(13.0, 543.0)	(14.0, 1583.0)	(15.0, 3298.0)	(16.0, 6123.0)	(17.0, 13684.0)	(18.0, 34124.0)	(19.0, 80943.0)	(20.0, 158738.0)	(21.0, 272785.0)	(22.0, 417545.0)	(23.0, 595624.0)	(24.0, 756687.0)	(25.0, 916594.0)	(26.0, 1052752.0)	(27.0, 1260884.0)	(28.0, 1498763.0)	(29.0, 1858046.0)	(30.0, 2327975.0)	(31.0, 3111578.0)	(32.0, 4351043.0)	(33.0, 6823356.0)	(34.0, 11936290.0)	(35.0, 25593309.0)	(36.0, 36515712.0)	(37.0, 1197164.0)			
