Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR29492876_1	(14.0, 2.0)	(15.0, 12.0)	(16.0, 71.0)	(17.0, 319.0)	(18.0, 1384.0)	(19.0, 4898.0)	(20.0, 14741.0)	(21.0, 37286.0)	(22.0, 82090.0)	(23.0, 166089.0)	(24.0, 298883.0)	(25.0, 509104.0)	(26.0, 788541.0)	(27.0, 1193380.0)	(28.0, 1717064.0)	(29.0, 2544782.0)	(30.0, 3739318.0)	(31.0, 5812249.0)	(32.0, 9221673.0)	(33.0, 16332042.0)	(34.0, 31944715.0)	(35.0, 78781941.0)	(36.0, 116409644.0)	(37.0, 699790.0)						
SRR29492876_2	(11.0, 18.0)	(12.0, 234.0)	(13.0, 1008.0)	(14.0, 2938.0)	(15.0, 6140.0)	(16.0, 11058.0)	(17.0, 19333.0)	(18.0, 32961.0)	(19.0, 56045.0)	(20.0, 92678.0)	(21.0, 158684.0)	(22.0, 265420.0)	(23.0, 439712.0)	(24.0, 667770.0)	(25.0, 987350.0)	(26.0, 1346675.0)	(27.0, 1829893.0)	(28.0, 2440740.0)	(29.0, 3428976.0)	(30.0, 4887992.0)	(31.0, 7553443.0)	(32.0, 12002649.0)	(33.0, 21066504.0)	(34.0, 39492135.0)	(35.0, 82652077.0)	(36.0, 89689753.0)	(37.0, 1167832.0)			
SRR29492877_1	(13.0, 1.0)	(14.0, 1.0)	(15.0, 8.0)	(16.0, 45.0)	(17.0, 200.0)	(18.0, 892.0)	(19.0, 3377.0)	(20.0, 9943.0)	(21.0, 25005.0)	(22.0, 55298.0)	(23.0, 113288.0)	(24.0, 206728.0)	(25.0, 357537.0)	(26.0, 565707.0)	(27.0, 863531.0)	(28.0, 1251380.0)	(29.0, 1858272.0)	(30.0, 2724714.0)	(31.0, 4214820.0)	(32.0, 6636026.0)	(33.0, 11635732.0)	(34.0, 22669914.0)	(35.0, 56723511.0)	(36.0, 92354316.0)	(37.0, 705660.0)					
SRR29492877_2	(11.0, 28.0)	(12.0, 236.0)	(13.0, 1231.0)	(14.0, 3504.0)	(15.0, 6881.0)	(16.0, 11238.0)	(17.0, 18992.0)	(18.0, 31547.0)	(19.0, 53014.0)	(20.0, 84389.0)	(21.0, 140047.0)	(22.0, 228409.0)	(23.0, 366768.0)	(24.0, 549293.0)	(25.0, 804693.0)	(26.0, 1095685.0)	(27.0, 1503901.0)	(28.0, 2020636.0)	(29.0, 2853022.0)	(30.0, 4095614.0)	(31.0, 6305700.0)	(32.0, 9886194.0)	(33.0, 16967478.0)	(34.0, 30630316.0)	(35.0, 60713173.0)	(36.0, 63687545.0)	(37.0, 916372.0)			
SRR29492878_1	(13.0, 1.0)	(14.0, 7.0)	(15.0, 43.0)	(16.0, 148.0)	(17.0, 457.0)	(18.0, 1626.0)	(19.0, 5278.0)	(20.0, 15084.0)	(21.0, 39144.0)	(22.0, 86824.0)	(23.0, 173709.0)	(24.0, 306816.0)	(25.0, 508692.0)	(26.0, 767843.0)	(27.0, 1128881.0)	(28.0, 1561738.0)	(29.0, 2202891.0)	(30.0, 3054577.0)	(31.0, 4462694.0)	(32.0, 6718980.0)	(33.0, 11645555.0)	(34.0, 23959572.0)	(35.0, 67226665.0)	(36.0, 106159176.0)	(37.0, 885100.0)					
SRR29492878_2	(11.0, 7.0)	(12.0, 129.0)	(13.0, 931.0)	(14.0, 2619.0)	(15.0, 5278.0)	(16.0, 10395.0)	(17.0, 19582.0)	(18.0, 32029.0)	(19.0, 49849.0)	(20.0, 73150.0)	(21.0, 114488.0)	(22.0, 179211.0)	(23.0, 295586.0)	(24.0, 459826.0)	(25.0, 701511.0)	(26.0, 995069.0)	(27.0, 1390910.0)	(28.0, 1853223.0)	(29.0, 2538712.0)	(30.0, 3507744.0)	(31.0, 5323366.0)	(32.0, 8576406.0)	(33.0, 15834503.0)	(34.0, 32772222.0)	(35.0, 77201506.0)	(36.0, 78192997.0)	(37.0, 780252.0)			
SRR29492879_1	(13.0, 2.0)	(14.0, 9.0)	(15.0, 40.0)	(16.0, 154.0)	(17.0, 497.0)	(18.0, 1891.0)	(19.0, 5895.0)	(20.0, 16799.0)	(21.0, 42956.0)	(22.0, 94109.0)	(23.0, 189834.0)	(24.0, 333379.0)	(25.0, 553250.0)	(26.0, 833359.0)	(27.0, 1224070.0)	(28.0, 1700122.0)	(29.0, 2415793.0)	(30.0, 3374618.0)	(31.0, 4995690.0)	(32.0, 7618132.0)	(33.0, 13390974.0)	(34.0, 27631937.0)	(35.0, 75187960.0)	(36.0, 110466747.0)	(37.0, 843639.0)					
SRR29492879_2	(11.0, 5.0)	(12.0, 153.0)	(13.0, 1238.0)	(14.0, 3470.0)	(15.0, 7343.0)	(16.0, 15596.0)	(17.0, 30724.0)	(18.0, 49631.0)	(19.0, 73750.0)	(20.0, 102322.0)	(21.0, 152135.0)	(22.0, 229877.0)	(23.0, 360568.0)	(24.0, 544882.0)	(25.0, 822777.0)	(26.0, 1167928.0)	(27.0, 1646350.0)	(28.0, 2224535.0)	(29.0, 3114714.0)	(30.0, 4390172.0)	(31.0, 6747632.0)	(32.0, 10862624.0)	(33.0, 19703294.0)	(34.0, 39139046.0)	(35.0, 84579178.0)	(36.0, 74288258.0)	(37.0, 663654.0)			
SRR29492880_1	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 30.0)	(17.0, 193.0)	(18.0, 751.0)	(19.0, 2728.0)	(20.0, 8236.0)	(21.0, 21674.0)	(22.0, 48562.0)	(23.0, 102671.0)	(24.0, 193266.0)	(25.0, 346426.0)	(26.0, 558070.0)	(27.0, 872392.0)	(28.0, 1271884.0)	(29.0, 1854130.0)	(30.0, 2626880.0)	(31.0, 3882501.0)	(32.0, 5860857.0)	(33.0, 9911805.0)	(34.0, 18182036.0)	(35.0, 47395192.0)	(36.0, 110961512.0)	(37.0, 1646834.0)				
SRR29492880_2	(11.0, 18.0)	(12.0, 186.0)	(13.0, 859.0)	(14.0, 2551.0)	(15.0, 5121.0)	(16.0, 8826.0)	(17.0, 15471.0)	(18.0, 25447.0)	(19.0, 42704.0)	(20.0, 68576.0)	(21.0, 116452.0)	(22.0, 193265.0)	(23.0, 319563.0)	(24.0, 489814.0)	(25.0, 728432.0)	(26.0, 1003264.0)	(27.0, 1367609.0)	(28.0, 1818526.0)	(29.0, 2537365.0)	(30.0, 3574936.0)	(31.0, 5456694.0)	(32.0, 8598587.0)	(33.0, 15089024.0)	(34.0, 28676632.0)	(35.0, 62348459.0)	(36.0, 72260635.0)	(37.0, 999624.0)			
SRR29492881_1	(14.0, 1.0)	(15.0, 13.0)	(16.0, 41.0)	(17.0, 170.0)	(18.0, 640.0)	(19.0, 2573.0)	(20.0, 9287.0)	(21.0, 30429.0)	(22.0, 80846.0)	(23.0, 198002.0)	(24.0, 416708.0)	(25.0, 807933.0)	(26.0, 1366736.0)	(27.0, 2196249.0)	(28.0, 3230130.0)	(29.0, 4660282.0)	(30.0, 6400093.0)	(31.0, 9077468.0)	(32.0, 13194256.0)	(33.0, 21855554.0)	(34.0, 41167719.0)	(35.0, 92492079.0)	(36.0, 67558610.0)	(37.0, 82523.0)						
SRR29492881_2	(11.0, 1.0)	(12.0, 12.0)	(13.0, 207.0)	(14.0, 909.0)	(15.0, 2791.0)	(16.0, 6341.0)	(17.0, 12329.0)	(18.0, 19739.0)	(19.0, 31158.0)	(20.0, 46806.0)	(21.0, 76881.0)	(22.0, 131017.0)	(23.0, 238795.0)	(24.0, 415422.0)	(25.0, 703182.0)	(26.0, 1098854.0)	(27.0, 1686333.0)	(28.0, 2500946.0)	(29.0, 3859164.0)	(30.0, 6075182.0)	(31.0, 10532906.0)	(32.0, 18828415.0)	(33.0, 35703354.0)	(34.0, 63290442.0)	(35.0, 85430207.0)	(36.0, 34057958.0)	(37.0, 78991.0)			
SRR29492882_1	(13.0, 3.0)	(14.0, 7.0)	(15.0, 22.0)	(16.0, 87.0)	(17.0, 337.0)	(18.0, 1428.0)	(19.0, 4978.0)	(20.0, 14242.0)	(21.0, 35743.0)	(22.0, 77697.0)	(23.0, 155726.0)	(24.0, 281344.0)	(25.0, 482092.0)	(26.0, 750820.0)	(27.0, 1134973.0)	(28.0, 1639694.0)	(29.0, 2432177.0)	(30.0, 3572682.0)	(31.0, 5545688.0)	(32.0, 8738524.0)	(33.0, 15309690.0)	(34.0, 29858679.0)	(35.0, 75897283.0)	(36.0, 130477842.0)	(37.0, 1075309.0)					
SRR29492882_2	(11.0, 31.0)	(12.0, 262.0)	(13.0, 1366.0)	(14.0, 4091.0)	(15.0, 7562.0)	(16.0, 12720.0)	(17.0, 21265.0)	(18.0, 34401.0)	(19.0, 58532.0)	(20.0, 95341.0)	(21.0, 163815.0)	(22.0, 272100.0)	(23.0, 450239.0)	(24.0, 683246.0)	(25.0, 1008577.0)	(26.0, 1373678.0)	(27.0, 1868343.0)	(28.0, 2479172.0)	(29.0, 3457108.0)	(30.0, 4911169.0)	(31.0, 7547244.0)	(32.0, 11926243.0)	(33.0, 20855428.0)	(34.0, 39175247.0)	(35.0, 83655439.0)	(36.0, 96062816.0)	(37.0, 1361632.0)			
SRR29492883_1	(14.0, 2.0)	(15.0, 13.0)	(16.0, 51.0)	(17.0, 234.0)	(18.0, 985.0)	(19.0, 3703.0)	(20.0, 11156.0)	(21.0, 29007.0)	(22.0, 64581.0)	(23.0, 132737.0)	(24.0, 242716.0)	(25.0, 417421.0)	(26.0, 653074.0)	(27.0, 998272.0)	(28.0, 1446319.0)	(29.0, 2148131.0)	(30.0, 3147687.0)	(31.0, 4878422.0)	(32.0, 7729835.0)	(33.0, 13620669.0)	(34.0, 25821164.0)	(35.0, 61004466.0)	(36.0, 82085009.0)	(37.0, 448240.0)						
SRR29492883_2	(11.0, 22.0)	(12.0, 169.0)	(13.0, 929.0)	(14.0, 2837.0)	(15.0, 5760.0)	(16.0, 9788.0)	(17.0, 17173.0)	(18.0, 28438.0)	(19.0, 47308.0)	(20.0, 77331.0)	(21.0, 130877.0)	(22.0, 216829.0)	(23.0, 355225.0)	(24.0, 538807.0)	(25.0, 792050.0)	(26.0, 1082871.0)	(27.0, 1486376.0)	(28.0, 1997692.0)	(29.0, 2830549.0)	(30.0, 4070071.0)	(31.0, 6318585.0)	(32.0, 10032773.0)	(33.0, 17470099.0)	(34.0, 32011834.0)	(35.0, 62945803.0)	(36.0, 61596743.0)	(37.0, 816955.0)			
SRR29492884_1	(14.0, 4.0)	(15.0, 14.0)	(16.0, 58.0)	(17.0, 270.0)	(18.0, 1163.0)	(19.0, 4141.0)	(20.0, 12423.0)	(21.0, 31033.0)	(22.0, 69012.0)	(23.0, 141233.0)	(24.0, 253795.0)	(25.0, 437608.0)	(26.0, 687134.0)	(27.0, 1044794.0)	(28.0, 1498168.0)	(29.0, 2175899.0)	(30.0, 3100895.0)	(31.0, 4660630.0)	(32.0, 7141802.0)	(33.0, 12263377.0)	(34.0, 23689170.0)	(35.0, 61560112.0)	(36.0, 132620541.0)	(37.0, 1712539.0)						
SRR29492884_2	(11.0, 37.0)	(12.0, 194.0)	(13.0, 959.0)	(14.0, 2842.0)	(15.0, 5918.0)	(16.0, 10558.0)	(17.0, 18270.0)	(18.0, 31004.0)	(19.0, 52540.0)	(20.0, 86106.0)	(21.0, 147928.0)	(22.0, 247902.0)	(23.0, 408785.0)	(24.0, 619982.0)	(25.0, 912450.0)	(26.0, 1234118.0)	(27.0, 1661234.0)	(28.0, 2166621.0)	(29.0, 2976997.0)	(30.0, 4162689.0)	(31.0, 6311847.0)	(32.0, 9930221.0)	(33.0, 17433839.0)	(34.0, 33462605.0)	(35.0, 75440224.0)	(36.0, 94359857.0)	(37.0, 1420088.0)			
SRR29492885_1	(14.0, 5.0)	(15.0, 19.0)	(16.0, 72.0)	(17.0, 354.0)	(18.0, 1320.0)	(19.0, 4654.0)	(20.0, 13816.0)	(21.0, 34816.0)	(22.0, 77430.0)	(23.0, 160184.0)	(24.0, 289974.0)	(25.0, 500149.0)	(26.0, 783605.0)	(27.0, 1202578.0)	(28.0, 1759610.0)	(29.0, 2652867.0)	(30.0, 3951638.0)	(31.0, 6239008.0)	(32.0, 10029239.0)	(33.0, 17768981.0)	(34.0, 33930423.0)	(35.0, 80585109.0)	(36.0, 112311402.0)	(37.0, 665488.0)						
SRR29492885_2	(11.0, 19.0)	(12.0, 171.0)	(13.0, 877.0)	(14.0, 2834.0)	(15.0, 5836.0)	(16.0, 10462.0)	(17.0, 18579.0)	(18.0, 31568.0)	(19.0, 53982.0)	(20.0, 88816.0)	(21.0, 152618.0)	(22.0, 254487.0)	(23.0, 423838.0)	(24.0, 650951.0)	(25.0, 977794.0)	(26.0, 1357603.0)	(27.0, 1877350.0)	(28.0, 2534816.0)	(29.0, 3585555.0)	(30.0, 5140997.0)	(31.0, 7952612.0)	(32.0, 12612669.0)	(33.0, 22010145.0)	(34.0, 40769844.0)	(35.0, 83507272.0)	(36.0, 87767686.0)	(37.0, 1173360.0)			
SRR29492886_1	(14.0, 3.0)	(15.0, 15.0)	(16.0, 48.0)	(17.0, 277.0)	(18.0, 1088.0)	(19.0, 3970.0)	(20.0, 11258.0)	(21.0, 29466.0)	(22.0, 65046.0)	(23.0, 133280.0)	(24.0, 244043.0)	(25.0, 422665.0)	(26.0, 667425.0)	(27.0, 1024628.0)	(28.0, 1498235.0)	(29.0, 2238903.0)	(30.0, 3286738.0)	(31.0, 5098783.0)	(32.0, 8030828.0)	(33.0, 14051297.0)	(34.0, 26703951.0)	(35.0, 61895116.0)	(36.0, 79774311.0)	(37.0, 403763.0)						
SRR29492886_2	(11.0, 24.0)	(12.0, 151.0)	(13.0, 784.0)	(14.0, 2262.0)	(15.0, 4908.0)	(16.0, 8774.0)	(17.0, 15062.0)	(18.0, 25033.0)	(19.0, 42425.0)	(20.0, 68516.0)	(21.0, 115420.0)	(22.0, 187683.0)	(23.0, 306574.0)	(24.0, 464632.0)	(25.0, 686944.0)	(26.0, 938416.0)	(27.0, 1275057.0)	(28.0, 1694652.0)	(29.0, 2359598.0)	(30.0, 3356457.0)	(31.0, 5166405.0)	(32.0, 8191601.0)	(33.0, 14444147.0)	(34.0, 27446439.0)	(35.0, 60375902.0)	(36.0, 77098788.0)	(37.0, 1308483.0)			
SRR29492887_1	(15.0, 12.0)	(16.0, 62.0)	(17.0, 285.0)	(18.0, 1237.0)	(19.0, 4183.0)	(20.0, 12229.0)	(21.0, 30881.0)	(22.0, 67578.0)	(23.0, 138292.0)	(24.0, 249594.0)	(25.0, 428017.0)	(26.0, 667778.0)	(27.0, 1017465.0)	(28.0, 1475841.0)	(29.0, 2196432.0)	(30.0, 3230920.0)	(31.0, 5140434.0)	(32.0, 8209878.0)	(33.0, 13659231.0)	(34.0, 26397954.0)	(35.0, 65669579.0)	(36.0, 105122120.0)	(37.0, 763175.0)							
SRR29492887_2	(11.0, 21.0)	(12.0, 141.0)	(13.0, 739.0)	(14.0, 2331.0)	(15.0, 4724.0)	(16.0, 8544.0)	(17.0, 15027.0)	(18.0, 25471.0)	(19.0, 43791.0)	(20.0, 72620.0)	(21.0, 124565.0)	(22.0, 209329.0)	(23.0, 347027.0)	(24.0, 533674.0)	(25.0, 791608.0)	(26.0, 1084644.0)	(27.0, 1474857.0)	(28.0, 1952744.0)	(29.0, 2713255.0)	(30.0, 3836610.0)	(31.0, 5901892.0)	(32.0, 9411466.0)	(33.0, 16696665.0)	(34.0, 32106441.0)	(35.0, 71031781.0)	(36.0, 84795245.0)	(37.0, 1297965.0)			
SRR29492888_1	(13.0, 2.0)	(14.0, 5.0)	(15.0, 14.0)	(16.0, 103.0)	(17.0, 372.0)	(18.0, 1436.0)	(19.0, 5083.0)	(20.0, 14286.0)	(21.0, 36266.0)	(22.0, 78683.0)	(23.0, 157241.0)	(24.0, 283002.0)	(25.0, 483452.0)	(26.0, 747689.0)	(27.0, 1134425.0)	(28.0, 1638860.0)	(29.0, 2429078.0)	(30.0, 3567420.0)	(31.0, 5542062.0)	(32.0, 8740281.0)	(33.0, 15373270.0)	(34.0, 30052124.0)	(35.0, 75245576.0)	(36.0, 118181338.0)	(37.0, 806699.0)					
SRR29492888_2	(11.0, 28.0)	(12.0, 250.0)	(13.0, 934.0)	(14.0, 2736.0)	(15.0, 5739.0)	(16.0, 10110.0)	(17.0, 18149.0)	(18.0, 30719.0)	(19.0, 52257.0)	(20.0, 84786.0)	(21.0, 145080.0)	(22.0, 242714.0)	(23.0, 398430.0)	(24.0, 610976.0)	(25.0, 907319.0)	(26.0, 1240601.0)	(27.0, 1690015.0)	(28.0, 2237896.0)	(29.0, 3125116.0)	(30.0, 4436611.0)	(31.0, 6844877.0)	(32.0, 10930444.0)	(33.0, 19416858.0)	(34.0, 37308459.0)	(35.0, 81757949.0)	(36.0, 91856795.0)	(37.0, 1162919.0)			
SRR29492889_1	(14.0, 5.0)	(15.0, 19.0)	(16.0, 96.0)	(17.0, 417.0)	(18.0, 1776.0)	(19.0, 6227.0)	(20.0, 17927.0)	(21.0, 45402.0)	(22.0, 98390.0)	(23.0, 196195.0)	(24.0, 345643.0)	(25.0, 581442.0)	(26.0, 896610.0)	(27.0, 1352730.0)	(28.0, 1949211.0)	(29.0, 2879572.0)	(30.0, 4219845.0)	(31.0, 6565768.0)	(32.0, 10385581.0)	(33.0, 18296616.0)	(34.0, 35672302.0)	(35.0, 86475944.0)	(36.0, 122407169.0)	(37.0, 721992.0)						
SRR29492889_2	(11.0, 29.0)	(12.0, 247.0)	(13.0, 994.0)	(14.0, 3313.0)	(15.0, 6904.0)	(16.0, 12081.0)	(17.0, 21470.0)	(18.0, 35732.0)	(19.0, 60558.0)	(20.0, 97179.0)	(21.0, 163393.0)	(22.0, 272061.0)	(23.0, 451560.0)	(24.0, 693346.0)	(25.0, 1027809.0)	(26.0, 1398490.0)	(27.0, 1896646.0)	(28.0, 2498069.0)	(29.0, 3475153.0)	(30.0, 4931482.0)	(31.0, 7592679.0)	(32.0, 12080309.0)	(33.0, 21371095.0)	(34.0, 40904441.0)	(35.0, 89514577.0)	(36.0, 103149908.0)	(37.0, 1457354.0)			
SRR29492890_1	(15.0, 6.0)	(16.0, 52.0)	(17.0, 248.0)	(18.0, 1015.0)	(19.0, 3751.0)	(20.0, 10799.0)	(21.0, 28511.0)	(22.0, 62691.0)	(23.0, 129545.0)	(24.0, 238651.0)	(25.0, 412376.0)	(26.0, 653754.0)	(27.0, 1006397.0)	(28.0, 1467087.0)	(29.0, 2188532.0)	(30.0, 3213460.0)	(31.0, 4974193.0)	(32.0, 7854450.0)	(33.0, 13835040.0)	(34.0, 26495016.0)	(35.0, 66554496.0)	(36.0, 113243259.0)	(37.0, 897375.0)							
SRR29492890_2	(11.0, 33.0)	(12.0, 201.0)	(13.0, 1055.0)	(14.0, 3046.0)	(15.0, 6421.0)	(16.0, 11187.0)	(17.0, 19510.0)	(18.0, 32950.0)	(19.0, 55156.0)	(20.0, 89360.0)	(21.0, 151296.0)	(22.0, 249953.0)	(23.0, 415006.0)	(24.0, 635041.0)	(25.0, 951740.0)	(26.0, 1322012.0)	(27.0, 1828406.0)	(28.0, 2475051.0)	(29.0, 3512305.0)	(30.0, 5047767.0)	(31.0, 7823270.0)	(32.0, 12403583.0)	(33.0, 21526627.0)	(34.0, 39118963.0)	(35.0, 75410611.0)	(36.0, 69345260.0)	(37.0, 834894.0)			
SRR29492891_1	(14.0, 8.0)	(15.0, 91.0)	(16.0, 506.0)	(17.0, 1435.0)	(18.0, 2726.0)	(19.0, 5561.0)	(20.0, 10516.0)	(21.0, 21086.0)	(22.0, 41844.0)	(23.0, 80005.0)	(24.0, 136951.0)	(25.0, 217759.0)	(26.0, 309697.0)	(27.0, 442491.0)	(28.0, 607508.0)	(29.0, 846420.0)	(30.0, 1139017.0)	(31.0, 1558428.0)	(32.0, 2124048.0)	(33.0, 3321962.0)	(34.0, 6366639.0)	(35.0, 11770000.0)	(36.0, 30997376.0)	(37.0, 1750002.0)						
SRR29492891_2	(11.0, 2.0)	(12.0, 36.0)	(13.0, 320.0)	(14.0, 1016.0)	(15.0, 2775.0)	(16.0, 7815.0)	(17.0, 25399.0)	(18.0, 70322.0)	(19.0, 155464.0)	(20.0, 264514.0)	(21.0, 389616.0)	(22.0, 514283.0)	(23.0, 659953.0)	(24.0, 776850.0)	(25.0, 899029.0)	(26.0, 1000300.0)	(27.0, 1167009.0)	(28.0, 1352653.0)	(29.0, 1635675.0)	(30.0, 1983588.0)	(31.0, 2547924.0)	(32.0, 3329684.0)	(33.0, 4784298.0)	(34.0, 7446700.0)	(35.0, 14131146.0)	(36.0, 18087453.0)	(37.0, 518252.0)			
SRR29492892_1	(13.0, 2.0)	(14.0, 14.0)	(15.0, 148.0)	(16.0, 754.0)	(17.0, 2068.0)	(18.0, 3822.0)	(19.0, 6542.0)	(20.0, 11951.0)	(21.0, 23487.0)	(22.0, 44975.0)	(23.0, 86219.0)	(24.0, 148686.0)	(25.0, 239612.0)	(26.0, 348872.0)	(27.0, 510297.0)	(28.0, 716749.0)	(29.0, 1010551.0)	(30.0, 1373862.0)	(31.0, 1898434.0)	(32.0, 2581441.0)	(33.0, 3928181.0)	(34.0, 7166597.0)	(35.0, 15822656.0)	(36.0, 33759619.0)	(37.0, 1341604.0)					
SRR29492892_2	(12.0, 51.0)	(13.0, 304.0)	(14.0, 1092.0)	(15.0, 2540.0)	(16.0, 6091.0)	(17.0, 17236.0)	(18.0, 45125.0)	(19.0, 101544.0)	(20.0, 179289.0)	(21.0, 275589.0)	(22.0, 381575.0)	(23.0, 507568.0)	(24.0, 624257.0)	(25.0, 750956.0)	(26.0, 861841.0)	(27.0, 1028689.0)	(28.0, 1217645.0)	(29.0, 1503080.0)	(30.0, 1853785.0)	(31.0, 2429299.0)	(32.0, 3244011.0)	(33.0, 4812069.0)	(34.0, 7913859.0)	(35.0, 16495753.0)	(36.0, 25831964.0)	(37.0, 941931.0)				
SRR29492893_1	(14.0, 11.0)	(15.0, 144.0)	(16.0, 746.0)	(17.0, 2020.0)	(18.0, 3420.0)	(19.0, 5796.0)	(20.0, 9446.0)	(21.0, 15889.0)	(22.0, 27596.0)	(23.0, 51183.0)	(24.0, 91972.0)	(25.0, 161043.0)	(26.0, 258484.0)	(27.0, 403485.0)	(28.0, 588767.0)	(29.0, 859052.0)	(30.0, 1201630.0)	(31.0, 1725240.0)	(32.0, 2437726.0)	(33.0, 3761576.0)	(34.0, 6388758.0)	(35.0, 12396705.0)	(36.0, 34130832.0)	(37.0, 1429318.0)						
SRR29492893_2	(9.0, 3.0)	(10.0, 9.0)	(11.0, 19.0)	(12.0, 118.0)	(13.0, 430.0)	(14.0, 1106.0)	(15.0, 2260.0)	(16.0, 3931.0)	(17.0, 6851.0)	(18.0, 11517.0)	(19.0, 20079.0)	(20.0, 35695.0)	(21.0, 64055.0)	(22.0, 109472.0)	(23.0, 178771.0)	(24.0, 261009.0)	(25.0, 363775.0)	(26.0, 464393.0)	(27.0, 606981.0)	(28.0, 771820.0)	(29.0, 1019310.0)	(30.0, 1336760.0)	(31.0, 1845355.0)	(32.0, 2550305.0)	(33.0, 3815931.0)	(34.0, 6115132.0)	(35.0, 13353889.0)	(36.0, 31684785.0)	(37.0, 1327078.0)	
SRR29492894_1	(13.0, 1.0)	(14.0, 12.0)	(15.0, 93.0)	(16.0, 496.0)	(17.0, 1416.0)	(18.0, 3004.0)	(19.0, 6104.0)	(20.0, 12493.0)	(21.0, 28474.0)	(22.0, 64697.0)	(23.0, 139029.0)	(24.0, 249009.0)	(25.0, 398694.0)	(26.0, 566896.0)	(27.0, 814680.0)	(28.0, 1138152.0)	(29.0, 1626498.0)	(30.0, 2292757.0)	(31.0, 3634393.0)	(32.0, 9035863.0)	(33.0, 9995536.0)	(34.0, 7179428.0)	(35.0, 14008175.0)	(36.0, 43477072.0)	(37.0, 2005666.0)					
SRR29492894_2	(11.0, 2.0)	(12.0, 52.0)	(13.0, 425.0)	(14.0, 1294.0)	(15.0, 2901.0)	(16.0, 5297.0)	(17.0, 10928.0)	(18.0, 25257.0)	(19.0, 63076.0)	(20.0, 144794.0)	(21.0, 302239.0)	(22.0, 526846.0)	(23.0, 792285.0)	(24.0, 1017044.0)	(25.0, 1229507.0)	(26.0, 1400323.0)	(27.0, 1649559.0)	(28.0, 1910759.0)	(29.0, 2298358.0)	(30.0, 2773486.0)	(31.0, 3532650.0)	(32.0, 4620290.0)	(33.0, 6737175.0)	(34.0, 10842845.0)	(35.0, 22042684.0)	(36.0, 33742460.0)	(37.0, 1006102.0)			
SRR29492895_1	(14.0, 7.0)	(15.0, 42.0)	(16.0, 227.0)	(17.0, 790.0)	(18.0, 1963.0)	(19.0, 4587.0)	(20.0, 9723.0)	(21.0, 21055.0)	(22.0, 42929.0)	(23.0, 84131.0)	(24.0, 152439.0)	(25.0, 272991.0)	(26.0, 457068.0)	(27.0, 760904.0)	(28.0, 1174578.0)	(29.0, 1794017.0)	(30.0, 2616211.0)	(31.0, 3827207.0)	(32.0, 5219902.0)	(33.0, 6791563.0)	(34.0, 7100607.0)	(35.0, 4779802.0)	(36.0, 995544.0)	(37.0, 3913.0)						
SRR29492895_2	(12.0, 3.0)	(13.0, 84.0)	(14.0, 346.0)	(15.0, 900.0)	(16.0, 1867.0)	(17.0, 3403.0)	(18.0, 7197.0)	(19.0, 15351.0)	(20.0, 29743.0)	(21.0, 50830.0)	(22.0, 75154.0)	(23.0, 105061.0)	(24.0, 136048.0)	(25.0, 176472.0)	(26.0, 223657.0)	(27.0, 293977.0)	(28.0, 384859.0)	(29.0, 522686.0)	(30.0, 719365.0)	(31.0, 1049824.0)	(32.0, 1567300.0)	(33.0, 2564005.0)	(34.0, 4505693.0)	(35.0, 9259618.0)	(36.0, 14006182.0)	(37.0, 412575.0)				
SRR29492896_1	(14.0, 21.0)	(15.0, 139.0)	(16.0, 587.0)	(17.0, 1375.0)	(18.0, 2771.0)	(19.0, 5142.0)	(20.0, 8645.0)	(21.0, 15833.0)	(22.0, 30145.0)	(23.0, 60920.0)	(24.0, 116806.0)	(25.0, 214576.0)	(26.0, 352675.0)	(27.0, 552995.0)	(28.0, 801552.0)	(29.0, 1145772.0)	(30.0, 1568781.0)	(31.0, 2195551.0)	(32.0, 3096045.0)	(33.0, 5127476.0)	(34.0, 8640617.0)	(35.0, 13312197.0)	(36.0, 47908686.0)	(37.0, 3388105.0)						
SRR29492896_2	(8.0, 1.0)	(9.0, 3.0)	(10.0, 6.0)	(11.0, 24.0)	(12.0, 129.0)	(13.0, 513.0)	(14.0, 1277.0)	(15.0, 2232.0)	(16.0, 3702.0)	(17.0, 5821.0)	(18.0, 9010.0)	(19.0, 16279.0)	(20.0, 27935.0)	(21.0, 50093.0)	(22.0, 86543.0)	(23.0, 143670.0)	(24.0, 212897.0)	(25.0, 301497.0)	(26.0, 397166.0)	(27.0, 536174.0)	(28.0, 709611.0)	(29.0, 969237.0)	(30.0, 1308721.0)	(31.0, 1851591.0)	(32.0, 2611854.0)	(33.0, 3961630.0)	(34.0, 6589445.0)	(35.0, 16839833.0)	(36.0, 49555513.0)	(37.0, 2355005.0)
