Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR29492864_1	(1, 34.81439592507093)	(2, 35.35056694587025)	(3, 35.65062764773594)	(4, 35.59627601320394)	(5, 36.005448149718035)	(6, 36.16297871814345)	(7, 36.11800758281756)	(8, 36.15312696361342)	(9, 36.10757731374434)	(10, 36.152499155512096)	(15, 36.14092110429639)	(20, 36.097327377207634)	(25, 35.993382001482345)	(30, 35.93515946452733)	(35, 35.8887040805033)	(40, 35.847428422149406)	(45, 35.788897991276556)	(50, 35.71441976859552)	(55, 35.629779086075885)	(60, 35.59293582787505)	(65, 35.51671729914091)	(70, 35.46883574247977)	(75, 35.343705959062405)	(80, 35.11484970199591)	(85, 34.66575139560947)	(90, 34.080862651162576)	(95, 33.49973778594682)	(100, 32.985973016188154)	(105, 32.680636257120355)	(110, 32.55719587207517)	(115, 32.682486500542154)	(120, 32.865119038270635)	(125, 32.952526043599605)	(130, 33.06215709253776)	(135, 33.15629339471745)	(140, 33.194071814358594)	(145, 33.19290441719828)	(150, 33.003175629510025)
SRR29492864_2	(1, 34.82355559591286)	(2, 35.07933164049036)	(3, 35.14242377835818)	(4, 35.15222858437636)	(5, 35.1615725088549)	(6, 35.419422872498394)	(7, 35.29579675293509)	(8, 35.275130870761274)	(9, 35.4075425672773)	(10, 35.25329969283224)	(15, 35.19526204526504)	(20, 35.14829213105729)	(25, 35.066946173849985)	(30, 34.988581314855836)	(35, 34.90043938686823)	(40, 34.86654232528261)	(45, 34.73099250381781)	(50, 34.67312805847594)	(55, 34.57373998326661)	(60, 34.51680993227603)	(65, 34.37735792143549)	(70, 34.29649102558686)	(75, 34.238560479252854)	(80, 34.173431836190375)	(85, 34.02821568635532)	(90, 33.91419289869164)	(95, 33.832618168133784)	(100, 33.7185586325289)	(105, 33.41184729945603)	(110, 33.20203487203742)	(115, 32.915126994201806)	(120, 32.821378945651006)	(125, 32.79610540537642)	(130, 32.60779033131517)	(135, 32.57682516765344)	(140, 32.56432340993942)	(145, 32.456499951990324)	(150, 32.12952564310491)
SRR29492865_1	(1, 33.195958989418514)	(2, 32.664794690617455)	(3, 33.52722853824859)	(4, 33.388494447574594)	(5, 33.70673597495641)	(6, 34.64665301690333)	(7, 34.55303228107659)	(8, 34.550821473076226)	(9, 34.60972460253647)	(10, 34.60170622723204)	(15, 34.57912897907268)	(20, 34.51540398823492)	(25, 34.244085517488614)	(30, 34.118303813120576)	(35, 34.01718430002968)	(40, 33.94640120213068)	(45, 33.81373811158193)	(50, 33.682685908602686)	(55, 33.543995337457716)	(60, 33.51913343023684)	(65, 33.36263935592044)	(70, 33.296311194804865)	(75, 33.125561136841064)	(80, 32.940331355524755)	(85, 32.65733121405724)	(90, 32.2238676015496)	(95, 31.741390927577054)	(100, 31.308736859658374)	(105, 31.061063163242)	(110, 30.76782130685969)	(115, 30.705120819795848)	(120, 30.80085030298874)	(125, 30.74843611134823)	(130, 30.791226465529338)	(135, 30.890896510583634)	(140, 30.89408694701325)	(145, 30.829607212362294)	(150, 30.84505774165818)
SRR29492865_2	(1, 34.97573755051099)	(2, 36.002458233588975)	(3, 36.0463546363207)	(4, 36.05883513423129)	(5, 36.08039804723384)	(6, 36.22477377274987)	(7, 36.16581991856907)	(8, 36.1448212831114)	(9, 36.25032834679775)	(10, 36.15138966742177)	(15, 36.100812943812386)	(20, 36.059641256999896)	(25, 35.99244300444393)	(30, 35.925540252976475)	(35, 35.85368481468545)	(40, 35.81952382658167)	(45, 35.70082731115369)	(50, 35.64725519057059)	(55, 35.56498031361112)	(60, 35.523682204525194)	(65, 35.41737445209312)	(70, 35.3703032048113)	(75, 35.31072420342093)	(80, 35.24505276495405)	(85, 35.1183285255502)	(90, 35.022891106560856)	(95, 34.96977107516103)	(100, 34.88098419214766)	(105, 34.615397248970496)	(110, 34.41458146547764)	(115, 34.10651519867686)	(120, 33.97704668302347)	(125, 33.90969120535462)	(130, 33.70243201792569)	(135, 33.64062786701872)	(140, 33.60307059524211)	(145, 33.4741228505171)	(150, 33.13778613883201)
SRR29492866_1	(1, 32.71297713042501)	(2, 31.644117575464023)	(3, 32.90587312198485)	(4, 33.14036726796435)	(5, 33.304336516183625)	(6, 34.52428254134051)	(7, 34.44999411490736)	(8, 34.41611009027532)	(9, 34.60955405889541)	(10, 34.57580279775299)	(15, 34.58696637650407)	(20, 34.565528997278534)	(25, 34.317372654088956)	(30, 34.16561704742851)	(35, 34.09678598528909)	(40, 34.0230768963482)	(45, 33.88019450493674)	(50, 33.73164075523541)	(55, 33.6576179397861)	(60, 33.57319396339368)	(65, 33.45486668904879)	(70, 33.41909050928818)	(75, 33.27525261366367)	(80, 33.193971066727215)	(85, 32.96975313062586)	(90, 32.6905343310912)	(95, 32.35795524293978)	(100, 32.08949385625922)	(105, 31.926720678420878)	(110, 31.69373811251858)	(115, 31.54147963161325)	(120, 31.62383262433798)	(125, 31.559976564635168)	(130, 31.505279219246283)	(135, 31.54540627615298)	(140, 31.523637027341863)	(145, 31.38500589511591)	(150, 31.271124594904684)
SRR29492866_2	(1, 35.40844994296758)	(2, 36.24587424459132)	(3, 36.24878548011617)	(4, 36.267105654165995)	(5, 36.23841652919669)	(6, 36.3489223407376)	(7, 36.291224319780184)	(8, 36.283060794200175)	(9, 36.38385605970281)	(10, 36.28660386816209)	(15, 36.231675569400615)	(20, 36.18332024230354)	(25, 36.116886765949246)	(30, 36.0633487351251)	(35, 36.0070336527066)	(40, 35.96469406061941)	(45, 35.87128749121412)	(50, 35.80738651197862)	(55, 35.7531083627405)	(60, 35.680527000738195)	(65, 35.621932015295314)	(70, 35.5836721851621)	(75, 35.48778665245717)	(80, 35.469752122571066)	(85, 35.38370609245982)	(90, 35.30930569175804)	(95, 35.24890964077452)	(100, 35.13083464550694)	(105, 34.98890988133305)	(110, 34.81753283361435)	(115, 34.63835958364664)	(120, 34.51750878348882)	(125, 34.39998053385092)	(130, 34.24567888051696)	(135, 34.227369470506815)	(140, 34.1379888600399)	(145, 33.89004076607964)	(150, 33.598317097382576)
SRR29492867_1	(1, 35.376537848650585)	(2, 35.76424332334994)	(3, 35.95962989252932)	(4, 35.91748050898055)	(5, 36.19244746932539)	(6, 36.30954485254758)	(7, 36.26103506351148)	(8, 36.2680615100388)	(9, 36.28322406289495)	(10, 36.265571197716945)	(15, 36.24521051474018)	(20, 36.21273780186095)	(25, 36.1250417240751)	(30, 36.06619005925384)	(35, 36.03957658030374)	(40, 36.00222412914748)	(45, 35.94966097521065)	(50, 35.889124854693236)	(55, 35.8480892850304)	(60, 35.80146156012446)	(65, 35.752619551591614)	(70, 35.71918302132399)	(75, 35.62054811560643)	(80, 35.49491122700307)	(85, 35.27677224201291)	(90, 35.08071211698671)	(95, 34.81125738832219)	(100, 34.559798313412784)	(105, 34.336572342192746)	(110, 34.15328120360306)	(115, 34.14336768542665)	(120, 34.24791172516122)	(125, 34.26995976999073)	(130, 34.27169914472595)	(135, 34.32555931107676)	(140, 34.322469421363195)	(145, 34.2603195241721)	(150, 34.06382237839839)
SRR29492867_2	(1, 35.1362093977937)	(2, 35.41566597851591)	(3, 35.47173896775411)	(4, 35.508793528494884)	(5, 35.495268944746705)	(6, 35.68638536200075)	(7, 35.58687838116828)	(8, 35.56739223511219)	(9, 35.71570448126028)	(10, 35.56749878908014)	(15, 35.50238335230919)	(20, 35.44815258885053)	(25, 35.37273823191083)	(30, 35.31021732220347)	(35, 35.246428347581066)	(40, 35.20763182090979)	(45, 35.10484182459544)	(50, 35.042247893234375)	(55, 34.98129908826444)	(60, 34.895270274394214)	(65, 34.817209782701966)	(70, 34.74813641430992)	(75, 34.64510004503692)	(80, 34.63370887987386)	(85, 34.540107541244)	(90, 34.44358879423128)	(95, 34.346246477849284)	(100, 34.16364855209771)	(105, 33.9589837298048)	(110, 33.73362192245868)	(115, 33.5294856580363)	(120, 33.424318241751756)	(125, 33.335487222134205)	(130, 33.21117695911878)	(135, 33.23229055457479)	(140, 33.18026662973845)	(145, 32.96819065865077)	(150, 32.734296120145586)
SRR29492868_1	(1, 35.56139739432012)	(2, 35.87787259789307)	(3, 36.02537386441369)	(4, 36.009015881708876)	(5, 36.17867667671314)	(6, 36.34609333948064)	(7, 36.28258600467045)	(8, 36.26658205042061)	(9, 36.31521868218493)	(10, 36.25731484979396)	(15, 36.22192237246089)	(20, 36.19420046870779)	(25, 36.11097469178208)	(30, 36.04777478285562)	(35, 35.99864495616178)	(40, 35.97198244105533)	(45, 35.90485816872274)	(50, 35.84246307940866)	(55, 35.77463236644027)	(60, 35.71955493197565)	(65, 35.66332253787132)	(70, 35.60558100927068)	(75, 35.538602286524295)	(80, 35.48659952960566)	(85, 35.42903086913795)	(90, 35.34969496924716)	(95, 35.22284975367338)	(100, 35.12851792462669)	(105, 35.07299427844808)	(110, 34.885686557242956)	(115, 34.7585128398048)	(120, 34.70844377922141)	(125, 34.712898031665034)	(130, 34.6061830772466)	(135, 34.56267144291294)	(140, 34.52104561108075)	(145, 34.369340113915705)	(150, 33.98793720728089)
SRR29492868_2	(1, 34.61962995110595)	(2, 35.71867449884228)	(3, 35.71918580658317)	(4, 35.727890819041654)	(5, 35.741574336518)	(6, 35.90298960062276)	(7, 35.79710087852113)	(8, 35.77850570301747)	(9, 35.96578921524678)	(10, 35.747837281717345)	(15, 35.68947804358916)	(20, 35.63077405887021)	(25, 35.572024900460065)	(30, 35.48461307597408)	(35, 35.412467224332)	(40, 35.367041810142716)	(45, 35.27552668137749)	(50, 35.166860210615745)	(55, 35.083604588250935)	(60, 34.96277724152482)	(65, 34.9001170481142)	(70, 34.82675959696447)	(75, 34.72523912805289)	(80, 34.65308226407917)	(85, 34.52219196230381)	(90, 34.50295209837769)	(95, 34.425727942645224)	(100, 34.330050881598495)	(105, 34.21976331421933)	(110, 34.00217560162731)	(115, 33.89875226856667)	(120, 33.75136024988067)	(125, 33.65878514100616)	(130, 33.51415558664867)	(135, 33.372464556308444)	(140, 33.26788019379595)	(145, 33.2168171890287)	(150, 32.565184834124885)
SRR29492869_1	(1, 35.51616961389349)	(2, 35.81968786991642)	(3, 35.98896703511138)	(4, 35.97925492638696)	(5, 36.143896828962546)	(6, 36.331109871339734)	(7, 36.26944567886744)	(8, 36.254297034912355)	(9, 36.30632532477823)	(10, 36.24922360543552)	(15, 36.21414516987393)	(20, 36.18722998455227)	(25, 36.10161005782088)	(30, 36.035873957101)	(35, 35.9820371592554)	(40, 35.95460803468624)	(45, 35.88747756776708)	(50, 35.825583479980125)	(55, 35.75339686994001)	(60, 35.69679440479742)	(65, 35.6410570031739)	(70, 35.577586619707105)	(75, 35.486263689479486)	(80, 35.40180236759477)	(85, 35.31078769367091)	(90, 35.21391148358235)	(95, 35.05216994520492)	(100, 34.921055926237166)	(105, 34.80644594268951)	(110, 34.569419511150535)	(115, 34.48507362700668)	(120, 34.47313888598053)	(125, 34.510793178117105)	(130, 34.44424883862674)	(135, 34.42352195671473)	(140, 34.406620347579704)	(145, 34.2754643310724)	(150, 33.92342862635498)
SRR29492869_2	(1, 34.56116269860292)	(2, 35.713009081434826)	(3, 35.77368735803477)	(4, 35.7692781027238)	(5, 35.76272415210936)	(6, 35.93146529787127)	(7, 35.82705825230079)	(8, 35.80502559333403)	(9, 35.99513662556067)	(10, 35.77977519058014)	(15, 35.71948213210328)	(20, 35.662339657264766)	(25, 35.603454667373455)	(30, 35.51864666813285)	(35, 35.44730360033566)	(40, 35.404742744057735)	(45, 35.31600694606732)	(50, 35.21683632452219)	(55, 35.13511805376434)	(60, 35.01904547391526)	(65, 34.96143328456774)	(70, 34.88999213023123)	(75, 34.79033697694432)	(80, 34.72035098161112)	(85, 34.59630008136135)	(90, 34.57609863383667)	(95, 34.49565237799252)	(100, 34.38300302784328)	(105, 34.256202262684475)	(110, 33.99284379783458)	(115, 33.82670166852366)	(120, 33.672626822268974)	(125, 33.587602944352)	(130, 33.470680814060415)	(135, 33.348803642510276)	(140, 33.2647413384034)	(145, 33.22737712583395)	(150, 32.61508808559307)
SRR29492870_1	(1, 35.50725102811449)	(2, 35.9137237030527)	(3, 36.04699207646756)	(4, 36.03590251448067)	(5, 36.231942340754806)	(6, 36.37655765515233)	(7, 36.31177963833488)	(8, 36.30627907017125)	(9, 36.33976704422697)	(10, 36.295592503762336)	(15, 36.2621323254475)	(20, 36.236580322165274)	(25, 36.15367498162553)	(30, 36.08979730709536)	(35, 36.042187386097524)	(40, 36.00698397012062)	(45, 35.95433058764318)	(50, 35.891535714684366)	(55, 35.82888203107152)	(60, 35.774098193460404)	(65, 35.72930089504687)	(70, 35.67906138424556)	(75, 35.610809852336985)	(80, 35.50947808074051)	(85, 35.37495668040628)	(90, 35.24823375648563)	(95, 35.01389399884754)	(100, 34.841223322168496)	(105, 34.63163577200924)	(110, 34.364461386081146)	(115, 34.29354323910077)	(120, 34.327435566076275)	(125, 34.38688296027518)	(130, 34.383015873606475)	(135, 34.39570038961564)	(140, 34.40707403094055)	(145, 34.32252481849398)	(150, 34.03411101180753)
SRR29492870_2	(1, 34.92443734684325)	(2, 35.52974346190128)	(3, 35.59495307968008)	(4, 35.61205925769377)	(5, 35.5885636312267)	(6, 35.78296819796751)	(7, 35.68077675075885)	(8, 35.64606770486448)	(9, 35.8470723362477)	(10, 35.630453465773385)	(15, 35.564754667164756)	(20, 35.511925878024286)	(25, 35.45719996160151)	(30, 35.37571682555652)	(35, 35.30711919926755)	(40, 35.269811790369076)	(45, 35.186652954339294)	(50, 35.09457579719647)	(55, 35.018349649961095)	(60, 34.907803861131434)	(65, 34.845926323029985)	(70, 34.75134263975697)	(75, 34.65156055761149)	(80, 34.58328019012707)	(85, 34.46234395567406)	(90, 34.438738259501825)	(95, 34.347207228043594)	(100, 34.201061484954764)	(105, 34.044943934986506)	(110, 33.71829945510366)	(115, 33.49799031554476)	(120, 33.29670232715163)	(125, 33.19770623719895)	(130, 33.07498769586515)	(135, 32.95817833615989)	(140, 32.874616439066344)	(145, 32.85700349828062)	(150, 32.3394429491029)
SRR29492871_1	(1, 35.506107139366705)	(2, 35.88492796233104)	(3, 36.01348032339966)	(4, 35.988531435419524)	(5, 36.19146333990462)	(6, 36.337466541083245)	(7, 36.265458318808086)	(8, 36.260637549518314)	(9, 36.290880405577816)	(10, 36.244066058684204)	(15, 36.20807466234925)	(20, 36.183081143638766)	(25, 36.098369789015734)	(30, 36.03418208480052)	(35, 35.98997022052458)	(40, 35.955343438967496)	(45, 35.90134822591531)	(50, 35.83682723142309)	(55, 35.76925877725953)	(60, 35.71378407407982)	(65, 35.667681048421386)	(70, 35.618054194312265)	(75, 35.53054090943026)	(80, 35.39989352582011)	(85, 35.06428715548177)	(90, 34.574586557530644)	(95, 33.97431783779257)	(100, 33.4562710984538)	(105, 33.037371613285224)	(110, 32.702889706609625)	(115, 32.63327986730829)	(120, 32.66901108599776)	(125, 32.752248722135626)	(130, 32.80150898791209)	(135, 32.85076335351219)	(140, 32.90044550512718)	(145, 32.89767687447248)	(150, 32.721991231780436)
SRR29492871_2	(1, 35.01635116957678)	(2, 35.786768764701755)	(3, 35.80835630982281)	(4, 35.82197052541349)	(5, 35.822388926895904)	(6, 35.97194374000657)	(7, 35.87694699044625)	(8, 35.846375350543646)	(9, 36.02483201493299)	(10, 35.83171131548984)	(15, 35.77285246008163)	(20, 35.72939454542788)	(25, 35.67892895105193)	(30, 35.60329692563181)	(35, 35.5421875447401)	(40, 35.507128569844795)	(45, 35.434869071292574)	(50, 35.350915159939454)	(55, 35.283262669300804)	(60, 35.1803605010851)	(65, 35.130300902335186)	(70, 35.058772749999875)	(75, 34.953888410568524)	(80, 34.88415703228005)	(85, 34.767316830999484)	(90, 34.75247653553289)	(95, 34.66974161145524)	(100, 34.534541876315856)	(105, 34.38762400378194)	(110, 34.07880615614799)	(115, 33.843508899301035)	(120, 33.6287584707988)	(125, 33.500091606045196)	(130, 33.349123025506366)	(135, 33.20450176797003)	(140, 33.0972710786162)	(145, 33.052134656705206)	(150, 32.541755505487856)
