Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR29492865_1	(1.0, 79.59424857883495)	(2.0, 9.863829129445076)	(3.0, 2.0007587282981487)	(4.0, 0.6722405783033825)	(5.0, 0.33334334150429384)	(6.0, 0.22763327432326055)	(7.0, 0.16636546195431198)	(8.0, 0.17042302433855935)	(9.0, 0.1249154774656156)	('>10', 1.7637483881278462)	('>50', 0.7285076340194866)	('>100', 2.143926954699433)	('>500', 1.0954637478144331)	('>1k', 1.1023302697585693)	('>5k', 0.0)	('>10k+', 0.012265411113208754)
SRR29492865_2	(1.0, 74.1807583796278)	(2.0, 12.618145304314021)	(3.0, 2.7217275391859537)	(4.0, 0.8245574643688145)	(5.0, 0.45037600182520854)	(6.0, 0.24696433102858045)	(7.0, 0.18508407821200967)	(8.0, 0.15366906925668036)	(9.0, 0.1310883528514733)	('>10', 1.9474003244447269)	('>50', 0.8606858025754955)	('>100', 2.478880328992442)	('>500', 1.4142622322884386)	('>1k', 1.7310350595929276)	('>5k', 0.016747887233390102)	('>10k+', 0.03861784420200556)
SRR29492866_1	(1.0, 75.20684167175678)	(2.0, 10.980921792283112)	(3.0, 2.364927108049996)	(4.0, 0.7955553399742518)	(5.0, 0.43664959164639844)	(6.0, 0.26839046072301587)	(7.0, 0.20188405074481247)	(8.0, 0.1696286215892977)	(9.0, 0.15696080448931063)	('>10', 2.0204519072878466)	('>50', 0.812167494022324)	('>100', 2.4387337737830617)	('>500', 1.479165944534951)	('>1k', 2.536658796328919)	('>5k', 0.11787137180691484)	('>10k+', 0.013191270979008338)
SRR29492866_2	(1.0, 70.79561079321469)	(2.0, 13.153325464835703)	(3.0, 2.9837721967651176)	(4.0, 0.9245290738395124)	(5.0, 0.4838767495793665)	(6.0, 0.30427866265939024)	(7.0, 0.21884236070049148)	(8.0, 0.1800289195350839)	(9.0, 0.12949226386671667)	('>10', 1.9663973790008684)	('>50', 0.8578745396139035)	('>100', 2.6774160437679018)	('>500', 1.6747060705281869)	('>1k', 3.32976810850075)	('>5k', 0.2902750302605568)	('>10k+', 0.02980634333208073)
SRR29492867_1	(1.0, 71.49508059381274)	(2.0, 14.482950171868236)	(3.0, 3.429774739981095)	(4.0, 1.187196494899084)	(5.0, 0.5499310173965929)	(6.0, 0.2775590247391464)	(7.0, 0.22926248781678588)	(8.0, 0.1730131120551683)	(9.0, 0.14440749984316054)	('>10', 1.93423435274238)	('>50', 0.8592558158586132)	('>100', 2.4633496374885095)	('>500', 1.2148834575015306)	('>1k', 1.4992632110411928)	('>5k', 0.014910119940217896)	('>10k+', 0.0449282630155933)
SRR29492867_2	(1.0, 73.94078246075492)	(2.0, 13.140628280490269)	(3.0, 3.027435307674139)	(4.0, 0.9829262105840527)	(5.0, 0.49020145591156356)	(6.0, 0.2857497234646399)	(7.0, 0.21960184115828768)	(8.0, 0.17219766099010086)	(9.0, 0.12574093594323374)	('>10', 1.8316124357386716)	('>50', 0.8028366006761042)	('>100', 2.410756491801149)	('>500', 1.1527566308702921)	('>1k', 1.3496527302802597)	('>5k', 0.007794197722506191)	('>10k+', 0.059327035940122765)
SRR29492868_1	(1.0, 78.3576794399659)	(2.0, 13.35754381318694)	(3.0, 2.87034168359423)	(4.0, 0.8435829529280396)	(5.0, 0.3901111662836462)	(6.0, 0.24826402561646319)	(7.0, 0.2033744540857914)	(8.0, 0.17646199783643057)	(9.0, 0.12943934540299415)	('>10', 1.8798194205360113)	('>50', 0.6298699103756764)	('>100', 0.7531840359668218)	('>500', 0.07600976904983381)	('>1k', 0.06531927689574195)	('>5k', 0.018998708275469733)	('>10k+', 0.0)
SRR29492868_2	(1.0, 80.26425539269074)	(2.0, 12.162221676602272)	(3.0, 2.4533111652609145)	(4.0, 0.7447617263198607)	(5.0, 0.37417037265531194)	(6.0, 0.24229797810248083)	(7.0, 0.17735532527044018)	(8.0, 0.1714760743703015)	(9.0, 0.1113952747958091)	('>10', 1.8416107416764829)	('>50', 0.6031923388809938)	('>100', 0.7021187927842686)	('>500', 0.07005371496515261)	('>1k', 0.05371091497070066)	('>5k', 0.028068510654288153)	('>10k+', 0.0)
SRR29492869_1	(1.0, 75.35805845873058)	(2.0, 14.642798270349514)	(3.0, 3.280384085672946)	(4.0, 0.9705092055134725)	(5.0, 0.4182065033184938)	(6.0, 0.26267720290845314)	(7.0, 0.2158789000926978)	(8.0, 0.1700180822385848)	(9.0, 0.15011605141812628)	('>10', 1.8712758507564695)	('>50', 0.8061456018956371)	('>100', 1.4871684293480598)	('>500', 0.23910182252978723)	('>1k', 0.10005776531992885)	('>5k', 0.013295973174316052)	('>10k+', 0.014307796732881503)
SRR29492869_2	(1.0, 77.39628979633257)	(2.0, 13.406836090340343)	(3.0, 2.8835640082639884)	(4.0, 0.8999668048968542)	(5.0, 0.41733500796554623)	(6.0, 0.24477278944942654)	(7.0, 0.16395677018018354)	(8.0, 0.17006808339859497)	(9.0, 0.13113949811770165)	('>10', 1.7970313806982128)	('>50', 0.7635783793161144)	('>100', 1.4122394975863384)	('>500', 0.17690566876969346)	('>1k', 0.09294773970267024)	('>5k', 0.012023929339340555)	('>10k+', 0.03134455564206822)
SRR29492870_1	(1.0, 75.45135683185333)	(2.0, 14.999728755800342)	(3.0, 3.3487864378741725)	(4.0, 1.0552864877189214)	(5.0, 0.4325269131068414)	(6.0, 0.2808415543691599)	(7.0, 0.20299290288749086)	(8.0, 0.168083013419987)	(9.0, 0.1411442997501342)	('>10', 1.9555268404517232)	('>50', 0.6312435548498831)	('>100', 1.0079722833920295)	('>500', 0.16498604040667003)	('>1k', 0.13522156970651986)	('>5k', 0.02430251441272108)	('>10k+', 0.0)
SRR29492870_2	(1.0, 77.9954424829693)	(2.0, 13.326294179944792)	(3.0, 2.9423296795141796)	(4.0, 0.873776325146258)	(5.0, 0.41064105701088904)	(6.0, 0.2789029047236264)	(7.0, 0.2220394052298787)	(8.0, 0.16411532442794577)	(9.0, 0.12315117663667155)	('>10', 1.7947796208130216)	('>50', 0.6475630147681559)	('>100', 0.9246636809040383)	('>500', 0.13850294877309477)	('>1k', 0.11899625512280208)	('>5k', 0.023172946296265606)	('>10k+', 0.01562899771922991)
SRR29492871_1	(1.0, 72.01883354326472)	(2.0, 15.956673093019349)	(3.0, 4.085303512630982)	(4.0, 1.2898436913565066)	(5.0, 0.5668485829002774)	(6.0, 0.31549026128849866)	(7.0, 0.24870146464174014)	(8.0, 0.19085012941310397)	(9.0, 0.15794149671993774)	('>10', 2.2678763164808653)	('>50', 0.9238387445238041)	('>100', 1.5160600393141326)	('>500', 0.26964314534265965)	('>1k', 0.14393870477455165)	('>5k', 0.03028181239913552)	('>10k+', 0.01787546192980602)
SRR29492871_2	(1.0, 74.14313977389166)	(2.0, 14.86625836280216)	(3.0, 3.6602541232371824)	(4.0, 1.1554019656252905)	(5.0, 0.5130586396563184)	(6.0, 0.3015713972707177)	(7.0, 0.19580265251471943)	(8.0, 0.15490786457095831)	(9.0, 0.14497363088944334)	('>10', 2.0670162620909727)	('>50', 0.890767101785984)	('>100', 1.4810129624330453)	('>500', 0.2556117269188828)	('>1k', 0.11382510152622848)	('>5k', 0.032865258916299954)	('>10k+', 0.0235331758702007)
SRR29492872_1	(1.0, 73.89794907938317)	(2.0, 15.260903785333529)	(3.0, 3.4654481163318644)	(4.0, 0.9765010597812219)	(5.0, 0.39248431926518995)	(6.0, 0.2382573386189872)	(7.0, 0.18855254840075472)	(8.0, 0.14276731005972773)	(9.0, 0.1518652412699175)	('>10', 1.9276586721222424)	('>50', 0.7924620381371749)	('>100', 1.9496943292467168)	('>500', 0.44085744581691955)	('>1k', 0.12502618626772175)	('>5k', 0.0)	('>10k+', 0.04957252996487298)
SRR29492872_2	(1.0, 75.97536335951011)	(2.0, 14.144085618455273)	(3.0, 3.051671985663208)	(4.0, 0.8775310451520744)	(5.0, 0.36482825728992413)	(6.0, 0.23641577512118392)	(7.0, 0.17469754349759228)	(8.0, 0.12687411762464146)	(9.0, 0.13596549480379916)	('>10', 1.836110990082592)	('>50', 0.7664281820081686)	('>100', 1.7899844018769453)	('>500', 0.3572320935028065)	('>1k', 0.08319914469168731)	('>5k', 0.014415086011805236)	('>10k+', 0.0651969047081719)
SRR29492873_1	(1.0, 73.60532056390558)	(2.0, 14.138487547873888)	(3.0, 3.2097051496309903)	(4.0, 0.896359428850378)	(5.0, 0.3990525376186475)	(6.0, 0.25470008232946295)	(7.0, 0.2053227785752847)	(8.0, 0.1757157834197368)	(9.0, 0.13115415431737004)	('>10', 1.8574026703084878)	('>50', 0.9508232945186256)	('>100', 2.7564973952855087)	('>500', 0.9523093923865362)	('>1k', 0.44239203753662404)	('>5k', 0.024757183442888495)	('>10k+', 0.0)
SRR29492873_2	(1.0, 75.99514024387669)	(2.0, 12.865965239853383)	(3.0, 2.7899401169775606)	(4.0, 0.7488409855647323)	(5.0, 0.3588758894795128)	(6.0, 0.21134068530926498)	(7.0, 0.17874903481356552)	(8.0, 0.15305922479826778)	(9.0, 0.10245743929160073)	('>10', 1.8036654262122511)	('>50', 0.9051798852874207)	('>100', 2.6528776697746874)	('>500', 0.8064335148371806)	('>1k', 0.3895920098846127)	('>5k', 0.03788263403926946)	('>10k+', 0.0)
SRR29492874_1	(1.0, 86.2821566561585)	(2.0, 7.596693605243823)	(3.0, 1.2770342092959817)	(4.0, 0.45434291513786274)	(5.0, 0.24286130708753742)	(6.0, 0.1420430466605413)	(7.0, 0.1461719226079056)	(8.0, 0.11523603371759428)	(9.0, 0.09728400537823154)	('>10', 1.5284842301763581)	('>50', 0.6245371481581377)	('>100', 1.2716553069415195)	('>500', 0.17825777639186638)	('>1k', 0.043241837044248124)	('>5k', 0.0)	('>10k+', 0.0)
