Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR29492859_1	13.895196138259593	45.0	151.0	151	18.181818181818183	39.815774999999995
SRR29492859_2	12.397413845566575	45.0	151.0	151	18.181818181818183	39.815774999999995
SRR29492860_1	15.966983586627322	46.0	151.0	151	18.181818181818183	94.40328
SRR29492860_2	14.743990514130516	45.0	151.0	151	18.181818181818183	94.40328
SRR29492861_1	11.158903021243162	47.0	151.0	151	18.181818181818183	65.49659299999999
SRR29492861_2	12.875428396129635	46.0	151.0	151	18.181818181818183	65.49659299999999
SRR29492862_1	16.751883413200787	47.0	151.0	151	18.181818181818183	71.709391
SRR29492862_2	15.791452486537267	46.0	151.0	151	18.181818181818183	71.709391
SRR29492863_1	12.402435543362913	46.0	151.0	151	18.181818181818183	69.879175
SRR29492863_2	11.558237167556882	46.0	151.0	151	18.181818181818183	69.879175
SRR29492864_1	18.82935453301407	48.0	151.0	151	18.181818181818183	105.072553
SRR29492864_2	17.29903423376598	47.0	151.0	151	18.181818181818183	105.072553
SRR29492865_1	14.361572499731295	49.0	151.0	151	18.181818181818183	92.932991
SRR29492865_2	18.08000902904668	48.0	151.0	151	18.181818181818183	92.932991
SRR29492866_1	17.984377287313947	47.0	151.0	151	18.181818181818183	104.75621
SRR29492866_2	21.056118985511787	46.0	151.0	151	18.181818181818183	104.75621
SRR29492867_1	19.47099296421517	48.0	151.0	151	18.181818181818183	117.47474299999999
SRR29492867_2	17.90229119626379	47.0	151.0	151	18.181818181818183	117.47474299999999
SRR29492868_1	13.500867263763809	46.0	151.0	151	18.181818181818183	68.305244
SRR29492868_2	12.367266626956706	46.0	151.0	151	18.181818181818183	68.305244
SRR29492869_1	15.671298625910268	46.0	151.0	151	18.181818181818183	80.190412
SRR29492869_2	14.41836733613593	46.0	151.0	151	18.181818181818183	80.190412
SRR29492870_1	15.3538280674846	47.0	151.0	151	18.181818181818183	100.785225
SRR29492870_2	13.84076243697794	46.0	151.0	151	18.181818181818183	100.785225
SRR29492871_1	17.93839179286087	47.0	151.0	151	18.181818181818183	129.148682
SRR29492871_2	16.57136270263841	46.0	151.0	151	18.181818181818183	129.148682
SRR29492872_1	16.770007056535533	47.0	151.0	151	18.181818181818183	72.741997
SRR29492872_2	15.431763615902156	47.0	151.0	151	18.181818181818183	72.741997
SRR29492873_1	17.71963610468876	46.0	151.0	151	18.181818181818183	63.639053999999994
SRR29492873_2	16.173402819396713	46.0	151.0	151	18.181818181818183	63.639053999999994
SRR29492874_1	9.167311192725663	47.0	151.0	151	9.090909090909092	59.061052
SRR29492874_2	13.288015713055927	46.0	151.0	151	18.181818181818183	59.061052
SRR29492875_1	17.669899654102224	22.0	151.0	151	9.090909090909092	223.673993
SRR29492875_2	10.7790059671633	24.0	151.0	151	18.181818181818183	223.673993
SRR29492876_1	18.252169014052143	22.0	151.0	151	9.090909090909092	270.30001799999997
SRR29492876_2	10.965670446175807	24.0	151.0	151	18.181818181818183	270.30001799999997
SRR29492877_1	17.11862876679801	22.0	151.0	151	9.090909090909092	202.97590599999998
SRR29492877_2	10.387210753509677	24.0	151.0	151	18.181818181818183	202.97590599999998
SRR29492878_1	18.985341057006238	22.0	151.0	151	9.090909090909092	230.911501
SRR29492878_2	12.998608068185419	24.0	151.0	151	18.181818181818183	230.911501
SRR29492879_1	20.47320579806265	22.0	151.0	151	9.090909090909092	250.921856
SRR29492879_2	14.461392942097646	24.0	151.0	151	18.181818181818183	250.921856
SRR29492880_1	16.074663070065725	22.0	151.0	151	9.090909090909092	205.74864
SRR29492880_2	9.053635525256084	24.0	151.0	151	18.181818181818183	205.74864
SRR29492881_1	17.927293647644532	22.0	151.0	151	9.090909090909092	264.82834199999996
SRR29492881_2	11.283244770441954	24.0	151.0	151	18.181818181818183	264.82834199999996
SRR29492882_1	20.03638066084055	22.0	151.0	151	9.090909090909092	277.48706699999997
SRR29492882_2	12.375934042798932	24.0	151.0	151	18.181818181818183	277.48706699999997
SRR29492883_1	17.208944916831527	22.0	151.0	151	9.090909090909092	204.883894
SRR29492883_2	10.595952057810848	24.0	151.0	151	18.181818181818183	204.883894
SRR29492884_1	17.62101386751968	22.0	151.0	151	9.090909090909092	253.10581499999998
SRR29492884_2	10.726959224681906	24.0	151.0	151	18.181818181818183	253.10581499999998
