Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR29492859_1 - nextera_transposase_sequence	(1, 0.00033906159053792123)	(2, 0.00034910785988719295)	(3, 0.00036166569657378265)	(4, 0.0003943160719589158)	(5, 0.0004018507739708696)	(6, 0.0004118970433201413)	(7, 0.00042696644734404893)	(8, 0.0004520821207172283)	(9, 0.0005575679488845815)	(10, 0.0008021946075393485)	(15, 0.0014587183095142568)	(20, 0.003806531456439062)	(25, 0.01206004404033326)	(30, 0.05084718305746905)	(35, 0.24495014852781338)	(40, 0.8289784639379743)	(45, 1.537181180072471)	(50, 2.253103951888416)	(55, 2.9794447050195556)	(60, 3.651417559999774)	(65, 4.337789732838305)	(70, 4.966104515107391)	(75, 5.599685551769368)	(80, 6.17722196792603)	(85, 6.757373930307773)	(90, 7.287021789730327)	(95, 7.822662248819721)	(100, 8.311630754393201)	(105, 8.801284917849772)	(110, 9.254524871109505)	(115, 9.709833853541719)	(120, 10.143938677571892)	(125, 10.579392213262205)	(130, 11.007361780600778)	(135, 11.45187855818454)	(140, 11.743056615123026)
SRR29492859_1 - polya	(1, 0.0001732981462749375)	(2, 0.00036166569657378265)	(3, 0.0004621283900665)	(4, 0.0006831463157504783)	(5, 0.0013185728520919157)	(6, 0.0024362203171983967)	(7, 0.0028707214665543994)	(8, 0.0035639140516541498)	(9, 0.004076273788467009)	(10, 0.017492564190951954)	(15, 0.07892349200787879)	(20, 0.14626464008298218)	(25, 0.20477310814620586)	(30, 0.26613421439115525)	(35, 0.3626874021666035)	(40, 0.45209919937512205)	(45, 0.5194689793178708)	(50, 0.5797129404111813)	(55, 0.6440211197697395)	(60, 0.6892313410953322)	(65, 0.740124736991808)	(70, 0.787811363711996)	(75, 0.8296214251763278)	(80, 0.8733568541614473)	(85, 0.9156521504353489)	(90, 0.9516780723218371)	(95, 0.9889668102655292)	(100, 1.0314484648358597)	(105, 1.071318591688847)	(110, 1.116922626772931)	(115, 1.1659660021687384)	(120, 1.2097315699619058)	(125, 1.2698012282820061)	(130, 1.3270534103631035)	(135, 1.371742230309469)	(140, 1.4001937674200742)
SRR29492859_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 3.2650375385133155e-05)	(4, 6.781231810758424e-05)	(5, 0.000193390684973481)	(6, 0.0003516194272245109)	(7, 0.0004545936880545462)	(8, 0.0005274291408367663)	(9, 0.0005701257855711713)	(10, 0.0010021153675898562)	(15, 0.0017133912375182953)	(20, 0.002331739115965971)	(25, 0.0030791815555517884)	(30, 0.0040049452760871785)	(35, 0.004966373252812484)	(40, 0.006024747728758262)	(45, 0.007543241340900686)	(50, 0.009272706609377814)	(55, 0.01135680518588424)	(60, 0.01361872272987277)	(65, 0.016077547153107028)	(70, 0.018838764283754368)	(75, 0.02263977029205133)	(80, 0.025675250575933783)	(85, 0.02838824561370462)	(90, 0.03221135341456998)	(95, 0.03955216242808284)	(100, 0.06915349506571201)	(105, 0.20150003359221316)	(110, 0.7116857577178894)	(115, 1.4104831564875984)	(120, 2.133676413431611)	(125, 2.8714648904862456)	(130, 3.566772717597485)	(135, 4.273677958045523)	(140, 4.671723707500356)
SRR29492859_2 - nextera_transposase_sequence	(1, 0.0003516194272245109)	(2, 0.00035664256189914674)	(3, 0.00037171196592305437)	(4, 0.0004118970433201413)	(5, 0.0004219433126694131)	(6, 0.00042696644734404893)	(7, 0.0004445474187052745)	(8, 0.0004621283900665)	(9, 0.0005851951895950788)	(10, 0.0008715138660493234)	(15, 0.001585803616782544)	(20, 0.004062711324845492)	(25, 0.012951148131613664)	(30, 0.05281072640178421)	(35, 0.2477108633449933)	(40, 0.8321465549772672)	(45, 1.541253937666666)	(50, 2.258136630518934)	(55, 2.9857321626917974)	(60, 3.6590627709745696)	(65, 4.346581725459318)	(70, 4.975350096789526)	(75, 5.609331979598538)	(80, 6.187198918016792)	(85, 6.766778243045627)	(90, 7.295712817344382)	(95, 7.8301924300104675)	(100, 8.317407359269033)	(105, 8.805857477344093)	(110, 9.258379122345351)	(115, 9.7124694923055)	(120, 10.143309781110627)	(125, 10.574572013228424)	(130, 10.998658697463506)	(135, 11.439175050592386)	(140, 11.725322438154224)
SRR29492859_2 - polya	(1, 0.00018836755029884511)	(2, 0.0003516194272245109)	(3, 0.00047970936142772557)	(4, 0.0007157966911356114)	(5, 0.0013336422561158235)	(6, 0.002677330781580919)	(7, 0.0031444823063220546)	(8, 0.003973299527636973)	(9, 0.004523332774509601)	(10, 0.018098856546180504)	(15, 0.07755920863024769)	(20, 0.14268013117916203)	(25, 0.20031758768980387)	(30, 0.25982666418021505)	(35, 0.3511874376424922)	(40, 0.4370016657970364)	(45, 0.502760024136162)	(50, 0.5618426364926967)	(55, 0.6236538156044934)	(60, 0.6684019085400197)	(65, 0.7171132547338335)	(70, 0.7641714873062248)	(75, 0.8054048929099082)	(80, 0.8485551267054326)	(85, 0.8898442891040046)	(90, 0.9256828480671292)	(95, 0.9628073295069605)	(100, 1.0048027446407861)	(105, 1.0431895398243536)	(110, 1.08883074610503)	(115, 1.1362004130272487)	(120, 1.1784700913143094)	(125, 1.2332117106850236)	(130, 1.2850725623198342)	(135, 1.326392868153389)	(140, 1.352305712999433)
SRR29492859_2 - polyg	(1, 0.028478662037848063)	(2, 0.028739865040929128)	(3, 0.02925975947975394)	(4, 0.029769607649229483)	(5, 0.030533124119774133)	(6, 0.031206224166175342)	(7, 0.031565378295411804)	(8, 0.03190443988594973)	(9, 0.032208339533765194)	(10, 0.03387501561880938)	(15, 0.036397633852411515)	(20, 0.039105103442040254)	(25, 0.042235520971273324)	(30, 0.045553301423870304)	(35, 0.04872340171703301)	(40, 0.052243112183550364)	(45, 0.05667803778778637)	(50, 0.06160874678440895)	(55, 0.06695085051088419)	(60, 0.07281636487045648)	(65, 0.07933790061853623)	(70, 0.08665409627214338)	(75, 0.0958042383954601)	(80, 0.10417679927114314)	(85, 0.11237656431401874)	(90, 0.12144282008826904)	(95, 0.132768984152638)	(100, 0.1508221301732793)	(105, 0.1989261793849297)	(110, 0.3702969488852094)	(115, 0.8816244315224306)	(120, 1.5458300133552592)	(125, 2.2578121360189525)	(130, 2.9974631914109424)	(135, 3.712309505466113)	(140, 4.1546196199873044)
SRR29492860_1 - nextera_transposase_sequence	(1, 0.00012181780124588891)	(2, 0.00012923279784346476)	(3, 0.00014618136149506668)	(4, 0.0001769006331135952)	(5, 0.0001874934853958464)	(6, 0.00019490848199342226)	(7, 0.00020867918996034883)	(8, 0.0002171534717861498)	(9, 0.0002987184343594841)	(10, 0.0005237106168344998)	(15, 0.0009794151220169469)	(20, 0.0038159691061581762)	(25, 0.020507126447301408)	(30, 0.10113885873456938)	(35, 0.5858635420294719)	(40, 2.0460299684502488)	(45, 3.6949730983923437)	(50, 5.453681905967674)	(55, 7.15055218420377)	(60, 8.862640577742638)	(65, 10.47031056548035)	(70, 12.090824386610297)	(75, 13.612685491436313)	(80, 15.138190325590381)	(85, 16.574903541487117)	(90, 17.99334599391038)	(95, 19.35312989124954)	(100, 20.650069361996742)	(105, 21.88651686678683)	(110, 23.063462625451148)	(115, 24.200798531576446)	(120, 25.29642677669674)	(125, 26.361663281191074)	(130, 27.40352983498031)	(135, 28.446824093400142)	(140, 29.078697265603484)
SRR29492860_1 - polya	(1, 0.00024893202863290344)	(2, 0.0004438405106263257)	(3, 0.0005497690334488377)	(4, 0.0007520925120398359)	(5, 0.0012277115795129151)	(6, 0.0022202618383598536)	(7, 0.0025984266648362217)	(8, 0.003351578462104283)	(9, 0.0038505018045983147)	(10, 0.01590961669975874)	(15, 0.07267183936829313)	(20, 0.13396759095658545)	(25, 0.18617721757125388)	(30, 0.24144839035253862)	(35, 0.32954660049947415)	(40, 0.40842309716357317)	(45, 0.467562144027199)	(50, 0.5207700410409469)	(55, 0.5782089351132715)	(60, 0.6179670875842449)	(65, 0.6614124000776245)	(70, 0.7015855805010165)	(75, 0.735477623235125)	(80, 0.7701035387753477)	(85, 0.8036078831159257)	(90, 0.8323717142031505)	(95, 0.8627092194254267)	(100, 0.8976537679622997)	(105, 0.9296844346933707)	(110, 0.9661583792427552)	(115, 1.0061061437695809)	(120, 1.0417951579648501)	(125, 1.0939130504787546)	(130, 1.142220694026733)	(135, 1.1791403858001543)	(140, 1.2022315326331883)
SRR29492860_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.0126419336277297e-05)	(4, 5.931997278060678e-05)	(5, 0.00016842635128779424)	(6, 0.00028176987070788217)	(7, 0.0003347341321191382)	(8, 0.00039511339012797013)	(9, 0.0004533740776803518)	(10, 0.000778362785699819)	(15, 0.0013666898014560512)	(20, 0.002040183349561583)	(25, 0.003011547903844019)	(30, 0.004121678823023946)	(35, 0.005174396482834071)	(40, 0.006368422792089427)	(45, 0.008386784865949574)	(50, 0.01046425505554468)	(55, 0.012949338200960813)	(60, 0.01566132024226277)	(65, 0.018256569051414314)	(70, 0.021162400289481468)	(75, 0.026549289389097497)	(80, 0.03039364733937211)	(85, 0.03352108104718395)	(90, 0.038233841027557516)	(95, 0.04942540132080157)	(100, 0.11172111816453836)	(105, 0.41273142204381036)	(110, 1.7023188177359938)	(115, 3.3070194171219476)	(120, 5.077940300379394)	(125, 6.775472843740175)	(130, 8.52017790059837)	(135, 10.171138333329097)	(140, 11.15282541030354)
SRR29492860_2 - nextera_transposase_sequence	(1, 0.00012393637170233916)	(2, 0.00013241065352814012)	(3, 0.00014724064672329182)	(4, 0.00018325634448294593)	(5, 0.0001959677672216474)	(6, 0.00020444204904744836)	(7, 0.00021821275701437492)	(8, 0.00023410203543775175)	(9, 0.0003294377059780126)	(10, 0.0005552773166356084)	(15, 0.0010421248075278742)	(20, 0.0039863021708567755)	(25, 0.02105223462574605)	(30, 0.10215937412344148)	(35, 0.586850584005132)	(40, 2.0457412072970347)	(45, 3.694496208182597)	(50, 5.453306495282791)	(55, 7.150883528623157)	(60, 8.86398078541339)	(65, 10.472527861320073)	(70, 12.093465184684263)	(75, 13.615312942516406)	(80, 15.140413765284427)	(85, 16.57525522418289)	(90, 17.989907977773655)	(95, 19.345497953037224)	(100, 20.63822146857609)	(105, 21.871562725362928)	(110, 23.047057051407535)	(115, 24.183001268599988)	(120, 25.2739027711749)	(125, 26.334071019566274)	(130, 27.37139048558483)	(135, 28.409554413787315)	(140, 29.034311095970395)
SRR29492860_2 - polya	(1, 0.00016948563651601937)	(2, 0.0003527419809989653)	(3, 0.0004787969231577547)	(4, 0.0006864168278898784)	(5, 0.0012541937102185433)	(6, 0.0023060639418460882)	(7, 0.002781683009319168)	(8, 0.003528479095217878)	(9, 0.004082485269579617)	(10, 0.01653035784349866)	(15, 0.07387031467550705)	(20, 0.135971970465433)	(25, 0.1894249860809921)	(30, 0.2460168756848279)	(35, 0.3331627884115891)	(40, 0.4125100314311113)	(45, 0.47255201302327626)	(50, 0.5264113704523826)	(55, 0.584223344782088)	(60, 0.6251428975772877)	(65, 0.66936106457318)	(70, 0.7103935371737082)	(75, 0.7453825756901666)	(80, 0.7811550615614203)	(85, 0.8156949631411112)	(90, 0.8456473122544047)	(95, 0.8771373198049899)	(100, 0.9136277892039345)	(105, 0.9473391178781077)	(110, 0.9855233843569842)	(115, 1.0262281141078997)	(120, 1.0625111754591579)	(125, 1.112898407767188)	(130, 1.1600412612782098)	(135, 1.196945063773208)	(140, 1.2195264825544196)
SRR29492860_2 - polyg	(1, 0.02645670786015062)	(2, 0.026781908425215734)	(3, 0.02740370885418388)	(4, 0.028012797860413323)	(5, 0.028950265287392557)	(6, 0.02961337784026148)	(7, 0.02995658625420642)	(8, 0.030403604620517423)	(9, 0.030767998739026865)	(10, 0.03274420126080365)	(15, 0.03561655908565889)	(20, 0.038534466175327804)	(25, 0.0419811684509267)	(30, 0.0454621915679201)	(35, 0.04871080750584089)	(40, 0.05231237728180631)	(45, 0.0567514179592065)	(50, 0.061498498780974555)	(55, 0.06657650030804015)	(60, 0.07207948706866965)	(65, 0.07780005101517659)	(70, 0.08412673796927396)	(75, 0.09279211485024673)	(80, 0.10011791963160602)	(85, 0.10704924659397427)	(90, 0.11451572445364186)	(95, 0.12444800646757188)	(100, 0.14623008861556505)	(105, 0.22523030979432074)	(110, 0.6059111505447692)	(115, 1.8167362405204563)	(120, 3.2703168788203123)	(125, 4.916688699799414)	(130, 6.547032899704332)	(135, 8.251672187661276)	(140, 9.217248595599644)
