Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR29492861_1 - nextera_transposase_sequence	(1, 5.3437894090155194e-05)	(2, 5.649148803816406e-05)	(3, 5.954508198617293e-05)	(4, 8.702742751825274e-05)	(5, 9.771500633628379e-05)	(6, 9.771500633628379e-05)	(7, 0.00010992938212831926)	(8, 0.00011603657002433699)	(9, 0.00016642087016648333)	(10, 0.00030200044145807704)	(15, 0.0005032322826318614)	(20, 0.00341910914358553)	(25, 0.03444759332748804)	(30, 0.17438250566712682)	(35, 0.6612774499583512)	(40, 2.2439271001470265)	(45, 4.111462713793372)	(50, 6.174844239608005)	(55, 8.188270800589581)	(60, 10.211780634146878)	(65, 12.125770877883678)	(70, 14.021405663039605)	(75, 15.808754510330028)	(80, 17.587465351060324)	(85, 19.263375730093323)	(90, 20.904123974814997)	(95, 22.458743159357923)	(100, 23.937383735364676)	(105, 25.313788764554516)	(110, 26.61036887827127)	(115, 27.851197389763467)	(120, 29.037872550103486)	(125, 30.173030221587247)	(130, 31.28210195605136)	(135, 32.37880602430725)	(140, 33.03853530213396)
SRR29492861_1 - polya	(1, 0.00014504571253042123)	(2, 0.0002503947037367272)	(3, 0.0003343685373069711)	(4, 0.00045956588917533465)	(5, 0.0007679788779242304)	(6, 0.0014443499374081946)	(7, 0.001699325032066935)	(8, 0.0021817928758523365)	(9, 0.002528375788951343)	(10, 0.011639689411020204)	(15, 0.05594092504933808)	(20, 0.10411656068888957)	(25, 0.1448640236905147)	(30, 0.1879068732628581)	(35, 0.25512685827795656)	(40, 0.3161162902015377)	(45, 0.3620212733813498)	(50, 0.4025623134320894)	(55, 0.4448246643913219)	(60, 0.4738628160399122)	(65, 0.5043602802362559)	(70, 0.5324341069160651)	(75, 0.5562429789286902)	(80, 0.5801324658215428)	(85, 0.6025727170266705)	(90, 0.6214769064400038)	(95, 0.6409191391069762)	(100, 0.663478480476076)	(105, 0.6838819845178816)	(110, 0.7069152436677126)	(115, 0.7321183866769986)	(120, 0.7541195310724025)	(125, 0.7851880173370239)	(130, 0.8145877145090585)	(135, 0.8366080965463348)	(140, 0.8504579772569238)
SRR29492861_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.0687578818031038e-05)	(4, 3.816992435011085e-05)	(5, 0.00012214375792035472)	(6, 0.0002229123582046474)	(7, 0.00027482345532079815)	(8, 0.00033284174033296665)	(9, 0.0003664312737610642)	(10, 0.0005896489913605125)	(15, 0.0010428023332450286)	(20, 0.001552141803772908)	(25, 0.0021793500006939293)	(30, 0.002965955801701014)	(35, 0.003774242119738961)	(40, 0.004670166584084763)	(45, 0.006056498236480789)	(50, 0.007598563180225268)	(55, 0.009501257569229593)	(60, 0.01157617465690162)	(65, 0.013585134115296651)	(70, 0.015793187899101866)	(75, 0.019989131343060854)	(80, 0.02316670120535888)	(85, 0.025564077813940645)	(90, 0.029587187840442324)	(95, 0.05084386603132166)	(100, 0.17320442912198503)	(105, 0.5737761046593676)	(110, 2.05619397637981)	(115, 3.9634092112241626)	(120, 6.1083241383257905)	(125, 8.262995908810097)	(130, 10.446184582456066)	(135, 12.560667697631233)	(140, 13.80550282974261)
SRR29492861_2 - nextera_transposase_sequence	(1, 6.25986759341818e-05)	(2, 7.023266080420397e-05)	(3, 7.481305172621727e-05)	(4, 0.00010687578818031039)	(5, 0.00011298297607632812)	(6, 0.00011298297607632812)	(7, 0.00012367055489435915)	(8, 0.00013130453976438133)	(9, 0.0001710012610884966)	(10, 0.00029528253477245755)	(15, 0.000520637768135512)	(20, 0.003736682914178452)	(25, 0.03763707220618331)	(30, 0.1903787575637713)	(35, 0.7192004628393418)	(40, 2.4287599203824235)	(45, 4.452373881493347)	(50, 6.69681276398606)	(55, 8.894975040915488)	(60, 11.114034282668717)	(65, 13.227399782458914)	(70, 15.333752093028716)	(75, 17.323485207848904)	(80, 19.296217133004156)	(85, 21.14939322110999)	(90, 22.96408761292362)	(95, 24.6871442610763)	(100, 26.335249529696917)	(105, 27.89147337785952)	(110, 29.380415558409275)	(115, 30.808695041587885)	(120, 32.18565643559505)	(125, 33.509164056823536)	(130, 34.799977458369476)	(135, 36.07808455013836)	(140, 36.85288943197396)
SRR29492861_2 - polya	(1, 0.00010992938212831926)	(2, 0.0002015372005685853)	(3, 0.000277877049268807)	(4, 0.00045193190430531247)	(5, 0.0009282925601946959)	(6, 0.0018199419930132854)	(7, 0.002233703972968487)	(8, 0.00279251166545411)	(9, 0.0033177298245116353)	(10, 0.013975078062457385)	(15, 0.06404730090311721)	(20, 0.11804461340454761)	(25, 0.16518966108664615)	(30, 0.2146578830443898)	(35, 0.29058671799920954)	(40, 0.35958572684841783)	(45, 0.411352083611433)	(50, 0.4577038075858388)	(55, 0.5062577835155487)	(60, 0.5403413884444341)	(65, 0.5762623408518364)	(70, 0.6099847056166723)	(75, 0.6386368829902344)	(80, 0.6671553129488734)	(85, 0.6941558013559576)	(90, 0.7173270829522383)	(95, 0.741579947524904)	(100, 0.769827523700355)	(105, 0.7959293394085399)	(110, 0.8253207918769148)	(115, 0.8567496022274013)	(120, 0.884840834392714)	(125, 0.9232504658677438)	(130, 0.959171418275146)	(135, 0.9866281136180625)	(140, 1.003766715010657)
SRR29492861_2 - polyg	(1, 0.01950635813988065)	(2, 0.019594912364372906)	(3, 0.019744538467825343)	(4, 0.019877369804563727)	(5, 0.02008806778697634)	(6, 0.020309453348206982)	(7, 0.020427016715205325)	(8, 0.020588857194449795)	(9, 0.02069725977960411)	(10, 0.021310421444364288)	(15, 0.022449411986971597)	(20, 0.023808872012625146)	(25, 0.025534152593250155)	(30, 0.027245997360503926)	(35, 0.028777680084825175)	(40, 0.03042448330098636)	(45, 0.03272445026262664)	(50, 0.03500090455086725)	(55, 0.03755706804474547)	(60, 0.04030133292582104)	(65, 0.0429387220187163)	(70, 0.045844216660246746)	(75, 0.050774549448701856)	(80, 0.05473383936169016)	(85, 0.05816546824046252)	(90, 0.06158640954041685)	(95, 0.06788444705818515)	(100, 0.0985101622003453)	(105, 0.2378627541740988)	(110, 0.6631184617496059)	(115, 2.106855542852435)	(120, 3.9236193552846332)	(125, 6.067489037177858)	(130, 8.21803143256627)	(135, 10.43146290067332)	(140, 11.734822603673447)
SRR29492862_1 - nextera_transposase_sequence	(1, 0.00888168189853962)	(2, 0.008922122905771157)	(3, 0.008931884528206355)	(4, 0.009088070487169525)	(5, 0.009150823774252942)	(6, 0.009171741536614082)	(7, 0.00920381543890116)	(8, 0.009216366096317844)	(9, 0.009330716530558739)	(10, 0.009747956163788924)	(15, 0.010695391346999447)	(20, 0.015076128592418253)	(25, 0.04590779469874455)	(30, 0.20554155870602778)	(35, 0.7247505420872978)	(40, 2.183918421507722)	(45, 3.8212021630472357)	(50, 5.430421240085556)	(55, 6.949290644512655)	(60, 8.348895056157986)	(65, 9.639253525385538)	(70, 10.821863206173372)	(75, 11.9123585919172)	(80, 12.909452821876565)	(85, 13.84071690136094)	(90, 14.699385468215732)	(95, 15.520917476485057)	(100, 16.277794075813585)	(105, 17.006754108398436)	(110, 17.685209179924566)	(115, 18.348247860590533)	(120, 18.97856920859919)	(125, 19.602473544922447)	(130, 20.22540144009869)	(135, 20.869404678112524)	(140, 21.314655984179254)
SRR29492862_1 - polya	(1, 0.00020081051866693443)	(2, 0.00030818836545411465)	(3, 0.00038209779246347247)	(4, 0.0005117879191025343)	(5, 0.0008018475571769951)	(6, 0.0014154352531037392)	(7, 0.0016692374364188924)	(8, 0.0020401790889564243)	(9, 0.002334422279503113)	(10, 0.0099127881311947)	(15, 0.04707444803149981)	(20, 0.08775252323646146)	(25, 0.12650058623423538)	(30, 0.16835117174541336)	(35, 0.23540096721780834)	(40, 0.296722642645229)	(45, 0.3418743299604929)	(50, 0.38261822639101756)	(55, 0.42869168976766237)	(60, 0.46073072911747365)	(65, 0.49525340411829744)	(70, 0.5277972587997575)	(75, 0.5564571033660013)	(80, 0.5880063881730637)	(85, 0.6172112101746896)	(90, 0.6420921912445191)	(95, 0.6685358686144748)	(100, 0.6997289936544016)	(105, 0.7270236055972082)	(110, 0.7599484424571392)	(115, 0.7949377230103656)	(120, 0.8271619542829474)	(125, 0.8714459728154713)	(130, 0.9133632162627068)	(135, 0.9448692710275562)	(140, 0.9665819083584185)
SRR29492862_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.6734209888911203e-05)	(4, 5.159714715747621e-05)	(5, 0.00015618595896317122)	(6, 0.00029424319054668864)	(7, 0.0003779142399912447)	(8, 0.0004532181844913451)	(9, 0.0005131824365932769)	(10, 0.0008079834341362625)	(15, 0.001374994245872204)	(20, 0.0019735211528989277)	(25, 0.0028308705062074784)	(30, 0.003883452308219993)	(35, 0.004847900604817576)	(40, 0.0059654669218986945)	(45, 0.007669846199084301)	(50, 0.009419965649966265)	(55, 0.01168772999341188)	(60, 0.01414514871559849)	(65, 0.01658945897337212)	(70, 0.025304077676520775)	(75, 0.032929857122897616)	(80, 0.036977583591527086)	(85, 0.040741107395543215)	(90, 0.04663545392541403)	(95, 0.06911200793770512)	(100, 0.21102061792715548)	(105, 0.6314377987117475)	(110, 2.023069196055507)	(115, 3.6736184246774597)	(120, 5.299943489967722)	(125, 6.805531230909492)	(130, 8.294166101619801)	(135, 9.615427915152702)	(140, 10.378305959954394)
SRR29492862_2 - nextera_transposase_sequence	(1, 0.008823112163928431)	(2, 0.008862158653669225)	(3, 0.008880287381048879)	(4, 0.00903089527004908)	(5, 0.009097832109604725)	(6, 0.009115960836984377)	(7, 0.009139667634327001)	(8, 0.009155007326725171)	(9, 0.009286091970854974)	(10, 0.00972229704195926)	(15, 0.010725234021301338)	(20, 0.015163425387338739)	(25, 0.04638081503160444)	(30, 0.20620730135610826)	(35, 0.7239076957158931)	(40, 2.1773078507946053)	(45, 3.8092121016618306)	(50, 5.413738906247301)	(55, 6.928639513895746)	(60, 8.320108310500085)	(65, 9.601200211001652)	(70, 10.776929342490162)	(75, 11.863101166205691)	(80, 12.855264940124789)	(85, 13.781206425250494)	(90, 14.633226490516424)	(95, 15.448674218973636)	(100, 16.20068562568046)	(105, 16.924212618121384)	(110, 17.59664504750849)	(115, 18.25367252107886)	(120, 18.876469052707478)	(125, 19.49145963322991)	(130, 20.104188306382355)	(135, 20.735144438752798)	(140, 21.169138084020265)
SRR29492862_2 - polya	(1, 0.00012271753918534882)	(2, 0.00021893924604658824)	(3, 0.00029982126050965907)	(4, 0.0004643743244172859)	(5, 0.0008632063267696695)	(6, 0.0016455306390762683)	(7, 0.001953719004530383)	(8, 0.0024125152589846983)	(9, 0.0027987966039203986)	(10, 0.01092269769799049)	(15, 0.050339013477328234)	(20, 0.09434384960820544)	(25, 0.13650206567784126)	(30, 0.18232786274813018)	(35, 0.25387692945265705)	(40, 0.31947837905916676)	(45, 0.3686401408708101)	(50, 0.41301508194373043)	(55, 0.4620597042861513)	(60, 0.49667943770433076)	(65, 0.5332146803477944)	(70, 0.5677975985042183)	(75, 0.5984488140472424)	(80, 0.6320201492158818)	(85, 0.6633170263571196)	(90, 0.6899517526233071)	(95, 0.7179531060304221)	(100, 0.7511311872666718)	(105, 0.7803106290499664)	(110, 0.8153732612232059)	(115, 0.8526291905058849)	(120, 0.8862730405840429)	(125, 0.9309478029174729)	(130, 0.9731737925371589)	(135, 1.0050259665432104)	(140, 1.0262156598150443)
SRR29492862_2 - polyg	(1, 0.020468727729119885)	(2, 0.020888477493833407)	(3, 0.021606654001565848)	(4, 0.022333197614242743)	(5, 0.023448811606836824)	(6, 0.024288311136263868)	(7, 0.024756869013153382)	(8, 0.025327226666867104)	(9, 0.025827858446043697)	(10, 0.02798712932870954)	(15, 0.031595582787755094)	(20, 0.03538755474858237)	(25, 0.03983020857059015)	(30, 0.044542283171809395)	(35, 0.04921642689728044)	(40, 0.05431952420290391)	(45, 0.06000887666163557)	(50, 0.06625938295864206)	(55, 0.07301219445581403)	(60, 0.08007849348490492)	(65, 0.08729902614847196)	(70, 0.09522323233786771)	(75, 0.1118659618793862)	(80, 0.12416337491975074)	(85, 0.13424713089531048)	(90, 0.14524094898532885)	(95, 0.1597503456695093)	(100, 0.1936245700371378)	(105, 0.33129050001275284)	(110, 0.7145794893168176)	(115, 1.8221024914296091)	(120, 3.1955033616168906)	(125, 4.654681839370244)	(130, 6.125825277194169)	(135, 7.548207179726293)	(140, 8.380217592421054)
SRR29492863_1 - nextera_transposase_sequence	(1, 0.00011448332067457866)	(2, 0.00012163852821673983)	(3, 0.00014024206782635884)	(4, 0.00018889747911305478)	(5, 0.00020177685268894487)	(6, 0.00020606997721424157)	(7, 0.00023612184889131848)	(8, 0.00024900122246720855)	(9, 0.0003491741280574649)	(10, 0.0007198138787414133)	(15, 0.001452793339360403)	(20, 0.005877573683432868)	(25, 0.031120287267272406)	(30, 0.14473954507905967)	(35, 0.7671281179264066)	(40, 2.742480574505924)	(45, 4.9119832911593475)	(50, 7.1140877092495725)	(55, 9.150496124202954)	(60, 11.094535389119864)	(65, 12.861569702275393)	(70, 14.54078386014145)	(75, 16.071291053450473)	(80, 17.524145068970835)	(85, 18.85116417015513)	(90, 20.102410195884538)	(95, 21.257884341078725)	(100, 22.330287099125027)	(105, 23.31871147591539)	(110, 24.240509422156173)	(115, 25.10799276036101)	(120, 25.92730266205919)	(125, 26.705290953993092)	(130, 27.468015470989748)	(135, 28.227303198699758)	(140, 28.718115232470904)
SRR29492863_1 - polya	(1, 0.0002232424753154284)	(2, 0.0003362947544815748)	(3, 0.00041070891292005094)	(4, 0.0005867270184572156)	(5, 0.0010532465502061236)	(6, 0.002062130813650848)	(7, 0.0024699776435540347)	(8, 0.0031225325713991328)	(9, 0.0036219660578419824)	(10, 0.016157317255104973)	(15, 0.07649947212456358)	(20, 0.14075752897769614)	(25, 0.1965730133476819)	(30, 0.25680068489646596)	(35, 0.3521358115633163)	(40, 0.43643102540921525)	(45, 0.4979245962763585)	(50, 0.553568641873634)	(55, 0.6119628630418148)	(60, 0.6517999103452495)	(65, 0.6943547916814988)	(70, 0.7341735216536256)	(75, 0.7691687831174309)	(80, 0.8068380887438925)	(85, 0.8405986475942224)	(90, 0.868968473082288)	(95, 0.8991465626204087)	(100, 0.9353510541588392)	(105, 0.9673866355749048)	(110, 1.004921423299574)	(115, 1.0450970550239038)	(120, 1.081916035786055)	(125, 1.1345483114246842)	(130, 1.1846582333005506)	(135, 1.2232422606592022)	(140, 1.2482960767639286)
