Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR29492962_1	SRR29492962_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	311164886.0	46.9 Gbp	0.0	151.0	22.0	81.74068030491271	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
SRR29492962_2	SRR29492962_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	311164886.0	46.9 Gbp	0.0	151.0	24.0	89.3964774301487	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492963_1	SRR29492963_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	235088611.0	35.4 Gbp	0.0	151.0	22.0	83.10578142752406	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492963_2	SRR29492963_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	235088611.0	35.4 Gbp	0.0	151.0	24.0	90.05128592036621	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492964_1	SRR29492964_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	255778181.0	38.6 Gbp	0.0	151.0	22.0	80.57690400427212	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
SRR29492964_2	SRR29492964_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	255778181.0	38.6 Gbp	0.0	151.0	24.0	86.28009887053429	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492965_1	SRR29492965_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	239565098.0	36.1 Gbp	0.0	151.0	22.0	81.09035125822976	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
SRR29492965_2	SRR29492965_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	239565098.0	36.1 Gbp	0.0	151.0	24.0	87.0655989109113	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492966_1	SRR29492966_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204419763.0	30.8 Gbp	0.0	151.0	22.0	82.06972016722746	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492966_2	SRR29492966_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204419763.0	30.8 Gbp	0.0	151.0	24.0	88.37430103578684	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492967_1	SRR29492967_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	267633268.0	40.4 Gbp	0.0	151.0	22.0	81.58804067037228	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492967_2	SRR29492967_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	267633268.0	40.4 Gbp	0.0	151.0	24.0	88.76498558202786	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492968_1	SRR29492968_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	317219652.0	47.9 Gbp	0.0	151.0	22.0	80.8159121783718	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
SRR29492968_2	SRR29492968_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	317219652.0	47.9 Gbp	0.0	151.0	24.0	88.72373774390522	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492969_1	SRR29492969_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260241609.0	39.2 Gbp	0.0	151.0	22.0	82.26785414782415	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
SRR29492969_2	SRR29492969_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260241609.0	39.2 Gbp	0.0	151.0	24.0	89.28215078491576	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492970_1	SRR29492970_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	202711775.0	30.6 Gbp	0.0	151.0	22.0	82.90211836909484	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492970_2	SRR29492970_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	202711775.0	30.6 Gbp	0.0	151.0	24.0	89.86928650160141	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492971_1	SRR29492971_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	207992123.0	31.4 Gbp	0.0	151.0	22.0	80.69799962509559	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492971_2	SRR29492971_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	207992123.0	31.4 Gbp	0.0	151.0	24.0	86.77558208984594	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492972_1	SRR29492972_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	262508495.0	39.6 Gbp	0.0	151.0	22.0	82.87096073023832	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492972_2	SRR29492972_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	262508495.0	39.6 Gbp	0.0	151.0	24.0	89.89670695261684	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492973_1	SRR29492973_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	226956814.0	34.2 Gbp	0.0	151.0	21.0	81.27891944186236	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492973_2	SRR29492973_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	226956814.0	34.2 Gbp	0.0	151.0	23.0	88.00879786988457	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492974_1	SRR29492974_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	216284663.0	32.6 Gbp	0.0	151.0	22.0	83.12911273783101	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492974_2	SRR29492974_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	216284663.0	32.6 Gbp	0.0	151.0	24.0	89.75087954847575	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492975_1	SRR29492975_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	201587877.0	30.4 Gbp	0.0	151.0	22.0	82.89248637630253	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR29492975_2	SRR29492975_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	201587877.0	30.4 Gbp	0.0	151.0	24.0	89.56848611535017	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR29492976_1	SRR29492976_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35950196.0	5.4 Gbp	0.0	151.0	49.0	60.08207001797845	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	warn
SRR29492976_2	SRR29492976_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35950196.0	5.4 Gbp	0.0	151.0	48.0	58.908004280247525	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492977_1	SRR29492977_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39660976.0	5.9 Gbp	0.0	151.0	48.0	56.89658708988227	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR29492977_2	SRR29492977_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39660976.0	5.9 Gbp	0.0	151.0	47.0	54.602762729022324	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492978_1	SRR29492978_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48279092.0	7.2 Gbp	0.0	151.0	51.0	53.68315870023702	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	warn
SRR29492978_2	SRR29492978_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48279092.0	7.2 Gbp	0.0	151.0	50.0	52.30281702116165	151.0	151	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	warn
SRR29492979_1	SRR29492979_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45652270.0	6.8 Gbp	0.0	151.0	48.0	67.33045888282516	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	warn
SRR29492979_2	SRR29492979_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45652270.0	6.8 Gbp	0.0	151.0	47.0	65.71908443479225	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492980_1	SRR29492980_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41484618.0	6.2 Gbp	0.0	151.0	48.0	61.909761609174154	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492980_2	SRR29492980_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41484618.0	6.2 Gbp	0.0	151.0	47.0	60.79151718440098	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492981_1	SRR29492981_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45112380.0	6.8 Gbp	0.0	151.0	48.0	63.94787504737421	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR29492981_2	SRR29492981_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45112380.0	6.8 Gbp	0.0	151.0	47.0	62.466854886583455	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR29492982_1	SRR29492982_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40531543.0	6.1 Gbp	0.0	151.0	48.0	64.95386654579622	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR29492982_2	SRR29492982_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40531543.0	6.1 Gbp	0.0	151.0	47.0	63.522178536532806	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492983_1	SRR29492983_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39467631.0	5.9 Gbp	0.0	151.0	48.0	63.91108003453121	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
