Sample	Duplicate Reads	Unique Reads
SRR27848283_1	20539972.0	16984785.0
SRR27848283_2	18148629.0	19376128.0
SRR27848284_1	22193592.0	19620189.0
SRR27848284_2	19310131.0	22503650.0
SRR27848285_1	17943693.0	18318592.0
SRR27848285_2	15507438.0	20754847.0
SRR27848286_1	18059559.0	13902631.0
SRR27848286_2	16178216.0	15783974.0
SRR27848287_1	14244440.0	14953652.0
SRR27848287_2	12466133.0	16731959.0
