Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>500	>5k	>1k	>100	>10k+
SRR27848283_1										8.242074392382237	1.969192700758415	1.5227571395473019	1.0058239882239932	3.1674480689817583	3.6494687173485305	11.989358373118106
SRR27848283_2										4.821349720898833	1.2920896697996636	1.5381225667892031	0.9109661449521708	2.8107461060321235	3.310215099407042	11.581227611049473
SRR27848284_1										9.56284312929641	1.9255217805946852	1.2958794822027682	0.6255355602112834	2.261679836084135	3.2896371146738823	6.145940689913167
SRR27848284_2										5.503613314219966	1.2119640507086546	1.2409671207020216	0.4181965487574023	1.80342951808629	2.874029186541904	5.7521375776765895
SRR27848285_1										8.663775168945813	1.8186326052589636	1.3295340242958518	0.5872269668942878	2.152239822861609	3.214866820401632	5.130715991946717
SRR27848285_2										4.793624259147968	1.201985596215467	1.2715939739708877	0.28366333206323324	1.724878225893419	2.9263548421460652	4.906183338139123
SRR27848286_1										7.664234163363298	1.8251012081679143	1.5342382058562414	0.7631723077599815	2.9324867441787292	3.4220685362561203	15.500072712097857
SRR27848286_2										4.5339524234772055	1.2381451390270475	1.4613909688776179	0.8528626426970368	2.386012284103766	3.1944435395915525	14.976430455126541
SRR27848287_1										8.03492666043663	1.7600527657630816	1.2912798780792165	0.7046017688024951	2.1949742931467653	3.2569487376271717	6.053836839849141
SRR27848287_2										4.793221795104177	1.3019568163121313	1.2916673273750152	0.38543408840632165	1.8043878817308876	2.9245742362827674	5.859837093635843
