Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR27848283_1	3.4091439952562514	6.193007459048969
SRR27848283_2	9.63973197747823	0.11603805988670324
SRR27848284_1	3.722222584941553	0.9890232122275671
SRR27848284_2	4.893271909564935	0.0
SRR27848285_1	1.5708607441588414	2.5996734623866087
SRR27848285_2	4.257382015501781	0.0
SRR27848286_1	12.1930099282934	0.888584292878555
SRR27848286_2	13.24220586887194	0.10403229565934069
SRR27848287_1	2.6267949289289176	2.287272743712158
SRR27848287_2	4.937826074388696	0.0
